_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|86813|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|34694|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|126407|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|149786|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|50117|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|44336|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|17337|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|149828|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|51310|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|175078|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|28549|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|H
0|0|0|18090|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|31886|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|51255|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|52941|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|18686|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|11225|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|13229|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|49230|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|57038|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|69495|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|81610|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|31886|0.0|0.0|34|NaN|NaN|NaN|1|536|1|f|A
0|0|0|175078|0.0|0.0|34|NaN|NaN|NaN|1|1215|1|f|H
