_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|53943|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|15312|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|46497|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|39462|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|45154|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|60772|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|42786|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|39194|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|41189|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|8924|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|17476|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|26901|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|41184|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|152760|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|61366|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|55605|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|42786|0.0|0.0|34|NaN|NaN|NaN|1|360|1|f|A
0|0|0|45154|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|H
1|0|1|61366|50.0|48.5|1|51.3|47.6|NaN|1|360|1|t|A
1|0|1|152760|51.3|47.6|100|NaN|NaN|NaN|1|360|1|t|A
1|0|1|152760|51.3|47.6|101|51.2|47.8|NaN|1|360|1|t|A
2|0|2|152760|51.2|47.8|1|46.3|49.9|NaN|1|360|1|t|A
3|0|3|41189|46.3|49.9|100|NaN|NaN|NaN|1|360|1|t|A
4|0|4|41189|46.3|49.9|1|41.2|17.1|NaN|1|360|1|t|A
5|0|5|55605|41.2|17.1|100|NaN|NaN|NaN|1|360|1|t|A
5|0|5|55605|41.2|17.1|101|41.1|23.0|NaN|1|360|1|t|A
6|0|6|55605|41.1|23.0|1|54.2|5.3|NaN|1|360|1|t|A
9|0|9|26901|54.2|5.3|101|52.8|5.2|NaN|1|360|1|t|A
9|0|9|26901|54.2|5.3|100|NaN|NaN|NaN|1|360|1|t|A
10|0|10|26901|52.8|5.2|1|40.4|6.1|NaN|1|360|1|t|A
10|0|10|55605|40.4|6.1|100|NaN|NaN|NaN|1|360|1|t|A
11|0|11|55605|40.4|6.1|1|46.2|2.3|NaN|1|360|1|t|A
12|0|12|26901|46.2|2.3|100|NaN|NaN|NaN|1|360|1|t|A
13|0|13|26901|46.2|2.3|1|30.2|19.7|NaN|1|360|1|t|A
15|0|15|8924|30.2|19.7|1|75.9|24.0|NaN|1|360|0|t|A
18|0|18|28525|29.0|82.0|1|14.0|28.8|NaN|1|632|1|t|H
22|0|22|20658|14.0|28.8|49|NaN|NaN|NaN|1|632|1|f|H
24|0|24|20658|14.1|24.1|1|40.1|23.6|NaN|1|632|1|t|H
25|0|25|46497|40.1|23.6|100|NaN|NaN|NaN|1|632|1|t|H
26|0|26|46497|40.1|23.6|1|36.2|20.6|NaN|1|632|1|t|H
28|0|28|39462|36.2|20.6|1|56.9|24.6|NaN|1|632|0|t|H
29|0|29|17476|44.9|67.6|1|56.4|63.3|NaN|1|360|1|t|A
31|0|31|39462|42.6|33.2|44|NaN|NaN|NaN|1|632|0|f|H
31|0|31|41184|57.4|66.8|44|NaN|NaN|NaN|1|360|1|f|A
