_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|57145|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|14880|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|13308|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|37572|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|46497|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|40349|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|52049|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|111457|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|87447|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|69147|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|20301|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|69887|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|46696|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|42544|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|16050|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|66841|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|52049|0.0|0.0|34|NaN|NaN|NaN|1|537|1|f|A
0|0|0|46497|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|H
0|0|0|37572|50.0|50.0|1|51.1|47.8|NaN|1|632|1|t|H
0|0|0|19054|51.1|47.8|100|NaN|NaN|NaN|1|632|1|t|H
1|0|1|19054|51.1|47.8|1|38.1|54.6|NaN|1|632|1|t|H
1|0|1|32644|38.1|54.6|100|NaN|NaN|NaN|1|632|1|t|H
2|0|2|32644|38.1|54.6|1|40.9|66.1|NaN|1|632|1|t|H
4|0|4|46497|40.9|66.1|100|NaN|NaN|NaN|1|632|1|t|H
4|0|4|46497|40.9|66.1|101|44.1|68.4|NaN|1|632|1|t|H
