_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|57145|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19975|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|37572|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|46497|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|111674|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|18427|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|156604|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|36803|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|183059|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37197|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37198|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37036|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|41071|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|49529|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|155084|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|18427|0.0|0.0|34|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|46497|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|H
1|0|1|37036|50.1|51.2|1|50.8|52.5|NaN|1|1042|1|t|A
1|0|1|18427|50.8|52.5|100|NaN|NaN|NaN|1|1042|1|t|A
2|0|2|18427|50.8|52.5|1|38.8|51.8|NaN|1|1042|1|t|A
3|0|3|36803|38.8|51.8|1|75.4|8.5|NaN|1|1042|0|t|A
5|0|5|58893|0.0|0.0|43|NaN|NaN|NaN|1|632|1|f|H
5|0|5|58893|0.0|0.0|43|NaN|NaN|NaN|1|632|1|f|H
5|0|5|58893|30.9|91.9|4|NaN|NaN|NaN|1|632|1|f|H
