_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|57145|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|45154|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19975|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|46497|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|H
0|0|0|11973|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|52156|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|69305|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|21123|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|119471|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|19160|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|84450|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|40772|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|81048|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|68312|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|27335|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|52156|0.0|0.0|34|NaN|NaN|NaN|1|497|1|f|A
0|0|0|46497|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|H
1|0|1|40232|50.0|50.0|1|51.1|47.9|NaN|1|632|1|t|H
1|0|1|19054|51.1|47.9|100|NaN|NaN|NaN|1|632|1|t|H
2|0|2|19054|51.1|47.9|1|38.9|60.3|NaN|1|632|1|t|H
3|0|3|32644|38.9|60.3|101|37.3|59.7|NaN|1|632|1|t|H
3|0|3|32644|38.9|60.3|100|NaN|NaN|NaN|1|632|1|t|H
4|0|4|32644|37.3|59.7|1|32.1|10.4|NaN|1|632|1|t|H
5|0|5|20658|32.1|10.4|101|33.7|8.0|NaN|1|632|1|t|H
