_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|52940|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|85352|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|39204|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|15076|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|131897|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|77711|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|80480|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|95742|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|154685|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|40539|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|100887|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|59115|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|3273|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|13867|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|47659|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|77711|0.0|0.0|34|NaN|NaN|NaN|1|575|1|f|H
0|0|0|8533|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|A
0|0|0|8533|50.1|50.1|1|51.2|48.1|NaN|1|366|1|t|A
0|0|0|15403|51.2|48.1|100|NaN|NaN|NaN|1|366|1|t|A
1|0|1|15403|51.2|48.1|1|36.3|50.0|NaN|1|366|1|t|A
1|0|1|15076|36.3|50.0|101|36.3|49.6|NaN|1|366|1|t|A
1|0|1|15076|36.3|50.0|100|NaN|NaN|NaN|1|366|1|t|A
2|0|2|15076|36.3|49.6|1|30.5|25.5|NaN|1|366|1|t|A
