_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|17804|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|52356|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|3508|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|18003|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|17861|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|77390|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|12237|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|14402|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|19524|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|17279|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|8432|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|A
0|0|0|131897|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|77711|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|80480|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|95742|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|154685|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|40539|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|100887|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|59115|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|131971|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|40711|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|47659|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|H
0|0|0|77711|0.0|0.0|34|NaN|NaN|NaN|1|575|1|f|H
0|0|0|17279|0.0|0.0|34|NaN|NaN|NaN|1|118|1|f|A
0|0|0|40711|49.9|50.1|1|50.9|49.1|NaN|1|575|1|t|H
2|0|2|131971|56.1|54.5|1|65.6|81.5|NaN|1|575|0|t|H
6|0|6|17804|25.2|20.9|1|34.5|24.2|NaN|1|118|0|t|A
7|0|7|95742|75.7|83.5|1|82.9|97.7|NaN|1|575|1|t|H
9|0|9|17804|15.1|2.3|7|NaN|NaN|NaN|1|118|1|f|A
9|0|9|77711|84.9|97.7|3|NaN|NaN|NaN|1|575|0|f|H
