_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|42738|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|50369|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|42824|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27300|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|12204|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|66733|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27701|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|62914|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|60025|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|59380|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|48844|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|12056|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|43274|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|28111|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|52068|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|14516|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|19523|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|59741|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|28301|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|57001|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|14664|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|80226|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|43274|0.0|0.0|34|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|59380|0.0|0.0|34|NaN|NaN|NaN|1|832|1|f|H
0|0|0|59741|50.0|50.0|1|51.9|47.0|NaN|1|1221|1|t|A
0|0|0|14664|51.9|47.0|100|NaN|NaN|NaN|1|1221|1|t|A
1|0|1|14664|51.9|47.0|1|36.4|44.0|NaN|1|1221|1|t|A
3|0|3|14516|35.8|43.4|1|67.9|69.1|NaN|1|1221|0|t|A
7|0|7|27300|31.7|23.8|44|NaN|NaN|NaN|1|832|1|f|H
7|0|7|27300|31.3|16.7|12|NaN|NaN|NaN|1|832|1|f|H
7|0|7|57001|68.3|76.2|44|NaN|NaN|NaN|1|1221|0|f|A
9|0|9|27701|38.2|23.6|1|43.6|18.9|NaN|1|832|1|t|H
9|0|9|66733|43.6|18.9|101|43.7|18.9|NaN|1|832|1|t|H
9|0|9|66733|43.6|18.9|100|NaN|NaN|NaN|1|832|1|t|H
10|0|10|66733|43.7|18.9|1|45.5|30.4|NaN|1|832|1|t|H
12|0|12|60025|45.5|30.4|49|NaN|NaN|NaN|1|832|1|f|H
13|0|13|19523|29.1|89.4|49|NaN|NaN|NaN|1|1221|1|f|A
13|0|13|19523|29.1|89.4|1|48.0|100.0|NaN|1|1221|0|t|A
13|0|13|60025|45.5|30.4|1|58.7|10.4|NaN|1|832|0|t|H
14|0|14|19523|51.3|101.4|5|NaN|NaN|NaN|1|1221|0|f|A
14|0|14|60025|48.7|-1.4|5|NaN|NaN|NaN|1|832|1|f|H
19|0|19|42738|43.0|0.0|1|31.4|8.2|NaN|1|832|1|f|H
24|0|24|27300|31.4|8.2|100|NaN|NaN|NaN|1|832|1|f|H
24|0|24|27300|31.4|8.2|101|31.1|19.8|NaN|1|832|1|f|H
25|0|25|27300|31.1|19.8|1|33.5|60.6|NaN|1|832|1|t|H
27|0|27|12204|33.5|60.6|101|34.5|66.3|NaN|1|832|1|t|H
27|0|27|12204|33.5|60.6|100|NaN|NaN|NaN|1|832|1|t|H
28|0|28|12204|34.5|66.3|1|42.6|90.2|NaN|1|832|1|t|H
31|0|31|50369|43.5|92.9|1|46.8|94.4|NaN|1|832|0|t|H
32|0|32|59741|60.2|7.7|8|NaN|NaN|NaN|1|1221|1|f|A
33|0|33|59741|60.7|5.8|3|NaN|NaN|NaN|1|1221|0|f|A
33|0|33|50369|39.3|94.2|7|NaN|NaN|NaN|1|832|0|f|H
36|0|36|59741|62.6|6.8|61|NaN|NaN|NaN|1|1221|1|f|A
36|0|36|59741|60.1|-1.4|5|NaN|NaN|NaN|1|1221|0|f|A
36|0|36|50369|39.9|101.4|5|NaN|NaN|NaN|1|832|1|f|H
43|0|43|50369|39.7|100.0|1|24.1|83.5|NaN|1|832|1|f|H
46|0|46|12204|24.1|83.5|101|23.6|73.0|NaN|1|832|1|f|H
46|0|46|12204|24.1|83.5|100|NaN|NaN|NaN|1|832|1|f|H
47|0|47|12204|23.6|73.0|1|30.8|39.4|NaN|1|832|1|t|H
48|0|48|27300|30.8|39.4|100|NaN|NaN|NaN|1|832|1|t|H
48|0|48|27300|30.8|39.4|101|32.3|32.7|NaN|1|832|1|t|H
49|0|49|27300|32.3|32.7|1|39.0|10.9|NaN|1|832|1|t|H
49|0|49|27701|39.0|10.9|101|40.6|11.1|NaN|1|832|1|t|H
49|0|49|27701|39.0|10.9|100|NaN|NaN|NaN|1|832|1|t|H
50|0|50|27701|40.6|11.1|1|55.1|1.7|NaN|1|832|1|t|H
51|0|51|42738|55.1|1.7|100|NaN|NaN|NaN|1|832|1|t|H
51|0|51|42738|55.1|1.7|101|55.2|1.7|NaN|1|832|1|t|H
52|0|52|42738|55.2|1.7|1|45.3|6.1|NaN|1|832|1|t|H
54|0|54|27701|45.4|5.8|1|100.0|10.4|NaN|1|832|0|t|H
59|0|59|28111|-0.6|89.5|5|NaN|NaN|NaN|1|1221|1|f|A
59|0|59|27701|100.6|10.5|5|NaN|NaN|NaN|1|832|0|f|H
80|1|20|12056|5.3|56.3|1|57.2|65.1|NaN|1|1221|0|f|A
84|1|24|27701|45.5|36.9|1|43.2|54.2|NaN|1|832|1|t|H
85|1|25|50369|43.2|54.2|100|NaN|NaN|NaN|1|832|1|t|H
86|1|26|50369|43.2|54.2|1|56.1|67.0|NaN|1|832|1|t|H
87|1|27|59380|56.1|67.0|100|NaN|NaN|NaN|1|832|1|t|H
88|1|28|59380|56.1|67.0|1|48.4|80.8|NaN|1|832|1|t|H
89|1|29|80226|47.7|11.3|74|NaN|NaN|NaN|1|1221|1|f|A
90|1|30|80226|42.6|3.2|49|NaN|NaN|NaN|1|1221|1|f|A
90|1|30|60025|48.3|83.6|1|50.8|84.8|NaN|1|832|0|t|H
93|1|33|80226|39.6|2.2|61|NaN|NaN|NaN|1|1221|0|f|A
94|1|34|80226|42.8|-1.0|5|NaN|NaN|NaN|1|1221|0|f|A
