_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15337|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|42786|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|61366|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|152760|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|41184|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|54917|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|17476|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|8924|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|41189|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|39194|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|55605|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|60772|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|61770|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|12875|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|50089|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|60218|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|60207|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|60210|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|17152|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|20226|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|37368|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|37070|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|61770|0.0|0.0|34|NaN|NaN|NaN|1|596|1|f|A
0|0|0|42786|0.0|0.0|34|NaN|NaN|NaN|1|360|1|f|H
1|0|1|20226|50.0|48.5|1|51.4|49.7|NaN|1|596|1|t|A
1|0|1|37368|51.4|49.7|101|51.6|49.1|NaN|1|596|1|t|A
1|0|1|37368|51.4|49.7|100|NaN|NaN|NaN|1|596|1|t|A
2|0|2|37368|51.6|49.1|1|37.6|42.9|NaN|1|596|1|t|A
3|0|3|17152|37.6|42.9|100|NaN|NaN|NaN|1|596|1|t|A
3|0|3|17152|37.6|42.9|101|35.8|46.2|NaN|1|596|1|t|A
4|0|4|17152|35.8|46.2|1|7.5|45.8|NaN|1|596|1|t|A
6|0|6|15337|7.5|45.8|100|NaN|NaN|NaN|1|596|1|t|A
6|0|6|15337|7.5|45.8|101|8.6|38.9|NaN|1|596|1|t|A
7|0|7|15337|8.6|38.9|1|17.1|17.1|NaN|1|596|1|t|A
10|0|10|60218|17.1|17.1|101|21.6|24.6|NaN|1|596|1|t|A
10|0|10|60218|17.1|17.1|100|NaN|NaN|NaN|1|596|1|t|A
11|0|11|60218|21.6|24.6|1|17.1|70.3|NaN|1|596|1|t|A
15|0|15|60207|17.1|70.3|101|23.5|69.0|NaN|1|596|1|t|A
15|0|15|60207|17.1|70.3|100|NaN|NaN|NaN|1|596|1|t|A
16|0|16|60207|23.5|69.0|1|23.8|24.1|NaN|1|596|1|t|A
22|0|22|60218|35.9|16.1|1|50.8|59.4|NaN|1|596|0|t|A
24|0|24|54917|49.5|37.6|61|NaN|NaN|NaN|1|360|0|f|H
26|0|26|50089|46.7|58.7|1|43.6|85.6|NaN|1|596|1|t|A
26|0|26|12875|43.6|85.6|100|NaN|NaN|NaN|1|596|1|t|A
26|0|26|12875|43.6|85.6|101|43.5|85.7|NaN|1|596|1|t|A
27|0|27|12875|43.5|85.7|1|58.6|82.1|NaN|1|596|1|t|A
28|0|28|50089|58.6|82.1|101|57.5|88.6|NaN|1|596|1|t|A
28|0|28|50089|58.6|82.1|100|NaN|NaN|NaN|1|596|1|t|A
29|0|29|50089|57.5|88.6|1|68.7|88.4|NaN|1|596|1|t|A
30|0|30|55605|32.6|10.1|7|NaN|NaN|NaN|1|360|1|f|H
30|0|30|61770|67.4|89.9|50|NaN|NaN|NaN|1|596|1|f|A
31|0|31|61366|43.3|8.5|49|NaN|NaN|NaN|1|360|1|f|H
32|0|32|61366|45.9|8.6|1|51.2|2.6|NaN|1|360|1|t|H
32|0|32|54917|51.2|2.6|101|51.2|2.5|NaN|1|360|1|t|H
32|0|32|54917|51.2|2.6|100|NaN|NaN|NaN|1|360|1|t|H
33|0|33|54917|51.2|2.5|1|59.6|5.0|NaN|1|360|1|t|H
34|0|34|61366|59.6|5.0|100|NaN|NaN|NaN|1|360|1|t|H
34|0|34|61366|59.6|5.0|101|63.4|5.9|NaN|1|360|1|t|H
35|0|35|61366|63.4|5.9|1|77.7|31.9|NaN|1|360|1|t|H
38|0|38|152760|77.7|31.9|101|91.3|31.3|NaN|1|360|1|t|H
38|0|38|152760|77.7|31.9|100|NaN|NaN|NaN|1|360|1|t|H
39|0|39|152760|91.3|31.3|15|100.0|53.6|8.3|1|360|1|f|H
39|0|39|15337|4.5|57.0|10|NaN|NaN|NaN|1|596|1|f|A
40|0|40|152760|93.4|37.2|6|NaN|NaN|NaN|1|360|1|f|H
40|0|40|15337|6.6|62.8|6|NaN|NaN|NaN|1|596|0|f|A
63|1|3|54917|99.5|0.5|1|95.1|39.5|NaN|1|360|0|f|H
65|1|5|20226|5.0|58.5|12|NaN|NaN|NaN|1|596|1|f|A
67|1|7|54917|75.6|-0.9|5|NaN|NaN|NaN|1|360|1|f|H
68|1|8|60210|24.4|100.9|5|NaN|NaN|NaN|1|596|0|f|A
81|1|21|55605|79.4|0.0|1|83.3|8.6|NaN|1|360|1|f|H
82|1|22|41184|83.3|8.6|100|NaN|NaN|NaN|1|360|1|f|H
83|1|23|41184|83.3|8.6|1|61.1|2.2|NaN|1|360|1|t|H
87|1|27|8924|61.3|2.9|1|67.1|0.0|NaN|1|360|0|t|H
89|1|29|8924|66.0|-1.0|5|NaN|NaN|NaN|1|360|0|f|H
89|1|29|60210|34.0|101.0|5|NaN|NaN|NaN|1|596|1|f|A
101|1|41|12875|37.0|100.0|1|47.3|59.0|NaN|1|596|0|f|A
104|1|44|61366|54.5|54.5|49|NaN|NaN|NaN|1|360|1|f|H
107|1|47|61366|77.2|61.2|15|100.0|50.0|0.0|1|360|1|f|H
107|1|47|60218|18.5|36.9|10|NaN|NaN|NaN|1|596|1|f|A
109|1|49|61366|80.4|63.1|6|NaN|NaN|NaN|1|360|1|f|H
109|1|49|60218|19.6|36.9|6|NaN|NaN|NaN|1|596|0|f|A
137|2|17|54917|99.5|99.5|1|89.5|44.8|NaN|1|360|0|f|H
141|2|21|17152|11.0|53.0|12|NaN|NaN|NaN|1|596|1|f|A
143|2|23|61366|77.0|7.7|1|51.4|7.6|NaN|1|360|1|t|H
145|2|25|55605|51.4|7.6|100|NaN|NaN|NaN|1|360|1|t|H
146|2|26|55605|51.4|7.6|1|38.5|26.7|NaN|1|360|1|t|H
149|2|29|41189|38.5|26.7|100|NaN|NaN|NaN|1|360|1|t|H
149|2|29|41189|38.5|26.7|101|35.9|37.6|NaN|1|360|1|t|H
150|2|30|41189|35.9|37.6|1|42.9|81.1|NaN|1|360|1|t|H
152|2|32|39194|42.9|81.1|100|NaN|NaN|NaN|1|360|1|t|H
152|2|32|39194|42.9|81.1|101|43.4|83.3|NaN|1|360|1|t|H
153|2|33|39194|43.4|83.3|1|47.6|95.6|NaN|1|360|1|t|H
157|2|37|60210|41.5|8.0|4|NaN|NaN|NaN|1|596|0|f|A
157|2|37|42786|58.5|92.0|4|NaN|NaN|NaN|1|360|1|f|H
171|2|51|39194|57.8|93.6|1|37.5|60.3|NaN|1|360|1|f|H
171|2|51|17476|37.5|60.3|100|NaN|NaN|NaN|1|360|1|f|H
172|2|52|17476|37.5|60.3|1|39.2|25.2|NaN|1|360|1|t|H
172|2|52|8924|39.2|25.2|100|NaN|NaN|NaN|1|360|1|t|H
173|2|53|8924|39.2|25.2|1|62.2|2.5|NaN|1|360|1|t|H
176|2|56|61770|32.4|96.5|7|NaN|NaN|NaN|1|596|1|f|A
176|2|56|55605|67.6|3.5|3|NaN|NaN|NaN|1|360|0|f|H
177|2|57|61770|29.0|93.8|1|34.2|78.1|NaN|1|596|1|t|A
178|2|58|37368|34.2|78.1|49|NaN|NaN|NaN|1|596|1|f|A
179|2|59|37368|34.8|82.1|1|22.7|83.0|NaN|1|596|1|t|A
182|3|2|12875|22.7|83.0|100|NaN|NaN|NaN|1|596|1|t|A
182|3|2|12875|22.7|83.0|101|25.1|79.7|NaN|1|596|1|t|A
183|3|3|12875|25.1|79.7|1|10.7|72.6|NaN|1|596|1|t|A
186|3|6|60207|10.7|72.6|101|16.5|69.1|NaN|1|596|1|t|A
186|3|6|60207|10.7|72.6|100|NaN|NaN|NaN|1|596|1|t|A
187|3|7|60207|16.5|69.1|1|27.8|7.7|NaN|1|596|1|t|A
192|3|12|60218|27.8|7.7|101|32.5|13.4|NaN|1|596|1|t|A
192|3|12|60218|27.8|7.7|100|NaN|NaN|NaN|1|596|1|t|A
193|3|13|60218|32.5|13.4|1|14.4|49.7|NaN|1|596|1|t|A
196|3|16|15337|14.4|49.7|100|NaN|NaN|NaN|1|596|1|t|A
196|3|16|15337|14.4|49.7|101|15.9|50.9|NaN|1|596|1|t|A
197|3|17|15337|15.9|50.9|1|21.8|65.5|NaN|1|596|1|t|A
201|3|21|60207|21.8|65.5|100|NaN|NaN|NaN|1|596|1|t|A
201|3|21|60207|21.8|65.5|101|33.3|85.6|NaN|1|596|1|t|A
202|3|22|60207|33.3|85.6|1|51.0|93.2|NaN|1|596|1|t|A
203|3|23|12875|51.0|93.2|100|NaN|NaN|NaN|1|596|1|t|A
204|3|24|12875|51.0|93.2|1|45.3|81.1|NaN|1|596|1|t|A
206|3|26|61770|45.3|81.1|101|59.2|75.0|NaN|1|596|1|t|A
206|3|26|61770|45.3|81.1|100|NaN|NaN|NaN|1|596|1|t|A
207|3|27|61770|59.2|75.0|1|66.6|95.4|NaN|1|596|1|t|A
208|3|28|12875|66.6|95.4|1|73.0|72.3|NaN|1|596|0|t|A
210|3|30|8924|28.7|22.4|49|NaN|NaN|NaN|1|360|1|f|H
210|3|30|8924|29.1|22.5|1|44.4|10.9|NaN|1|360|1|t|H
212|3|32|61366|44.6|12.4|50|NaN|NaN|NaN|1|360|1|f|H
212|3|32|50089|55.4|87.6|7|NaN|NaN|NaN|1|596|1|f|A
213|3|33|12875|58.8|86.8|1|62.5|88.6|NaN|1|596|1|t|A
214|3|34|50089|62.8|85.7|49|NaN|NaN|NaN|1|596|1|f|A
215|3|35|50089|66.7|72.3|1|95.7|64.3|NaN|1|596|0|t|A
