_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|43692|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|111457|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|67140|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|40349|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|70496|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|18427|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|49529|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|41071|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37036|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37198|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|37197|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|183059|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|85665|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|156604|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|155084|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|111674|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|20301|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|87447|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|46696|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|18695|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|42544|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|H
0|0|0|36803|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|A
0|0|0|85665|0.0|0.0|34|NaN|NaN|NaN|1|537|1|f|H
0|0|0|18427|0.0|0.0|34|NaN|NaN|NaN|1|1042|1|f|A
1|0|1|46696|50.0|50.0|1|51.4|50.6|NaN|1|537|1|t|H
1|0|1|42544|51.4|50.6|100|NaN|NaN|NaN|1|537|1|t|H
2|0|2|42544|51.4|50.6|1|34.7|41.8|NaN|1|537|1|t|H
2|0|2|87447|34.7|41.8|100|NaN|NaN|NaN|1|537|1|t|H
3|0|3|87447|34.7|41.8|1|39.0|68.8|NaN|1|537|1|t|H
4|0|4|85665|39.0|68.8|100|NaN|NaN|NaN|1|537|1|t|H
4|0|4|85665|39.0|68.8|101|39.0|74.1|NaN|1|537|1|t|H
5|0|5|85665|39.0|74.1|1|40.6|96.1|NaN|1|537|1|t|H
6|0|6|111457|40.6|96.1|100|NaN|NaN|NaN|1|537|1|t|H
7|0|7|111457|40.6|96.1|1|40.1|69.3|NaN|1|537|1|t|H
8|0|8|85665|40.1|69.3|100|NaN|NaN|NaN|1|537|1|t|H
8|0|8|85665|40.1|69.3|101|39.9|66.0|NaN|1|537|1|t|H
9|0|9|85665|39.9|66.0|1|41.5|41.5|NaN|1|537|1|t|H
11|0|11|43692|41.5|41.5|100|NaN|NaN|NaN|1|537|1|t|H
11|0|11|43692|41.5|41.5|101|43.5|36.4|NaN|1|537|1|t|H
12|0|12|43692|43.5|36.4|1|45.1|6.9|NaN|1|537|1|t|H
13|0|13|67140|45.1|6.9|100|NaN|NaN|NaN|1|537|1|t|H
14|0|14|67140|45.1|6.9|1|33.9|22.1|NaN|1|537|1|t|H
16|0|16|70496|33.9|22.1|101|33.9|25.5|NaN|1|537|1|t|H
16|0|16|70496|33.9|22.1|100|NaN|NaN|NaN|1|537|1|t|H
17|0|17|70496|33.9|25.5|1|43.5|63.7|NaN|1|537|1|t|H
19|0|19|87447|43.5|63.7|100|NaN|NaN|NaN|1|537|1|t|H
19|0|19|87447|43.5|63.7|101|43.5|66.1|NaN|1|537|1|t|H
20|0|20|87447|43.5|66.1|1|54.9|98.3|NaN|1|537|1|t|H
22|0|22|111457|54.9|98.3|100|NaN|NaN|NaN|1|537|1|t|H
22|0|22|111457|54.9|98.3|101|43.2|86.3|NaN|1|537|1|t|H
23|0|23|111457|43.2|86.3|1|40.2|77.5|NaN|1|537|1|t|H
27|0|27|87447|40.2|77.5|101|41.1|64.8|NaN|1|537|1|t|H
27|0|27|87447|40.2|77.5|100|NaN|NaN|NaN|1|537|1|t|H
28|0|28|87447|41.1|64.8|1|44.6|54.7|NaN|1|537|1|t|H
29|0|29|43692|44.6|54.7|101|45.3|50.6|NaN|1|537|1|t|H
29|0|29|43692|44.6|54.7|100|NaN|NaN|NaN|1|537|1|t|H
30|0|30|43692|45.3|50.6|1|44.4|34.0|NaN|1|537|1|t|H
30|0|30|46696|44.4|34.0|100|NaN|NaN|NaN|1|537|1|t|H
31|0|31|46696|44.4|34.0|1|44.7|56.1|NaN|1|537|1|t|H
32|0|32|87447|44.7|56.1|100|NaN|NaN|NaN|1|537|1|t|H
32|0|32|87447|44.7|56.1|101|45.2|56.4|NaN|1|537|1|t|H
33|0|33|87447|45.2|56.4|1|55.3|96.8|NaN|1|537|1|t|H
35|0|35|111457|55.3|96.8|100|NaN|NaN|NaN|1|537|1|t|H
35|0|35|111457|55.3|96.8|101|54.6|95.0|NaN|1|537|1|t|H
36|0|36|111457|54.6|95.0|1|45.4|79.0|NaN|1|537|1|t|H
39|0|39|20301|45.4|79.0|100|NaN|NaN|NaN|1|537|1|t|H
39|0|39|20301|45.4|79.0|101|45.3|70.9|NaN|1|537|1|t|H
40|0|40|20301|45.3|70.9|1|46.4|56.6|NaN|1|537|1|t|H
44|0|44|87447|45.7|53.4|1|67.7|4.5|NaN|1|537|0|t|H
47|0|47|156604|24.4|92.3|1|37.8|91.5|NaN|1|1042|1|t|A
49|0|49|18427|38.0|95.5|49|NaN|NaN|NaN|1|1042|1|f|A
50|0|50|18427|40.4|97.4|1|59.0|97.1|NaN|1|1042|0|t|A
52|0|52|67140|39.6|2.3|8|NaN|NaN|NaN|1|537|1|f|H
