_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|48852|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|122779|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37269|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|48853|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|100981|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|83531|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|118749|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|42565|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37265|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|105835|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|33148|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27789|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61278|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|15780|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
0|0|0|105835|0.0|0.0|34|NaN|NaN|NaN|1|831|1|f|A
1|0|1|42565|49.9|49.9|1|51.0|47.9|NaN|1|831|1|t|A
1|0|1|37265|51.0|47.9|100|NaN|NaN|NaN|1|831|1|t|A
2|0|2|37265|51.0|47.9|1|36.3|51.5|NaN|1|831|1|t|A
3|0|3|118749|36.3|51.5|100|NaN|NaN|NaN|1|831|1|t|A
4|0|4|118749|36.3|51.5|1|35.0|92.3|NaN|1|831|1|t|A
5|0|5|122779|35.0|92.3|100|NaN|NaN|NaN|1|831|1|t|A
6|0|6|122779|35.0|92.3|1|40.8|85.4|NaN|1|831|1|t|A
9|0|9|27789|58.0|18.4|7|NaN|NaN|NaN|1|614|0|f|H
9|0|9|118749|42.0|81.6|50|NaN|NaN|NaN|1|831|1|f|A
13|0|13|27789|53.6|18.0|4|NaN|NaN|NaN|1|614|0|f|H
13|0|13|118749|46.4|82.0|4|NaN|NaN|NaN|1|831|1|f|A
26|0|26|37269|48.8|79.0|1|33.0|63.9|NaN|1|831|1|f|A
28|0|28|48853|33.0|63.9|100|NaN|NaN|NaN|1|831|1|f|A
28|0|28|48853|33.0|63.9|101|32.9|65.7|NaN|1|831|1|f|A
29|0|29|48853|32.9|65.7|1|41.0|86.2|NaN|1|831|1|t|A
32|0|32|37269|40.8|84.1|1|75.0|95.4|NaN|1|831|0|t|A
34|0|34|15780|22.5|5.6|12|NaN|NaN|NaN|1|614|1|f|H
37|0|37|15780|38.4|-1.4|5|NaN|NaN|NaN|1|614|0|f|H
37|0|37|37269|61.6|101.4|5|NaN|NaN|NaN|1|831|1|f|A
44|0|44|122779|62.3|100.0|1|71.7|97.1|NaN|1|831|1|f|A
48|0|48|51090|29.6|4.5|4|NaN|NaN|NaN|1|614|0|f|H
48|0|48|42565|70.4|95.5|4|NaN|NaN|NaN|1|831|1|f|A
79|1|19|118749|71.6|96.2|1|92.8|52.7|NaN|1|831|0|f|A
81|1|21|27789|8.3|49.1|12|NaN|NaN|NaN|1|614|1|f|H
82|1|22|15780|22.5|41.5|49|NaN|NaN|NaN|1|614|1|f|H
83|1|23|15780|22.7|41.5|1|29.0|54.8|NaN|1|614|1|t|H
86|1|26|53645|38.8|77.8|1|59.6|79.6|NaN|1|614|0|t|H
89|1|29|100981|42.5|18.9|49|NaN|NaN|NaN|1|831|1|f|A
89|1|29|100981|42.5|18.9|1|47.7|25.3|NaN|1|831|1|t|A
91|1|31|48852|47.7|25.3|100|NaN|NaN|NaN|1|831|1|t|A
92|1|32|48852|47.7|25.3|1|68.6|25.6|NaN|1|831|1|t|A
93|1|33|37265|69.6|26.2|1|85.9|41.9|NaN|1|831|0|t|A
94|1|34|19928|14.4|53.6|52|NaN|NaN|NaN|1|614|1|f|H
102|1|42|19928|14.5|52.1|1|65.4|66.4|NaN|1|614|1|t|H
105|1|45|27250|65.4|66.4|101|55.3|65.5|NaN|1|614|1|t|H
