_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|42738|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|50369|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|42824|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|27300|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|12204|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|66733|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|37399|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|62914|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|60025|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|59380|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|48844|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|100534|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61278|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27789|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|18573|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
0|0|0|59380|0.0|0.0|34|NaN|NaN|NaN|1|832|1|f|A
1|0|1|59380|50.1|50.0|1|52.1|49.7|NaN|1|832|1|t|A
1|0|1|62914|52.1|49.7|101|52.6|52.8|NaN|1|832|1|t|A
1|0|1|62914|52.1|49.7|100|NaN|NaN|NaN|1|832|1|t|A
2|0|2|62914|52.6|52.8|1|56.8|93.3|NaN|1|832|1|t|A
5|0|5|50369|60.9|95.3|1|81.2|49.3|NaN|1|832|0|t|A
8|0|8|41270|19.5|54.8|44|NaN|NaN|NaN|1|614|1|f|H
8|0|8|42824|80.5|45.2|44|NaN|NaN|NaN|1|832|0|f|A
9|0|9|41270|20.2|59.3|12|NaN|NaN|NaN|1|614|1|f|H
10|0|10|53645|31.3|78.5|49|NaN|NaN|NaN|1|614|1|f|H
13|0|13|53645|35.8|97.4|1|100.0|95.0|NaN|1|614|0|t|H
20|0|20|48844|-0.7|4.2|5|NaN|NaN|NaN|1|832|1|f|A
