_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15780|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|100534|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61278|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|7810|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|13139|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|68353|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|34703|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|38462|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|38454|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|45034|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|37055|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|62419|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|91651|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|17347|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|13139|0.0|0.0|34|NaN|NaN|NaN|1|535|1|f|A
0|0|0|53645|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
1|0|1|91651|50.1|50.7|1|53.1|50.0|NaN|1|535|1|t|A
1|0|1|62419|53.1|50.0|100|NaN|NaN|NaN|1|535|1|t|A
2|0|2|62419|53.1|50.0|1|38.2|52.5|NaN|1|535|1|t|A
3|0|3|34703|38.2|52.5|100|NaN|NaN|NaN|1|535|1|t|A
3|0|3|34703|38.2|52.5|101|38.2|53.0|NaN|1|535|1|t|A
4|0|4|34703|38.2|53.0|1|20.9|48.2|NaN|1|535|1|t|A
5|0|5|38454|20.9|48.2|100|NaN|NaN|NaN|1|535|1|t|A
6|0|6|38454|20.9|48.2|1|9.0|39.1|NaN|1|535|1|t|A
7|0|7|7810|8.8|39.2|1|30.6|0.0|NaN|1|535|0|t|A
10|0|10|61262|0.0|0.0|43|NaN|NaN|NaN|1|614|1|f|H
11|0|11|61262|68.7|101.2|5|NaN|NaN|NaN|1|614|1|f|H
11|0|11|7810|31.3|-1.2|5|NaN|NaN|NaN|1|535|0|f|A
12|0|12|61278|68.6|100.0|1|72.8|85.7|NaN|1|614|1|f|H
15|0|15|53645|72.8|85.7|101|73.0|85.1|NaN|1|614|1|f|H
15|0|15|53645|72.8|85.7|100|NaN|NaN|NaN|1|614|1|f|H
16|0|16|53645|73.0|85.1|1|69.8|97.1|NaN|1|614|1|t|H
17|0|17|61278|69.8|97.1|61|NaN|NaN|NaN|1|614|0|f|H
18|0|18|17347|22.0|8.5|12|NaN|NaN|NaN|1|535|1|f|A
21|0|21|13139|59.0|34.0|61|NaN|NaN|NaN|1|535|0|f|A
23|0|23|41270|40.8|73.5|12|NaN|NaN|NaN|1|614|1|f|H
28|0|28|41270|26.1|-1.1|5|NaN|NaN|NaN|1|614|0|f|H
28|0|28|13139|72.4|101.2|5|NaN|NaN|NaN|1|535|1|f|A
37|0|37|68353|70.8|100.0|1|65.1|87.7|NaN|1|535|1|f|A
37|0|37|91651|65.1|87.7|100|NaN|NaN|NaN|1|535|1|f|A
38|0|38|91651|65.1|87.7|1|83.1|94.1|NaN|1|535|1|t|A
38|0|38|13139|83.1|94.1|100|NaN|NaN|NaN|1|535|1|t|A
39|0|39|13139|83.1|94.1|1|72.6|72.1|NaN|1|535|1|t|A
41|0|41|91651|72.6|72.1|101|76.2|72.8|NaN|1|535|1|t|A
41|0|41|91651|72.6|72.1|100|NaN|NaN|NaN|1|535|1|t|A
42|0|42|91651|76.2|72.8|13|100.0|60.1|6.9|1|535|1|f|A
44|0|44|61278|-1.2|38.6|5|NaN|NaN|NaN|1|614|1|f|H
44|0|44|91651|101.2|61.4|5|NaN|NaN|NaN|1|535|0|f|A
59|0|59|19928|5.0|37.0|1|23.9|29.4|NaN|1|614|1|f|H
59|0|59|51090|23.9|29.4|100|NaN|NaN|NaN|1|614|1|f|H
60|1|0|51090|23.9|29.4|1|32.4|6.4|NaN|1|614|1|t|H
60|1|0|15780|32.4|6.4|100|NaN|NaN|NaN|1|614|1|t|H
60|1|0|15780|32.4|6.4|101|34.6|9.5|NaN|1|614|1|t|H
61|1|1|15780|34.6|9.5|1|22.9|29.2|NaN|1|614|1|t|H
64|1|4|51090|22.9|29.2|100|NaN|NaN|NaN|1|614|1|t|H
64|1|4|51090|22.9|29.2|101|28.6|31.6|NaN|1|614|1|t|H
65|1|5|51090|28.6|31.6|1|28.0|75.6|NaN|1|614|1|t|H
69|1|9|41270|28.0|75.6|100|NaN|NaN|NaN|1|614|1|t|H
69|1|9|41270|28.0|75.6|101|29.0|74.1|NaN|1|614|1|t|H
70|1|10|41270|29.0|74.1|1|32.9|42.4|NaN|1|614|1|t|H
73|1|13|100534|32.9|42.4|100|NaN|NaN|NaN|1|614|1|t|H
73|1|13|100534|32.9|42.4|101|37.4|25.2|NaN|1|614|1|t|H
74|1|14|100534|37.4|25.2|1|44.4|4.1|NaN|1|614|1|t|H
76|1|16|13139|55.6|93.8|45|NaN|NaN|NaN|1|535|0|f|A
76|1|16|15780|44.4|6.2|3|NaN|NaN|NaN|1|614|1|f|H
81|1|21|15780|79.8|4.7|1|88.6|41.6|NaN|1|614|0|f|H
83|1|23|38454|13.5|69.0|12|NaN|NaN|NaN|1|535|1|f|A
86|1|26|13139|40.5|92.1|1|32.8|100.0|NaN|1|535|0|t|A
87|1|27|13139|27.2|101.0|5|NaN|NaN|NaN|1|535|0|f|A
87|1|27|15780|72.8|-1.0|5|NaN|NaN|NaN|1|614|1|f|H
89|1|29|15780|78.3|0.0|1|79.2|13.2|NaN|1|614|1|f|H
93|1|33|61278|79.2|13.2|101|72.8|11.7|NaN|1|614|1|f|H
93|1|33|61278|79.2|13.2|100|NaN|NaN|NaN|1|614|1|f|H
94|1|34|61278|72.8|11.7|1|72.1|27.9|NaN|1|614|1|t|H
97|1|37|100534|72.1|27.9|101|65.2|28.2|NaN|1|614|1|t|H
97|1|37|100534|72.1|27.9|100|NaN|NaN|NaN|1|614|1|t|H
98|1|38|100534|65.2|28.2|1|52.9|20.1|NaN|1|614|1|t|H
99|1|39|51090|52.9|20.1|100|NaN|NaN|NaN|1|614|1|t|H
99|1|39|51090|52.9|20.1|101|54.1|18.5|NaN|1|614|1|t|H
100|1|40|51090|54.1|18.5|1|64.2|11.3|NaN|1|614|1|t|H
104|1|44|15780|64.2|11.3|100|NaN|NaN|NaN|1|614|1|t|H
104|1|44|15780|64.2|11.3|101|61.2|23.6|NaN|1|614|1|t|H
105|1|45|15780|61.2|23.6|1|48.0|32.2|NaN|1|614|1|t|H
109|1|49|47654|48.0|32.2|100|NaN|NaN|NaN|1|614|1|t|H
109|1|49|47654|48.0|32.2|101|45.9|52.7|NaN|1|614|1|t|H
110|1|50|47654|45.9|52.7|1|47.0|25.0|NaN|1|614|1|t|H
113|1|53|51090|47.0|25.0|101|54.6|24.3|NaN|1|614|1|t|H
113|1|53|51090|47.0|25.0|100|NaN|NaN|NaN|1|614|1|t|H
114|1|54|51090|54.6|24.3|1|43.5|38.6|NaN|1|614|1|t|H
117|1|57|47654|43.5|38.6|100|NaN|NaN|NaN|1|614|1|t|H
117|1|57|47654|43.5|38.6|101|43.4|51.8|NaN|1|614|1|t|H
118|1|58|47654|43.4|51.8|1|44.6|86.6|NaN|1|614|1|t|H
122|2|2|41270|44.6|86.6|101|46.1|86.0|NaN|1|614|1|t|H
122|2|2|41270|44.6|86.6|100|NaN|NaN|NaN|1|614|1|t|H
123|2|3|41270|46.1|86.0|1|43.7|63.7|NaN|1|614|1|t|H
125|2|5|47654|43.7|63.7|100|NaN|NaN|NaN|1|614|1|t|H
126|2|6|47654|43.7|63.7|1|48.4|55.8|NaN|1|614|1|t|H
128|2|8|100534|48.4|55.8|100|NaN|NaN|NaN|1|614|1|t|H
128|2|8|100534|48.4|55.8|101|46.2|59.3|NaN|1|614|1|t|H
129|2|9|100534|46.2|59.3|1|53.7|88.4|NaN|1|614|1|t|H
133|2|13|41270|53.7|88.4|100|NaN|NaN|NaN|1|614|1|t|H
133|2|13|41270|53.7|88.4|101|53.8|68.7|NaN|1|614|1|t|H
134|2|14|41270|53.8|68.7|1|53.4|28.0|NaN|1|614|1|t|H
135|2|15|51090|53.4|28.0|100|NaN|NaN|NaN|1|614|1|t|H
135|2|15|51090|53.4|28.0|101|53.5|26.2|NaN|1|614|1|t|H
136|2|16|51090|53.5|26.2|1|61.6|4.9|NaN|1|614|1|t|H
138|2|18|15780|61.6|4.9|101|56.6|6.4|NaN|1|614|1|t|H
138|2|18|15780|61.6|4.9|100|NaN|NaN|NaN|1|614|1|t|H
139|2|19|15780|56.6|6.4|1|42.4|14.0|NaN|1|614|1|t|H
143|2|23|51090|42.4|14.0|101|53.2|26.2|NaN|1|614|1|t|H
143|2|23|51090|42.4|14.0|100|NaN|NaN|NaN|1|614|1|t|H
144|2|24|51090|53.2|26.2|1|42.5|39.5|NaN|1|614|1|t|H
148|2|28|47654|42.5|39.5|100|NaN|NaN|NaN|1|614|1|t|H
148|2|28|47654|42.5|39.5|101|46.1|52.8|NaN|1|614|1|t|H
149|2|29|47654|46.1|52.8|1|53.3|26.1|NaN|1|614|1|t|H
153|2|33|15780|53.3|26.1|101|62.4|22.7|NaN|1|614|1|t|H
153|2|33|15780|53.3|26.1|100|NaN|NaN|NaN|1|614|1|t|H
154|2|34|15780|62.4|22.7|1|68.1|5.2|NaN|1|614|1|t|H
156|2|36|61262|65.4|6.5|1|68.4|10.6|NaN|1|614|0|t|H
157|2|37|68353|31.4|93.9|74|NaN|NaN|NaN|1|535|1|f|A
159|2|39|13139|44.6|94.8|49|NaN|NaN|NaN|1|535|1|f|A
164|2|44|13139|68.3|95.5|3|NaN|NaN|NaN|1|535|1|f|A
164|2|44|51090|31.7|4.5|45|NaN|NaN|NaN|1|614|0|f|H
168|2|48|13139|82.0|95.1|1|90.5|45.2|NaN|1|535|0|f|A
169|2|49|41270|8.8|52.7|12|NaN|NaN|NaN|1|614|1|f|H
170|2|50|51090|14.8|30.7|1|7.4|35.5|NaN|1|614|1|t|H
172|2|52|47654|7.4|35.5|49|NaN|NaN|NaN|1|614|1|f|H
173|2|53|47654|7.6|34.9|1|7.9|19.1|NaN|1|614|1|t|H
175|2|55|51090|7.9|19.1|100|NaN|NaN|NaN|1|614|1|t|H
175|2|55|51090|7.9|19.1|101|8.7|18.0|NaN|1|614|1|t|H
176|2|56|51090|8.7|18.0|1|24.2|11.4|NaN|1|614|1|t|H
177|2|57|15780|24.2|11.4|101|24.6|12.0|NaN|1|614|1|t|H
177|2|57|15780|24.2|11.4|100|NaN|NaN|NaN|1|614|1|t|H
178|2|58|15780|24.6|12.0|1|32.0|24.7|NaN|1|614|1|t|H
180|3|0|100534|32.0|24.7|100|NaN|NaN|NaN|1|614|1|t|H
180|3|0|100534|32.0|24.7|101|27.4|34.3|NaN|1|614|1|t|H
181|3|1|100534|27.4|34.3|1|27.6|75.4|NaN|1|614|1|t|H
184|3|4|41270|27.6|75.4|100|NaN|NaN|NaN|1|614|1|t|H
184|3|4|41270|27.6|75.4|101|26.8|75.1|NaN|1|614|1|t|H
185|3|5|41270|26.8|75.1|1|39.7|78.1|NaN|1|614|1|t|H
185|3|5|61278|39.7|78.1|100|NaN|NaN|NaN|1|614|1|t|H
185|3|5|61278|39.7|78.1|101|40.8|77.0|NaN|1|614|1|t|H
186|3|6|61278|40.8|77.0|1|30.0|73.9|NaN|1|614|1|t|H
192|3|12|41270|36.8|61.8|1|72.9|100.0|NaN|1|614|0|t|H
198|3|18|13139|25.3|-1.4|5|NaN|NaN|NaN|1|535|1|f|A
198|3|18|41270|74.7|101.4|5|NaN|NaN|NaN|1|614|0|f|H
