_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|15208|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|39816|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|5155|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|26894|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|100649|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27789|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|18573|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53645|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
0|0|0|37605|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|A
1|0|1|5155|50.1|50.6|1|53.2|46.9|NaN|1|357|1|t|A
2|0|2|55634|53.2|46.9|100|NaN|NaN|NaN|1|357|1|t|A
3|0|3|55634|53.2|46.9|1|34.4|39.5|NaN|1|357|1|t|A
4|0|4|15208|34.4|39.5|100|NaN|NaN|NaN|1|357|1|t|A
4|0|4|15208|34.4|39.5|101|35.0|39.5|NaN|1|357|1|t|A
5|0|5|15208|35.0|39.5|1|33.3|15.3|NaN|1|357|1|t|A
9|0|9|40691|38.6|4.0|1|56.7|8.8|NaN|1|357|0|t|A
10|0|10|47654|43.0|84.1|49|NaN|NaN|NaN|1|614|1|f|H
11|0|11|47654|52.0|85.9|1|57.0|95.7|NaN|1|614|1|t|H
11|0|11|27250|57.0|95.7|100|NaN|NaN|NaN|1|614|1|t|H
12|0|12|27250|57.0|95.7|1|37.0|85.0|NaN|1|614|1|t|H
14|0|14|5155|0.0|0.0|43|NaN|NaN|NaN|1|357|1|f|A
16|0|16|39563|48.1|85.1|1|61.4|94.1|NaN|1|614|1|t|H
21|0|21|27250|57.9|88.0|1|75.0|55.4|NaN|1|614|0|t|H
24|0|24|41316|21.8|47.3|1|28.5|59.3|NaN|1|357|0|t|A
25|0|25|61262|72.2|51.0|50|NaN|NaN|NaN|1|614|1|f|H
25|0|25|15208|27.6|48.5|7|NaN|NaN|NaN|1|357|1|f|A
29|0|29|100649|84.4|7.7|1|72.2|8.0|NaN|1|614|1|t|H
31|0|31|18573|72.2|8.0|101|72.5|8.8|NaN|1|614|1|t|H
31|0|31|18573|72.2|8.0|100|NaN|NaN|NaN|1|614|1|t|H
32|0|32|18573|72.5|8.8|1|94.0|11.4|NaN|1|614|1|t|H
34|0|34|27789|94.0|11.4|1|94.2|15.8|NaN|1|614|0|f|H
35|0|35|15208|5.8|81.7|12|NaN|NaN|NaN|1|357|1|f|A
37|0|37|15208|5.8|83.0|6|NaN|NaN|NaN|1|357|0|f|A
37|0|37|27789|94.2|17.0|6|NaN|NaN|NaN|1|614|1|f|H
74|1|14|61262|99.5|0.5|1|95.4|48.1|NaN|1|614|0|f|H
78|1|18|40691|4.1|52.4|12|NaN|NaN|NaN|1|357|1|f|A
81|1|21|39563|64.8|48.1|1|68.7|84.1|NaN|1|614|1|t|H
84|1|24|53645|68.7|84.1|100|NaN|NaN|NaN|1|614|1|t|H
84|1|24|53645|68.7|84.1|101|70.2|85.1|NaN|1|614|1|t|H
85|1|25|53645|70.2|85.1|1|78.1|93.0|NaN|1|614|1|t|H
87|1|27|26894|81.9|95.0|1|90.5|48.7|NaN|1|614|0|f|H
89|1|29|41316|6.8|53.9|12|NaN|NaN|NaN|1|357|1|f|A
92|1|32|39816|30.3|18.3|1|33.0|43.1|NaN|1|357|1|t|A
93|1|33|44989|32.9|43.9|49|NaN|NaN|NaN|1|357|1|f|A
94|1|34|44989|32.9|43.9|1|41.5|66.9|NaN|1|357|0|t|A
95|1|35|100649|56.3|32.1|49|NaN|NaN|NaN|1|614|1|f|H
96|1|36|100649|56.4|31.0|1|70.9|7.3|NaN|1|614|1|t|H
101|1|41|61262|70.9|7.3|100|NaN|NaN|NaN|1|614|1|t|H
101|1|41|61262|70.9|7.3|101|74.3|19.5|NaN|1|614|1|t|H
102|1|42|61262|74.3|19.5|1|62.6|18.2|NaN|1|614|1|t|H
106|1|46|37605|33.8|84.3|45|NaN|NaN|NaN|1|357|0|f|A
106|1|46|47654|66.2|15.7|3|NaN|NaN|NaN|1|614|1|f|H
107|1|47|47654|69.4|18.9|1|76.3|4.0|NaN|1|614|1|t|H
108|1|48|100649|76.3|4.0|100|NaN|NaN|NaN|1|614|1|t|H
108|1|48|100649|76.3|4.0|101|84.6|5.0|NaN|1|614|1|t|H
109|1|49|100649|84.6|5.0|1|94.8|14.1|NaN|1|614|1|t|H
116|1|56|47654|94.1|4.0|1|93.8|7.6|NaN|1|614|0|f|H
118|1|58|38392|5.0|95.7|12|NaN|NaN|NaN|1|357|1|f|A
119|1|59|38392|6.4|101.8|5|NaN|NaN|NaN|1|357|0|f|A
119|1|59|47654|93.6|-1.8|5|NaN|NaN|NaN|1|614|1|f|H
128|2|8|18573|91.9|0.0|1|74.6|14.3|NaN|1|614|1|f|H
130|2|10|27789|73.4|12.3|1|79.3|31.9|NaN|1|614|0|t|H
132|2|12|47654|0.0|0.0|43|NaN|NaN|NaN|1|614|1|f|H
133|2|13|39563|71.4|71.8|3|NaN|NaN|NaN|1|614|1|f|H
133|2|13|55634|28.6|28.2|45|NaN|NaN|NaN|1|357|0|f|A
135|2|15|38392|22.7|56.1|12|NaN|NaN|NaN|1|357|1|f|A
