_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|43106|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|73698|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|49656|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|6685|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|33360|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|102578|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|119772|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|40275|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|53515|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|37064|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|33376|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53392|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|100534|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61278|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|15780|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
0|0|0|37064|0.0|0.0|34|NaN|NaN|NaN|1|659|1|f|A
