_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|4719|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|85352|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|85654|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|39204|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|41733|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|9809|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|53392|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|100534|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|39461|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|47431|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|18573|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|H
0|0|0|61262|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|H
0|0|0|8533|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|A
1|0|1|12297|50.0|48.2|1|51.0|49.1|NaN|1|366|1|t|A
1|0|1|8533|51.0|49.1|101|51.4|44.3|NaN|1|366|1|t|A
1|0|1|8533|51.0|49.1|100|NaN|NaN|NaN|1|366|1|t|A
