_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15780|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|39563|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|47654|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|51090|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|41270|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|53645|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|100534|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|27250|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|61262|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|61278|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|19928|0.0|0.0|102|NaN|NaN|NaN|1|614|1|f|A
0|0|0|10995|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|42564|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|44324|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|27671|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|52775|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|60914|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|73678|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|56069|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|83465|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|37880|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|67527|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|42564|0.0|0.0|34|NaN|NaN|NaN|1|494|1|f|H
0|0|0|61278|0.0|0.0|34|NaN|NaN|NaN|1|614|1|f|A
1|0|1|27250|50.0|50.0|1|52.7|49.7|NaN|1|614|1|t|A
1|0|1|61278|52.7|49.7|101|53.0|49.7|NaN|1|614|1|t|A
1|0|1|61278|52.7|49.7|100|NaN|NaN|NaN|1|614|1|t|A
2|0|2|61278|53.0|49.7|1|30.3|49.6|NaN|1|614|1|t|A
5|0|5|51090|32.1|47.9|1|80.7|55.7|NaN|1|614|0|t|A
8|0|8|60914|22.2|43.9|12|NaN|NaN|NaN|1|494|1|f|H
11|0|11|44324|23.2|78.4|49|NaN|NaN|NaN|1|494|1|f|H
11|0|11|44324|23.2|78.4|1|33.0|95.9|NaN|1|494|0|t|H
14|0|14|15780|66.0|3.5|8|NaN|NaN|NaN|1|614|1|f|A
15|0|15|15780|63.8|12.3|49|NaN|NaN|NaN|1|614|1|f|A
16|0|16|15780|65.8|22.5|1|66.0|34.6|NaN|1|614|1|t|A
16|0|16|61262|66.0|34.6|101|65.1|32.4|NaN|1|614|1|t|A
16|0|16|61262|66.0|34.6|100|NaN|NaN|NaN|1|614|1|t|A
17|0|17|61262|65.1|32.4|1|65.2|22.7|NaN|1|614|1|t|A
18|0|18|15780|65.2|22.7|101|65.6|23.6|NaN|1|614|1|t|A
18|0|18|15780|65.2|22.7|100|NaN|NaN|NaN|1|614|1|t|A
19|0|19|15780|65.6|23.6|1|75.8|20.3|NaN|1|614|1|t|A
21|0|21|100534|75.8|20.0|61|NaN|NaN|NaN|1|614|0|f|A
22|0|22|42564|28.1|93.9|61|NaN|NaN|NaN|1|494|0|f|H
24|0|24|53645|78.1|3.2|1|78.9|14.3|NaN|1|614|1|t|A
24|0|24|100534|78.9|14.3|100|NaN|NaN|NaN|1|614|1|t|A
25|0|25|100534|78.9|14.3|1|83.6|3.4|NaN|1|614|1|t|A
29|0|29|44324|5.2|81.2|4|NaN|NaN|NaN|1|494|0|f|H
29|0|29|53645|94.8|18.8|4|NaN|NaN|NaN|1|614|1|f|A
101|1|41|61278|94.5|18.2|1|87.8|62.7|NaN|1|614|0|f|A
105|1|45|73678|11.5|28.3|49|NaN|NaN|NaN|1|494|1|f|H
106|1|46|73678|12.5|14.1|12|NaN|NaN|NaN|1|494|1|f|H
111|1|51|15780|26.7|88.1|49|NaN|NaN|NaN|1|614|1|f|A
115|1|55|15780|31.8|69.7|1|75.5|49.7|NaN|1|614|1|t|A
120|2|0|61278|75.5|49.7|100|NaN|NaN|NaN|1|614|1|t|A
120|2|0|61278|75.5|49.7|101|80.1|30.1|NaN|1|614|1|t|A
121|2|1|61278|80.1|30.1|1|94.1|29.8|NaN|1|614|1|t|A
121|2|1|53645|94.1|29.8|100|NaN|NaN|NaN|1|614|1|t|A
122|2|2|53645|94.1|29.8|1|91.9|50.0|NaN|1|614|1|t|A
123|2|3|100534|91.9|50.0|101|92.3|48.7|NaN|1|614|1|t|A
123|2|3|100534|91.9|50.0|100|NaN|NaN|NaN|1|614|1|t|A
124|2|4|100534|92.3|48.7|15|100.0|51.2|6.9|1|614|1|f|A
124|2|4|67527|6.1|48.9|10|NaN|NaN|NaN|1|494|1|f|H
127|2|7|27250|89.3|31.6|1|81.8|49.3|NaN|1|614|1|t|A
127|2|7|47654|81.8|49.3|100|NaN|NaN|NaN|1|614|1|t|A
128|2|8|47654|81.8|49.3|15|100.0|50.0|0.0|1|614|1|f|A
128|2|8|52775|13.9|46.0|10|NaN|NaN|NaN|1|494|1|f|H
130|2|10|52775|16.0|48.4|6|NaN|NaN|NaN|1|494|0|f|H
130|2|10|47654|84.0|51.6|6|NaN|NaN|NaN|1|614|1|f|A
150|2|30|61278|99.5|0.5|1|94.5|37.1|NaN|1|614|0|f|A
154|2|34|67527|4.6|69.6|12|NaN|NaN|NaN|1|494|1|f|H
157|2|37|67527|4.9|81.2|1|45.5|97.8|NaN|1|494|1|t|H
159|2|39|83465|47.5|97.4|61|NaN|NaN|NaN|1|494|0|f|H
160|2|40|39563|40.4|1.3|1|31.9|29.2|NaN|1|614|1|t|A
164|2|44|15780|31.9|29.2|49|NaN|NaN|NaN|1|614|1|f|A
171|2|51|15780|45.1|20.9|1|91.0|45.2|NaN|1|614|0|t|A
177|2|57|10995|9.0|51.8|52|NaN|NaN|NaN|1|494|1|f|H
184|3|4|10995|13.3|54.0|1|24.9|67.2|NaN|1|494|1|f|H
184|3|4|52775|24.9|67.2|100|NaN|NaN|NaN|1|494|1|f|H
185|3|5|52775|24.9|67.2|1|59.0|69.9|NaN|1|494|1|t|H
186|3|6|83465|59.0|69.9|1|63.2|58.4|NaN|1|494|0|t|H
186|3|6|47654|44.3|27.7|8|NaN|NaN|NaN|1|614|1|f|A
189|3|9|83465|64.4|101.0|5|NaN|NaN|NaN|1|494|0|f|H
189|3|9|37880|58.8|89.6|61|NaN|NaN|NaN|1|494|1|f|H
189|3|9|47654|35.6|-1.0|5|NaN|NaN|NaN|1|614|1|f|A
190|3|10|15780|38.1|0.0|1|40.1|12.8|NaN|1|614|1|f|A
