_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|48852|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|122779|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|118749|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|48853|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|37269|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|83531|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|33190|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|105835|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|37265|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|42565|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|33148|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|H
0|0|0|131897|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|77711|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|80480|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|37192|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|154685|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|40539|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|100887|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|59115|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|3273|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|13867|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|131882|0.0|0.0|102|NaN|NaN|NaN|1|575|1|f|A
0|0|0|77711|0.0|0.0|34|NaN|NaN|NaN|1|575|1|f|A
0|0|0|42565|0.0|0.0|34|NaN|NaN|NaN|1|831|1|f|H
1|0|1|37265|49.9|49.4|1|52.3|47.2|NaN|1|831|1|t|H
1|0|1|42565|52.3|47.2|100|NaN|NaN|NaN|1|831|1|t|H
2|0|2|42565|52.3|47.2|1|39.4|53.0|NaN|1|831|1|t|H
6|0|6|33190|39.4|53.0|101|45.4|67.5|NaN|1|831|1|t|H
6|0|6|33190|39.4|53.0|100|NaN|NaN|NaN|1|831|1|t|H
7|0|7|33190|45.4|67.5|1|57.7|97.5|NaN|1|831|1|t|H
7|0|7|122779|57.7|97.5|100|NaN|NaN|NaN|1|831|1|t|H
8|0|8|122779|57.7|97.5|1|34.9|77.2|NaN|1|831|1|t|H
10|0|10|37269|34.9|77.2|100|NaN|NaN|NaN|1|831|1|t|H
11|0|11|37269|34.9|77.2|1|30.4|42.4|NaN|1|831|1|t|H
13|0|13|48853|30.4|42.4|100|NaN|NaN|NaN|1|831|1|t|H
14|0|14|48853|30.4|42.4|1|39.3|56.9|NaN|1|831|1|t|H
16|0|16|118749|39.3|56.9|101|42.3|67.2|NaN|1|831|1|t|H
16|0|16|118749|39.3|56.9|100|NaN|NaN|NaN|1|831|1|t|H
17|0|17|118749|42.3|67.2|1|45.1|81.5|NaN|1|831|1|t|H
20|0|20|37269|45.5|79.1|1|72.0|28.9|NaN|1|831|0|t|H
23|0|23|80480|27.0|73.8|44|NaN|NaN|NaN|1|575|1|f|A
23|0|23|37265|73.0|26.2|44|NaN|NaN|NaN|1|831|0|f|H
24|0|24|80480|26.0|76.6|12|NaN|NaN|NaN|1|575|1|f|A
25|0|25|77711|31.7|94.7|49|NaN|NaN|NaN|1|575|1|f|A
26|0|26|77711|34.5|95.9|50|NaN|NaN|NaN|1|575|1|f|A
26|0|26|48852|65.5|4.1|7|NaN|NaN|NaN|1|831|1|f|H
28|0|28|48852|60.8|4.7|49|NaN|NaN|NaN|1|831|1|f|H
29|0|29|48852|60.8|4.7|1|33.4|20.9|NaN|1|831|1|t|H
35|0|35|48853|33.4|20.9|100|NaN|NaN|NaN|1|831|1|t|H
35|0|35|48853|33.4|20.9|101|34.8|30.4|NaN|1|831|1|t|H
36|0|36|48853|34.8|30.4|1|33.7|48.5|NaN|1|831|1|t|H
38|0|38|118749|33.7|48.5|100|NaN|NaN|NaN|1|831|1|t|H
38|0|38|118749|33.7|48.5|101|33.9|46.0|NaN|1|831|1|t|H
39|0|39|118749|33.9|46.0|1|40.9|27.9|NaN|1|831|1|t|H
42|0|42|48853|40.9|27.9|101|40.9|31.2|NaN|1|831|1|t|H
42|0|42|48853|40.9|27.9|100|NaN|NaN|NaN|1|831|1|t|H
43|0|43|48853|40.9|31.2|1|43.2|61.2|NaN|1|831|1|t|H
45|0|45|118749|43.2|61.2|100|NaN|NaN|NaN|1|831|1|t|H
45|0|45|118749|43.2|61.2|101|45.7|65.2|NaN|1|831|1|t|H
46|0|46|118749|45.7|65.2|1|63.1|96.8|NaN|1|831|1|t|H
48|0|48|122779|63.1|96.8|100|NaN|NaN|NaN|1|831|1|t|H
49|0|49|122779|63.1|96.8|1|72.5|97.2|NaN|1|831|1|t|H
51|0|51|42565|73.4|98.6|1|66.0|100.0|NaN|1|831|0|t|H
52|0|52|100887|33.0|-1.4|5|NaN|NaN|NaN|1|575|1|f|A
