_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|42738|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|50369|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|42824|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27300|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|12204|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|66733|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27701|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|62914|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|60025|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|59380|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|48844|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|48332|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|10866|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|40868|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|39471|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|66806|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|39476|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|28130|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|14503|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|20319|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|48353|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|27375|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|10866|0.0|0.0|34|NaN|NaN|NaN|1|517|1|f|A
0|0|0|59380|0.0|0.0|34|NaN|NaN|NaN|1|832|1|f|H
1|0|1|10866|50.1|50.1|1|52.6|50.0|NaN|1|517|1|t|A
1|0|1|20319|52.6|50.0|100|NaN|NaN|NaN|1|517|1|t|A
1|0|1|20319|52.6|50.0|101|52.9|50.1|NaN|1|517|1|t|A
2|0|2|20319|52.9|50.1|1|34.3|51.6|NaN|1|517|1|t|A
3|0|3|14503|34.3|51.6|101|34.6|50.7|NaN|1|517|1|t|A
3|0|3|14503|34.3|51.6|100|NaN|NaN|NaN|1|517|1|t|A
4|0|4|14503|34.6|50.7|1|33.4|8.8|NaN|1|517|1|t|A
5|0|5|27375|33.4|8.8|101|33.9|8.2|NaN|1|517|1|t|A
5|0|5|27375|33.4|8.8|100|NaN|NaN|NaN|1|517|1|t|A
6|0|6|27375|33.9|8.2|1|26.0|30.6|NaN|1|517|1|t|A
8|0|8|66806|26.0|30.6|101|25.7|35.5|NaN|1|517|1|t|A
8|0|8|66806|26.0|30.6|100|NaN|NaN|NaN|1|517|1|t|A
9|0|9|66806|25.7|35.5|1|24.5|67.9|NaN|1|517|1|t|A
11|0|11|39476|24.5|67.9|100|NaN|NaN|NaN|1|517|1|t|A
11|0|11|39476|24.5|67.9|101|25.3|66.9|NaN|1|517|1|t|A
12|0|12|39476|25.3|66.9|1|24.7|37.9|NaN|1|517|1|t|A
17|0|17|66806|29.7|33.6|1|72.0|8.0|NaN|1|517|0|t|A
20|0|20|50369|28.2|92.6|44|NaN|NaN|NaN|1|832|1|f|H
20|0|20|28130|72.1|8.0|44|NaN|NaN|NaN|1|517|0|f|A
21|0|21|50369|28.6|93.2|12|NaN|NaN|NaN|1|832|1|f|H
23|0|23|50369|47.7|101.0|5|NaN|NaN|NaN|1|832|0|f|H
23|0|23|28130|52.3|-1.0|5|NaN|NaN|NaN|1|517|1|f|A
32|0|32|27375|56.9|0.0|1|67.3|19.5|NaN|1|517|1|f|A
36|0|36|20319|63.8|22.1|1|69.2|33.3|NaN|1|517|0|t|A
38|0|38|27701|29.4|73.0|1|40.2|76.4|NaN|1|832|0|t|H
39|0|39|14503|58.0|31.2|1|63.9|13.5|NaN|1|517|0|t|A
42|0|42|50369|35.2|88.7|1|58.0|72.1|NaN|1|832|0|t|H
44|0|44|60025|59.1|69.4|44|NaN|NaN|NaN|1|832|0|f|H
44|0|44|66806|40.9|30.6|44|NaN|NaN|NaN|1|517|1|f|A
45|0|45|66806|39.6|33.8|1|51.9|35.1|NaN|1|517|1|t|A
46|0|46|14503|52.8|36.6|49|NaN|NaN|NaN|1|517|1|f|A
47|0|47|14503|53.0|36.6|1|92.0|73.8|NaN|1|517|0|t|A
51|0|51|48844|0.0|0.0|59|NaN|NaN|NaN|1|832|1|f|H
52|0|52|48844|9.3|24.1|52|NaN|NaN|NaN|1|832|1|f|H
54|0|54|48844|10.7|25.0|1|25.4|21.5|NaN|1|832|1|f|H
56|0|56|27300|25.4|21.5|101|30.0|15.8|NaN|1|832|1|f|H
56|0|56|27300|25.4|21.5|100|NaN|NaN|NaN|1|832|1|f|H
57|0|57|27300|30.0|15.8|1|37.8|3.4|NaN|1|832|1|t|H
59|0|59|42738|37.8|3.4|101|39.2|3.4|NaN|1|832|1|t|H
59|0|59|42738|37.8|3.4|100|NaN|NaN|NaN|1|832|1|t|H
60|1|0|42738|39.2|3.4|1|58.0|2.9|NaN|1|832|1|t|H
62|1|2|66733|58.0|2.9|100|NaN|NaN|NaN|1|832|1|t|H
63|1|3|66733|58.0|2.9|1|52.0|9.2|NaN|1|832|1|t|H
63|1|3|42738|52.0|9.2|100|NaN|NaN|NaN|1|832|1|t|H
64|1|4|42738|52.0|9.2|1|42.1|4.9|NaN|1|832|1|t|H
64|1|4|66733|42.1|4.9|100|NaN|NaN|NaN|1|832|1|t|H
65|1|5|66733|42.1|4.9|1|39.9|14.4|NaN|1|832|1|t|H
66|1|6|27701|39.9|14.4|1|52.1|12.3|NaN|1|832|0|t|H
67|1|7|10866|46.4|84.2|8|NaN|NaN|NaN|1|517|1|f|A
69|1|9|39476|34.4|67.0|12|NaN|NaN|NaN|1|517|1|f|A
72|1|12|27300|39.0|13.1|1|59.6|24.3|NaN|1|832|1|t|H
76|1|16|62914|58.3|31.2|3|NaN|NaN|NaN|1|832|0|f|H
76|1|16|14503|41.7|68.8|7|NaN|NaN|NaN|1|517|1|f|A
77|1|17|14503|38.4|66.3|12|NaN|NaN|NaN|1|517|1|f|A
82|1|22|42738|56.3|20.7|1|67.4|22.8|NaN|1|832|1|t|H
82|1|22|62914|67.4|22.8|100|NaN|NaN|NaN|1|832|1|t|H
83|1|23|62914|67.4|22.8|1|65.1|5.0|NaN|1|832|1|t|H
84|1|24|66733|65.1|5.0|100|NaN|NaN|NaN|1|832|1|t|H
85|1|25|66733|65.1|5.0|1|76.4|24.9|NaN|1|832|1|t|H
