_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|42738|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|50369|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27701|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|27300|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|12204|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|66733|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|42824|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|77064|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|62914|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|60025|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|48844|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|H
0|0|0|42864|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|33668|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|55407|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|43693|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|32281|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|151883|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|48863|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|59351|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|12273|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|40720|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|32284|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|33668|0.0|0.0|34|NaN|NaN|NaN|1|837|1|f|A
0|0|0|60025|0.0|0.0|34|NaN|NaN|NaN|1|832|1|f|H
1|0|1|12273|49.7|50.9|1|52.0|49.0|NaN|1|837|1|t|A
1|0|1|40720|52.0|49.0|100|NaN|NaN|NaN|1|837|1|t|A
2|0|2|40720|52.0|49.0|1|35.1|46.9|NaN|1|837|1|t|A
3|0|3|59351|35.1|46.9|101|34.8|46.3|NaN|1|837|1|t|A
3|0|3|59351|35.1|46.9|100|NaN|NaN|NaN|1|837|1|t|A
4|0|4|59351|34.8|46.3|1|32.5|8.0|NaN|1|837|1|t|A
5|0|5|32284|32.5|8.0|100|NaN|NaN|NaN|1|837|1|t|A
6|0|6|32284|32.5|8.0|1|26.9|19.1|NaN|1|837|1|t|A
8|0|8|151883|27.1|19.2|1|64.9|25.9|NaN|1|837|0|t|A
10|0|10|12204|33.9|79.1|1|43.0|87.7|NaN|1|832|1|t|H
12|0|12|50369|45.9|86.3|49|NaN|NaN|NaN|1|832|1|f|H
15|0|15|50369|61.8|90.8|1|67.4|97.4|NaN|1|832|1|t|H
17|0|17|60025|67.4|97.4|100|NaN|NaN|NaN|1|832|1|t|H
17|0|17|60025|67.4|97.4|101|61.7|96.5|NaN|1|832|1|t|H
18|0|18|60025|61.7|96.5|1|55.1|94.8|NaN|1|832|1|t|H
21|0|21|27701|55.7|96.9|1|70.0|96.3|NaN|1|832|0|t|H
23|0|23|32284|27.0|7.3|61|NaN|NaN|NaN|1|837|0|f|A
25|0|25|32284|26.6|-1.4|5|NaN|NaN|NaN|1|837|0|f|A
25|0|25|27701|73.4|101.4|5|NaN|NaN|NaN|1|832|1|f|H
36|0|36|50369|80.3|100.0|1|83.1|73.9|NaN|1|832|0|f|H
39|0|39|59351|17.4|27.8|44|NaN|NaN|NaN|1|837|0|f|A
39|0|39|62914|82.6|72.2|44|NaN|NaN|NaN|1|832|1|f|H
41|0|41|151883|16.2|38.3|1|38.7|23.7|NaN|1|837|0|t|A
41|0|41|62914|83.1|73.9|1|85.4|64.9|NaN|1|832|0|t|H
43|0|43|12204|63.4|82.3|1|69.5|95.6|NaN|1|832|1|t|H
44|0|44|50369|69.7|95.9|1|100.0|96.2|NaN|1|832|0|t|H
50|0|50|151883|-0.8|5.8|5|NaN|NaN|NaN|1|837|1|f|A
50|0|50|50369|100.8|94.2|5|NaN|NaN|NaN|1|832|0|f|H
69|1|9|42864|4.6|39.2|1|56.2|63.6|NaN|1|837|0|f|A
75|1|15|66733|48.1|29.5|1|37.3|3.2|NaN|1|832|1|t|H
77|1|17|42738|37.3|3.2|1|49.2|12.6|NaN|1|832|0|t|H
79|1|19|55407|50.9|82.0|1|67.5|81.1|NaN|1|837|1|t|A
81|1|21|33668|67.4|81.1|61|NaN|NaN|NaN|1|837|0|f|A
81|1|21|27701|34.3|16.7|1|29.1|23.7|NaN|1|832|1|t|H
82|1|22|27300|29.1|23.7|100|NaN|NaN|NaN|1|832|1|t|H
82|1|22|27300|29.1|23.7|101|28.5|23.7|NaN|1|832|1|t|H
83|1|23|27300|28.5|23.7|1|41.7|14.6|NaN|1|832|1|t|H
86|1|26|55407|58.4|85.4|4|NaN|NaN|NaN|1|837|0|f|A
86|1|26|66733|41.6|14.6|4|NaN|NaN|NaN|1|832|1|f|H
98|1|38|27701|41.9|14.3|1|53.3|4.3|NaN|1|832|1|f|H
102|1|42|66733|51.9|6.2|4|NaN|NaN|NaN|1|832|1|f|H
103|1|43|55407|43.7|93.0|4|NaN|NaN|NaN|1|837|0|f|A
128|2|8|42738|48.0|5.8|1|35.6|26.8|NaN|1|832|1|f|H
128|2|8|27300|35.6|26.8|100|NaN|NaN|NaN|1|832|1|f|H
128|2|8|27300|35.6|26.8|101|34.6|28.9|NaN|1|832|1|f|H
129|2|9|27300|34.6|28.9|1|32.6|59.3|NaN|1|832|1|t|H
132|2|12|12204|32.6|59.3|101|33.2|55.5|NaN|1|832|1|t|H
132|2|12|12204|32.6|59.3|100|NaN|NaN|NaN|1|832|1|t|H
133|2|13|12204|33.2|55.5|1|31.9|25.2|NaN|1|832|1|t|H
135|2|15|27300|31.9|25.2|101|32.3|22.2|NaN|1|832|1|t|H
135|2|15|27300|31.9|25.2|100|NaN|NaN|NaN|1|832|1|t|H
136|2|16|27300|32.3|22.2|1|43.1|4.0|NaN|1|832|1|t|H
137|2|17|42738|43.1|4.0|100|NaN|NaN|NaN|1|832|1|t|H
138|2|18|42738|43.1|4.0|1|61.4|5.9|NaN|1|832|1|t|H
143|2|23|59351|37.8|88.6|7|NaN|NaN|NaN|1|837|1|f|A
143|2|23|60025|62.2|11.4|50|NaN|NaN|NaN|1|832|1|f|H
145|2|25|55407|34.9|94.7|1|53.7|93.5|NaN|1|837|1|t|A
147|2|27|12273|53.7|93.5|61|NaN|NaN|NaN|1|837|0|f|A
150|2|30|27300|31.6|13.5|1|12.0|52.1|NaN|1|832|1|t|H
