_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|54102|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|63793|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|102683|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99127|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|61960|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|37084|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99128|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|105021|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|34361|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|34355|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|77760|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|55909|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|19419|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|39155|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|88894|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|40755|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|2051|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|15157|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|9089|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|76359|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|106760|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|28411|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|39155|0.0|0.0|34|NaN|NaN|NaN|1|114|1|f|A
0|0|0|63793|0.0|0.0|34|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99127|49.8|51.8|1|51.2|48.8|NaN|1|838|1|t|H
0|0|0|63793|51.2|48.8|100|NaN|NaN|NaN|1|838|1|t|H
1|0|1|63793|51.2|48.8|1|31.4|72.7|NaN|1|838|1|t|H
4|0|4|34361|31.4|73.5|1|70.6|49.1|NaN|1|838|0|t|H
5|0|5|19419|27.6|51.3|1|55.6|66.4|NaN|1|114|0|t|A
9|0|9|99128|42.4|34.9|1|51.9|4.3|NaN|1|838|1|t|H
12|0|12|39155|48.1|97.7|74|NaN|NaN|NaN|1|114|1|f|A
12|0|12|77760|51.8|4.3|1|53.4|2.8|NaN|1|838|0|t|H
13|0|13|39155|48.0|100.8|5|NaN|NaN|NaN|1|114|0|f|A
13|0|13|77760|52.0|-0.8|5|NaN|NaN|NaN|1|838|1|f|H
25|0|25|77760|57.2|0.0|1|75.9|6.5|NaN|1|838|0|f|H
28|0|28|106760|17.1|88.1|8|NaN|NaN|NaN|1|114|1|f|A
30|0|30|106760|19.8|86.3|1|30.6|81.1|NaN|1|114|0|t|A
31|0|31|54102|30.6|81.1|44|NaN|NaN|NaN|1|114|0|f|A
31|0|31|102683|67.0|19.6|44|NaN|NaN|NaN|1|838|1|f|H
31|0|31|102683|64.6|20.3|1|65.9|14.9|NaN|1|838|0|t|H
33|0|33|54102|40.0|74.7|49|NaN|NaN|NaN|1|114|1|f|A
34|0|34|39155|41.6|72.6|1|42.0|69.6|NaN|1|114|0|t|A
34|0|34|61960|59.6|22.7|74|NaN|NaN|NaN|1|838|1|f|H
