_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|77760|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|34355|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|34352|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|105021|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99128|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|37084|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|102683|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99127|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|61960|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|28392|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|28411|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|H
0|0|0|48332|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|50343|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|40868|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|81456|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|66806|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|39476|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|28130|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|48353|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|10866|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|6994|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|27375|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|50343|0.0|0.0|34|NaN|NaN|NaN|1|517|1|f|A
0|0|0|28392|0.0|0.0|34|NaN|NaN|NaN|1|838|1|f|H
0|0|0|99127|50.0|50.0|1|50.9|48.4|NaN|1|838|1|t|H
0|0|0|28392|50.9|48.4|100|NaN|NaN|NaN|1|838|1|t|H
0|0|0|28392|50.9|48.4|101|48.5|47.9|NaN|1|838|1|t|H
1|0|1|28392|48.5|47.9|1|36.9|57.9|NaN|1|838|1|t|H
5|0|5|34355|36.9|57.9|101|37.7|59.6|NaN|1|838|1|t|H
5|0|5|34355|36.9|57.9|100|NaN|NaN|NaN|1|838|1|t|H
6|0|6|34355|37.7|59.6|1|74.6|30.7|NaN|1|838|1|t|H
8|0|8|105021|74.6|30.7|1|67.4|83.5|NaN|1|838|0|t|H
12|0|12|27375|39.0|7.4|49|NaN|NaN|NaN|1|517|1|f|A
18|0|18|27375|67.0|3.7|1|73.3|13.8|NaN|1|517|1|t|A
19|0|19|10866|0.0|0.0|43|75.5|2.3|NaN|1|517|1|f|A
22|0|22|34352|27.8|87.9|4|NaN|NaN|NaN|1|838|0|f|H
22|0|22|10866|72.2|12.1|4|NaN|NaN|NaN|1|517|1|f|A
73|1|13|6994|73.2|22.5|1|85.9|43.3|NaN|1|517|0|f|A
76|1|16|102683|13.8|63.6|12|NaN|NaN|NaN|1|838|1|f|H
77|1|17|50343|75.3|50.6|13|100.0|39.1|26.4|1|517|1|f|A
77|1|17|37084|20.7|44.9|49|NaN|NaN|NaN|1|838|1|f|H
77|1|17|37084|20.7|44.9|1|30.1|53.6|NaN|1|838|0|t|H
80|1|20|50343|100.6|40.4|5|NaN|NaN|NaN|1|517|0|f|A
80|1|20|37084|-0.7|53.3|5|NaN|NaN|NaN|1|838|1|f|H
98|1|38|28411|5.4|42.8|1|27.5|23.4|NaN|1|838|1|f|H
98|1|38|99128|27.5|23.4|100|NaN|NaN|NaN|1|838|1|f|H
99|1|39|99128|27.5|23.4|1|30.4|32.1|NaN|1|838|1|t|H
99|1|39|102683|30.4|32.1|100|NaN|NaN|NaN|1|838|1|t|H
100|1|40|102683|30.4|32.1|1|34.1|13.4|NaN|1|838|1|t|H
100|1|40|99128|34.1|13.4|100|NaN|NaN|NaN|1|838|1|t|H
101|1|41|99128|34.1|13.4|1|32.7|30.9|NaN|1|838|1|t|H
103|1|43|102683|32.7|30.9|101|34.2|33.1|NaN|1|838|1|t|H
103|1|43|102683|32.7|30.9|100|NaN|NaN|NaN|1|838|1|t|H
104|1|44|102683|34.2|33.1|1|32.7|76.4|NaN|1|838|1|t|H
107|1|47|34352|32.7|76.4|100|NaN|NaN|NaN|1|838|1|t|H
107|1|47|34352|32.7|76.4|101|36.7|81.2|NaN|1|838|1|t|H
108|1|48|34352|36.7|81.2|1|56.4|81.4|NaN|1|838|1|t|H
109|1|49|28392|56.4|81.4|100|NaN|NaN|NaN|1|838|1|t|H
110|1|50|28392|56.4|81.4|1|42.8|87.5|NaN|1|838|1|t|H
113|1|53|34355|42.9|85.9|1|93.8|59.6|NaN|1|838|0|t|H
116|1|56|48332|5.7|45.2|52|NaN|NaN|NaN|1|517|1|f|A
120|2|0|48332|9.1|48.8|1|27.6|83.6|NaN|1|517|1|f|A
127|2|7|40868|27.6|83.6|101|40.4|87.8|NaN|1|517|1|f|A
127|2|7|40868|27.6|83.6|100|NaN|NaN|NaN|1|517|1|f|A
128|2|8|40868|40.4|87.8|1|52.6|74.4|NaN|1|517|1|t|A
128|2|8|6994|52.6|74.4|100|NaN|NaN|NaN|1|517|1|t|A
129|2|9|6994|52.6|74.4|1|41.9|68.7|NaN|1|517|1|t|A
130|2|10|81456|41.9|68.7|100|NaN|NaN|NaN|1|517|1|t|A
130|2|10|81456|41.9|68.7|101|42.5|67.6|NaN|1|517|1|t|A
131|2|11|81456|42.5|67.6|1|45.6|44.0|NaN|1|517|1|t|A
131|2|11|48353|45.6|44.0|100|NaN|NaN|NaN|1|517|1|t|A
131|2|11|48353|45.6|44.0|101|45.6|43.7|NaN|1|517|1|t|A
132|2|12|48353|45.6|43.7|1|44.5|5.6|NaN|1|517|1|t|A
134|2|14|27375|44.5|5.6|101|44.7|10.4|NaN|1|517|1|t|A
134|2|14|27375|44.5|5.6|100|NaN|NaN|NaN|1|517|1|t|A
135|2|15|27375|44.7|10.4|1|30.9|31.9|NaN|1|517|1|t|A
140|2|20|66806|30.9|31.9|101|22.2|23.3|NaN|1|517|1|t|A
140|2|20|66806|30.9|31.9|100|NaN|NaN|NaN|1|517|1|t|A
141|2|21|66806|22.2|23.3|1|30.0|20.9|NaN|1|517|1|t|A
146|2|26|48353|33.8|2.8|1|36.0|2.5|NaN|1|517|0|t|A
148|2|28|28130|54.1|4.3|1|60.0|6.8|NaN|1|517|0|t|A
148|2|28|61960|63.8|94.7|74|NaN|NaN|NaN|1|838|1|f|H
149|2|29|34352|35.1|91.7|1|39.1|92.3|NaN|1|838|1|t|H
150|2|30|34355|39.1|92.3|49|NaN|NaN|NaN|1|838|1|f|H
152|2|32|34355|39.6|94.7|61|NaN|NaN|NaN|1|838|0|f|H
153|2|33|28130|53.0|-1.4|5|NaN|NaN|NaN|1|517|1|f|A
153|2|33|34355|47.0|101.4|5|NaN|NaN|NaN|1|838|0|f|H
161|2|41|27375|53.5|0.0|1|28.8|21.8|NaN|1|517|1|f|A
166|2|46|66806|28.8|21.8|100|NaN|NaN|NaN|1|517|1|f|A
166|2|46|66806|28.8|21.8|101|27.7|26.5|NaN|1|517|1|f|A
167|2|47|66806|27.7|26.5|1|27.3|49.6|NaN|1|517|1|t|A
171|2|51|39476|27.3|49.6|101|31.4|49.7|NaN|1|517|1|t|A
171|2|51|39476|27.3|49.6|100|NaN|NaN|NaN|1|517|1|t|A
172|2|52|39476|31.4|49.7|1|31.8|36.0|NaN|1|517|1|t|A
173|2|53|66806|31.8|36.0|100|NaN|NaN|NaN|1|517|1|t|A
173|2|53|66806|31.8|36.0|101|31.8|34.2|NaN|1|517|1|t|A
174|2|54|66806|31.8|34.2|1|37.8|34.2|NaN|1|517|1|t|A
175|2|55|48353|37.8|34.2|101|36.6|33.6|NaN|1|517|1|t|A
175|2|55|48353|37.8|34.2|100|NaN|NaN|NaN|1|517|1|t|A
176|2|56|48353|36.6|33.6|1|59.4|4.4|NaN|1|517|1|t|A
177|2|57|28130|59.4|4.4|101|58.4|4.7|NaN|1|517|1|t|A
177|2|57|28130|59.4|4.4|100|NaN|NaN|NaN|1|517|1|t|A
178|2|58|28130|58.4|4.7|1|55.7|17.7|NaN|1|517|1|t|A
179|2|59|6994|55.7|17.7|101|58.9|11.3|NaN|1|517|1|t|A
179|2|59|6994|55.7|17.7|100|NaN|NaN|NaN|1|517|1|t|A
180|3|0|6994|58.9|11.3|1|43.7|3.2|NaN|1|517|1|t|A
183|3|3|27375|42.9|5.3|1|45.5|5.5|NaN|1|517|0|t|A
185|3|5|28392|61.1|96.2|74|NaN|NaN|NaN|1|838|1|f|H
185|3|5|37084|63.0|101.8|5|NaN|NaN|NaN|1|838|0|f|H
185|3|5|27375|37.0|-1.8|5|NaN|NaN|NaN|1|517|1|f|A
190|3|10|27375|39.2|0.0|1|35.1|5.0|NaN|1|517|1|f|A
193|3|13|48353|35.1|5.0|100|NaN|NaN|NaN|1|517|1|f|A
193|3|13|48353|35.1|5.0|101|31.9|20.3|NaN|1|517|1|f|A
194|3|14|48353|31.9|20.3|1|27.5|55.4|NaN|1|517|1|t|A
195|3|15|39476|27.5|55.4|100|NaN|NaN|NaN|1|517|1|t|A
195|3|15|39476|27.5|55.4|101|28.3|56.0|NaN|1|517|1|t|A
196|3|16|39476|28.3|56.0|1|36.6|79.4|NaN|1|517|1|t|A
197|3|17|40868|36.6|79.4|101|36.0|81.7|NaN|1|517|1|t|A
197|3|17|40868|36.6|79.4|100|NaN|NaN|NaN|1|517|1|t|A
198|3|18|40868|36.0|81.7|1|53.1|79.0|NaN|1|517|1|t|A
201|3|21|77760|53.4|14.7|7|NaN|NaN|NaN|1|838|0|f|H
201|3|21|50343|46.6|85.3|50|NaN|NaN|NaN|1|517|1|f|A
202|3|22|50343|49.0|87.7|61|NaN|NaN|NaN|1|517|1|f|A
204|3|24|77760|38.4|-1.6|5|NaN|NaN|NaN|1|838|1|f|H
204|3|24|50343|61.6|101.6|5|NaN|NaN|NaN|1|517|0|f|A
220|3|40|77760|42.4|0.0|1|33.6|15.0|NaN|1|838|1|f|H
220|3|40|99128|33.6|15.0|100|NaN|NaN|NaN|1|838|1|f|H
221|3|41|99128|33.6|15.0|1|34.6|54.9|NaN|1|838|1|t|H
223|3|43|61960|34.6|54.9|100|NaN|NaN|NaN|1|838|1|t|H
223|3|43|61960|34.6|54.9|101|38.8|66.3|NaN|1|838|1|t|H
224|3|44|61960|38.8|66.3|1|53.9|95.1|NaN|1|838|1|t|H
224|3|44|34355|53.9|95.1|100|NaN|NaN|NaN|1|838|1|t|H
225|3|45|34355|53.9|95.1|1|44.9|90.8|NaN|1|838|1|t|H
226|3|46|61960|44.9|90.8|101|43.3|85.1|NaN|1|838|1|t|H
226|3|46|61960|44.9|90.8|100|NaN|NaN|NaN|1|838|1|t|H
227|3|47|61960|43.3|85.1|1|32.4|38.2|NaN|1|838|1|t|H
230|3|50|105021|32.4|38.2|100|NaN|NaN|NaN|1|838|1|t|H
230|3|50|105021|32.4|38.2|101|34.6|33.0|NaN|1|838|1|t|H
231|3|51|105021|34.6|33.0|1|43.8|11.4|NaN|1|838|1|t|H
234|3|54|99128|43.8|11.4|100|NaN|NaN|NaN|1|838|1|t|H
234|3|54|99128|43.8|11.4|101|51.1|10.9|NaN|1|838|1|t|H
235|3|55|99128|51.1|10.9|1|62.3|4.3|NaN|1|838|1|t|H
236|3|56|77760|62.3|4.3|100|NaN|NaN|NaN|1|838|1|t|H
236|3|56|77760|62.3|4.3|101|62.8|4.1|NaN|1|838|1|t|H
237|3|57|77760|62.8|4.1|1|67.8|22.1|NaN|1|838|1|t|H
240|4|0|37084|66.8|24.0|50|NaN|NaN|NaN|1|838|1|f|H
240|4|0|40868|33.2|76.0|7|NaN|NaN|NaN|1|517|0|f|A
241|4|1|81456|31.9|76.1|61|NaN|NaN|NaN|1|517|1|f|A
241|4|1|37084|66.4|23.9|1|70.7|15.3|NaN|1|838|1|t|H
241|4|1|77760|70.7|15.3|100|NaN|NaN|NaN|1|838|1|t|H
241|4|1|77760|70.7|15.3|101|79.1|26.5|NaN|1|838|1|t|H
242|4|2|77760|79.1|26.5|13|100.0|65.6|6.9|1|838|1|f|H
244|4|4|77760|100.6|71.8|5|NaN|NaN|NaN|1|838|0|f|H
244|4|4|40868|-0.6|28.2|5|NaN|NaN|NaN|1|517|1|f|A
271|4|31|48332|4.4|58.1|1|55.3|97.4|NaN|1|517|0|f|A
275|4|35|77760|41.5|4.6|12|NaN|NaN|NaN|1|838|1|f|H
276|4|36|77760|48.1|-0.8|5|NaN|NaN|NaN|1|838|0|f|H
276|4|36|48332|51.9|100.8|5|NaN|NaN|NaN|1|517|1|f|A
287|4|47|40868|60.9|100.0|1|69.7|91.4|NaN|1|517|1|f|A
289|4|49|77760|0.0|0.0|43|NaN|NaN|NaN|1|838|1|f|H
290|4|50|50343|69.6|67.9|1|56.6|63.9|NaN|1|517|1|t|A
292|4|52|48353|56.6|63.9|100|NaN|NaN|NaN|1|517|1|t|A
292|4|52|48353|56.6|63.9|101|61.9|41.2|NaN|1|517|1|t|A
293|4|53|48353|61.9|41.2|1|59.2|17.4|NaN|1|517|1|t|A
295|4|55|27375|59.2|17.4|100|NaN|NaN|NaN|1|517|1|t|A
295|4|55|27375|59.2|17.4|101|55.7|29.1|NaN|1|517|1|t|A
296|4|56|27375|55.7|29.1|1|54.6|42.5|NaN|1|517|1|t|A
298|4|58|81456|54.6|42.5|100|NaN|NaN|NaN|1|517|1|t|A
298|4|58|81456|54.6|42.5|101|54.7|34.2|NaN|1|517|1|t|A
299|4|59|81456|54.7|34.2|1|56.3|17.6|NaN|1|517|1|t|A
303|5|3|27375|56.3|17.6|101|57.6|26.4|NaN|1|517|1|t|A
303|5|3|27375|56.3|17.6|100|NaN|NaN|NaN|1|517|1|t|A
