_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|17347|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|68353|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|28103|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|38462|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|38454|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|45034|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|34703|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|46197|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|37055|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|13139|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|7810|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|H
0|0|0|33376|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|37064|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|73698|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|49656|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|6685|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|33360|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|102578|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|119772|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|53515|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|40275|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|43106|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|37064|0.0|0.0|34|NaN|NaN|NaN|1|659|1|f|A
0|0|0|13139|0.0|0.0|34|NaN|NaN|NaN|1|535|1|f|H
1|0|1|53515|49.3|48.3|1|51.5|50.6|NaN|1|659|1|t|A
1|0|1|40275|51.5|50.6|100|NaN|NaN|NaN|1|659|1|t|A
2|0|2|40275|51.5|50.6|1|42.5|41.7|NaN|1|659|1|t|A
4|0|4|119772|42.5|41.7|100|NaN|NaN|NaN|1|659|1|t|A
4|0|4|119772|42.5|41.7|101|42.0|40.6|NaN|1|659|1|t|A
5|0|5|119772|42.0|40.6|1|28.2|18.6|NaN|1|659|1|t|A
5|0|5|43106|28.2|18.6|100|NaN|NaN|NaN|1|659|1|t|A
6|0|6|43106|28.2|18.6|1|31.1|51.7|NaN|1|659|1|t|A
6|0|6|6685|31.1|51.7|101|31.8|54.2|NaN|1|659|1|t|A
6|0|6|6685|31.1|51.7|100|NaN|NaN|NaN|1|659|1|t|A
7|0|7|6685|31.8|54.2|1|44.7|97.9|NaN|1|659|1|t|A
10|0|10|37064|41.5|95.5|1|49.7|88.5|NaN|1|659|0|t|A
13|0|13|37055|47.6|24.4|61|NaN|NaN|NaN|1|535|1|f|H
13|0|13|119772|42.6|67.9|1|48.3|49.0|NaN|1|659|1|t|A
13|0|13|102578|48.3|49.0|100|NaN|NaN|NaN|1|659|1|t|A
14|0|14|102578|48.3|49.0|1|30.7|52.8|NaN|1|659|1|t|A
19|0|19|6685|30.7|52.8|101|32.0|51.5|NaN|1|659|1|t|A
19|0|19|6685|30.7|52.8|100|NaN|NaN|NaN|1|659|1|t|A
20|0|20|6685|32.0|51.5|1|59.1|98.3|NaN|1|659|1|t|A
25|0|25|73698|59.1|98.3|100|NaN|NaN|NaN|1|659|1|t|A
25|0|25|73698|59.1|98.3|101|49.9|90.3|NaN|1|659|1|t|A
26|0|26|73698|49.9|90.3|1|36.8|61.4|NaN|1|659|1|t|A
30|0|30|6685|36.8|61.4|101|42.3|62.3|NaN|1|659|1|t|A
30|0|30|6685|36.8|61.4|100|NaN|NaN|NaN|1|659|1|t|A
31|0|31|6685|42.3|62.3|1|46.6|3.1|NaN|1|659|1|t|A
36|0|36|33360|46.6|3.1|101|48.4|6.9|NaN|1|659|1|t|A
36|0|36|33360|46.6|3.1|100|NaN|NaN|NaN|1|659|1|t|A
37|0|37|33360|48.4|6.9|1|36.7|39.6|NaN|1|659|1|t|A
37|0|37|6685|36.7|39.6|100|NaN|NaN|NaN|1|659|1|t|A
38|0|38|6685|36.7|39.6|1|33.8|60.1|NaN|1|659|1|t|A
42|0|42|49656|33.8|60.1|100|NaN|NaN|NaN|1|659|1|t|A
42|0|42|49656|33.8|60.1|101|33.2|67.7|NaN|1|659|1|t|A
43|0|43|49656|33.2|67.7|1|42.7|98.2|NaN|1|659|1|t|A
50|0|50|73698|54.8|78.0|1|74.0|51.3|NaN|1|659|0|t|A
53|0|53|38454|28.2|62.6|12|NaN|NaN|NaN|1|535|1|f|H
53|0|53|40275|72.8|51.7|61|NaN|NaN|NaN|1|659|1|f|A
55|0|55|28103|27.8|62.5|1|64.5|42.1|NaN|1|535|0|t|H
56|0|56|46197|63.4|44.8|44|NaN|NaN|NaN|1|535|0|f|H
56|0|56|6685|36.6|55.2|44|NaN|NaN|NaN|1|659|1|f|A
57|0|57|6685|36.9|52.9|1|43.7|55.2|NaN|1|659|1|t|A
57|0|57|119772|43.7|55.2|100|NaN|NaN|NaN|1|659|1|t|A
58|0|58|119772|43.7|55.2|1|30.7|65.2|NaN|1|659|1|t|A
62|1|2|49656|30.7|65.2|101|43.3|62.3|NaN|1|659|1|t|A
62|1|2|49656|30.7|65.2|100|NaN|NaN|NaN|1|659|1|t|A
63|1|3|49656|43.3|62.3|1|47.2|39.9|NaN|1|659|1|t|A
66|1|6|102578|47.2|39.9|100|NaN|NaN|NaN|1|659|1|t|A
66|1|6|102578|47.2|39.9|101|43.1|36.7|NaN|1|659|1|t|A
67|1|7|102578|43.1|36.7|1|45.7|2.8|NaN|1|659|1|t|A
68|1|8|43106|45.7|2.8|100|NaN|NaN|NaN|1|659|1|t|A
68|1|8|43106|45.7|2.8|101|45.0|3.1|NaN|1|659|1|t|A
69|1|9|43106|45.0|3.1|1|40.1|18.2|NaN|1|659|1|t|A
72|1|12|102578|40.1|18.2|100|NaN|NaN|NaN|1|659|1|t|A
72|1|12|102578|40.1|18.2|101|45.6|21.2|NaN|1|659|1|t|A
73|1|13|102578|45.6|21.2|1|56.7|22.5|NaN|1|659|1|t|A
78|1|18|40275|56.7|22.5|100|NaN|NaN|NaN|1|659|1|t|A
78|1|18|40275|56.7|22.5|101|47.6|17.2|NaN|1|659|1|t|A
79|1|19|40275|47.6|17.2|1|33.1|49.8|NaN|1|659|1|t|A
85|1|25|6685|36.3|48.2|1|79.6|58.5|NaN|1|659|0|t|A
88|1|28|38462|20.5|40.9|12|NaN|NaN|NaN|1|535|1|f|H
92|1|32|119772|61.8|60.7|1|51.2|78.3|NaN|1|659|1|t|A
93|1|33|49656|51.2|78.3|101|51.1|78.5|NaN|1|659|1|t|A
93|1|33|49656|51.2|78.3|100|NaN|NaN|NaN|1|659|1|t|A
94|1|34|49656|51.1|78.5|1|63.0|97.2|NaN|1|659|1|t|A
98|1|38|17347|38.5|4.8|7|NaN|NaN|NaN|1|535|0|f|H
98|1|38|73698|61.5|95.2|50|NaN|NaN|NaN|1|659|1|f|A
102|1|42|49656|47.5|78.3|1|32.3|50.4|NaN|1|659|1|t|A
103|1|43|6685|32.3|50.4|101|31.4|49.4|NaN|1|659|1|t|A
103|1|43|6685|32.3|50.4|100|NaN|NaN|NaN|1|659|1|t|A
104|1|44|6685|31.4|49.4|1|10.6|44.0|NaN|1|659|1|t|A
106|1|46|33376|10.6|44.0|1|37.7|59.0|NaN|1|659|0|t|A
110|1|50|45034|70.4|4.8|49|NaN|NaN|NaN|1|535|1|f|H
114|1|54|45034|72.3|4.4|1|54.7|6.1|NaN|1|535|1|t|H
120|2|0|17347|54.7|6.1|100|NaN|NaN|NaN|1|535|1|t|H
120|2|0|17347|54.7|6.1|101|38.5|15.6|NaN|1|535|1|t|H
121|2|1|17347|38.5|15.6|1|27.8|37.5|NaN|1|535|1|t|H
124|2|4|38462|27.8|37.5|100|NaN|NaN|NaN|1|535|1|t|H
125|2|5|38462|27.8|37.5|1|32.9|79.5|NaN|1|535|1|t|H
128|2|8|38454|32.9|79.5|100|NaN|NaN|NaN|1|535|1|t|H
129|2|9|38454|32.9|79.5|1|54.5|97.1|NaN|1|535|1|t|H
130|2|10|68353|54.5|97.1|100|NaN|NaN|NaN|1|535|1|t|H
131|2|11|68353|54.5|97.1|1|54.7|91.5|NaN|1|535|1|t|H
135|2|15|28103|54.7|91.5|100|NaN|NaN|NaN|1|535|1|t|H
136|2|16|28103|54.7|91.5|1|52.7|98.2|NaN|1|535|1|t|H
137|2|17|68353|52.7|98.2|100|NaN|NaN|NaN|1|535|1|t|H
138|2|18|68353|52.7|98.2|1|20.6|94.1|NaN|1|535|1|t|H
138|2|18|38454|20.6|94.1|100|NaN|NaN|NaN|1|535|1|t|H
139|2|19|38454|20.6|94.1|1|8.1|54.4|NaN|1|535|1|t|H
142|2|22|7810|8.1|54.4|101|11.7|58.5|NaN|1|535|1|t|H
142|2|22|7810|8.1|54.4|100|NaN|NaN|NaN|1|535|1|t|H
143|2|23|7810|11.7|58.5|1|22.4|87.4|NaN|1|535|1|t|H
147|2|27|38454|22.4|87.4|101|26.2|87.1|NaN|1|535|1|t|H
147|2|27|38454|22.4|87.4|100|NaN|NaN|NaN|1|535|1|t|H
148|2|28|38454|26.2|87.1|1|46.5|82.5|NaN|1|535|1|t|H
149|2|29|37055|46.5|82.5|100|NaN|NaN|NaN|1|535|1|t|H
150|2|30|37055|46.5|82.5|1|33.7|84.7|NaN|1|535|1|t|H
152|2|32|38454|33.7|84.7|101|33.9|85.5|NaN|1|535|1|t|H
152|2|32|38454|33.7|84.7|100|NaN|NaN|NaN|1|535|1|t|H
153|2|33|38454|33.9|85.5|1|27.4|69.1|NaN|1|535|1|t|H
