_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|37748|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|101188|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|42774|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|51507|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|40784|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|74208|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|37971|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|19927|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|45268|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|76650|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|37915|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|58966|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|49195|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|12631|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|83409|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|12625|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|98783|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|20695|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|50947|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|148179|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|83407|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|98780|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|H
0|0|0|49195|0.0|0.0|34|NaN|NaN|NaN|1|830|1|f|H
0|0|0|76650|0.0|0.0|34|NaN|NaN|NaN|1|368|1|f|A
1|0|1|148179|49.9|50.3|1|50.8|49.4|NaN|1|830|1|t|H
1|0|1|83407|50.8|49.4|100|NaN|NaN|NaN|1|830|1|t|H
1|0|1|83407|50.8|49.4|101|46.9|54.6|NaN|1|830|1|t|H
2|0|2|83407|46.9|54.6|1|33.3|83.9|NaN|1|830|1|t|H
4|0|4|12631|33.3|83.9|100|NaN|NaN|NaN|1|830|1|t|H
5|0|5|12631|33.3|83.9|1|26.8|70.3|NaN|1|830|1|t|H
6|0|6|98783|26.8|70.3|101|26.6|69.3|NaN|1|830|1|t|H
6|0|6|98783|26.8|70.3|100|NaN|NaN|NaN|1|830|1|t|H
7|0|7|98783|26.6|69.3|1|25.2|36.1|NaN|1|830|1|t|H
14|0|14|12625|37.2|27.4|1|67.9|40.9|NaN|1|830|0|t|H
18|0|18|51507|34.8|59.4|44|NaN|NaN|NaN|1|368|1|f|A
18|0|18|148179|65.2|40.6|44|NaN|NaN|NaN|1|830|0|f|H
19|0|19|51507|29.8|52.2|8|NaN|NaN|NaN|1|368|1|f|A
21|0|21|37971|33.8|93.5|49|NaN|NaN|NaN|1|368|1|f|A
21|0|21|37971|33.8|93.5|1|46.0|90.0|NaN|1|368|1|t|A
22|0|22|76650|46.0|90.0|100|NaN|NaN|NaN|1|368|1|t|A
22|0|22|76650|46.0|90.0|101|45.4|85.9|NaN|1|368|1|t|A
23|0|23|76650|45.4|85.9|1|57.5|80.0|NaN|1|368|1|t|A
25|0|25|37971|58.5|79.9|61|NaN|NaN|NaN|1|368|0|f|A
26|0|26|50947|38.4|20.1|49|NaN|NaN|NaN|1|830|1|f|H
27|0|27|50947|39.9|23.6|61|NaN|NaN|NaN|1|830|0|f|H
28|0|28|37971|55.2|69.3|1|48.0|51.0|NaN|1|368|1|t|A
29|0|29|74208|48.0|51.0|101|53.2|48.2|NaN|1|368|1|t|A
29|0|29|74208|48.0|51.0|100|NaN|NaN|NaN|1|368|1|t|A
30|0|30|74208|53.2|48.2|1|56.3|35.5|NaN|1|368|1|t|A
31|0|31|45268|56.3|35.5|100|NaN|NaN|NaN|1|368|1|t|A
31|0|31|45268|56.3|35.5|101|56.9|31.2|NaN|1|368|1|t|A
32|0|32|45268|56.9|31.2|1|64.3|3.8|NaN|1|368|1|t|A
33|0|33|37748|64.3|3.8|101|64.3|3.2|NaN|1|368|1|t|A
33|0|33|37748|64.3|3.8|100|NaN|NaN|NaN|1|368|1|t|A
34|0|34|37748|64.3|3.2|1|57.7|14.3|NaN|1|368|1|t|A
37|0|37|74208|56.8|13.2|1|73.4|43.4|NaN|1|368|0|t|A
40|0|40|12625|25.7|51.9|8|NaN|NaN|NaN|1|830|1|f|H
42|0|42|37971|74.4|49.3|1|86.6|83.0|NaN|1|368|1|t|A
46|0|46|101188|92.2|86.5|1|93.8|63.1|NaN|1|368|0|f|A
49|0|49|50947|6.6|32.8|12|NaN|NaN|NaN|1|830|1|f|H
52|0|52|42774|76.9|53.0|1|79.9|66.0|NaN|1|368|1|t|A
54|0|54|76650|79.9|66.0|1|91.8|80.5|NaN|1|368|0|t|A
59|0|59|98780|8.6|25.5|50|NaN|NaN|NaN|1|830|1|f|H
59|0|59|101188|91.4|74.5|7|NaN|NaN|NaN|1|368|1|f|A
63|1|3|98780|-1.0|24.0|5|NaN|NaN|NaN|1|830|1|f|H
63|1|3|101188|101.0|76.0|5|NaN|NaN|NaN|1|368|0|f|A
91|1|31|58966|5.2|44.3|1|55.3|11.4|NaN|1|830|1|f|H
96|1|36|20695|56.4|9.4|44|NaN|NaN|NaN|1|830|1|f|H
96|1|36|101188|43.6|90.6|44|NaN|NaN|NaN|1|368|0|f|A
97|1|37|20695|55.3|11.4|1|57.0|8.2|NaN|1|830|0|t|H
98|1|38|101188|41.3|96.8|61|NaN|NaN|NaN|1|368|1|f|A
100|1|40|20695|59.8|-2.0|5|NaN|NaN|NaN|1|830|1|f|H
100|1|40|101188|40.2|102.0|5|NaN|NaN|NaN|1|368|0|f|A
110|1|50|98780|60.8|0.0|1|53.0|9.4|NaN|1|830|1|f|H
113|1|53|50947|53.0|9.4|100|NaN|NaN|NaN|1|830|1|f|H
114|1|54|50947|53.0|9.4|1|32.6|59.7|NaN|1|830|1|t|H
116|1|56|98783|32.6|59.7|101|30.5|64.9|NaN|1|830|1|t|H
116|1|56|98783|32.6|59.7|100|NaN|NaN|NaN|1|830|1|t|H
117|1|57|98783|30.5|64.9|1|42.5|90.6|NaN|1|830|1|t|H
118|1|58|12631|42.5|90.6|101|41.9|89.9|NaN|1|830|1|t|H
118|1|58|12631|42.5|90.6|100|NaN|NaN|NaN|1|830|1|t|H
119|1|59|12631|41.9|89.9|1|34.1|80.6|NaN|1|830|1|t|H
124|2|4|98783|38.9|77.8|3|NaN|NaN|NaN|1|830|1|f|H
124|2|4|19927|57.4|15.3|45|NaN|NaN|NaN|1|368|0|f|A
125|2|5|98783|44.3|77.8|1|58.1|77.8|NaN|1|830|1|t|H
126|2|6|42774|41.2|23.9|49|NaN|NaN|NaN|1|368|1|f|A
127|2|7|42774|39.8|25.3|1|54.4|16.8|NaN|1|368|0|t|A
127|2|7|49195|58.1|77.8|61|NaN|NaN|NaN|1|830|0|f|H
129|2|9|98783|44.7|73.3|1|48.4|66.7|NaN|1|830|1|t|H
130|2|10|45268|54.2|9.4|49|NaN|NaN|NaN|1|368|1|f|A
130|2|10|50947|48.4|66.7|1|45.4|72.1|NaN|1|830|1|t|H
131|2|11|45268|54.2|11.0|1|58.4|29.4|NaN|1|368|1|t|A
131|2|11|98783|45.4|72.1|61|NaN|NaN|NaN|1|830|0|f|H
132|2|12|19927|59.6|32.1|1|58.0|36.3|NaN|1|368|1|t|A
132|2|12|37971|58.0|36.3|100|NaN|NaN|NaN|1|368|1|t|A
132|2|12|37971|58.0|36.3|101|59.0|37.7|NaN|1|368|1|t|A
133|2|13|37971|59.0|37.7|1|67.5|49.1|NaN|1|368|1|t|A
133|2|13|76650|67.5|49.1|101|68.3|49.9|NaN|1|368|1|t|A
133|2|13|76650|67.5|49.1|100|NaN|NaN|NaN|1|368|1|t|A
