_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|9047|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|12745|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|56979|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|19419|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|7645|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|50175|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|1814|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|40755|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|103955|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|13017|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|15749|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|H
0|0|0|21155|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|20113|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|18102|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|10625|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|17172|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|37641|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|45156|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|61170|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|42493|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|7313|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|40002|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|A
0|0|0|20113|0.0|0.0|34|NaN|NaN|NaN|1|119|1|f|A
0|0|0|13017|0.0|0.0|34|NaN|NaN|NaN|1|114|1|f|H
0|0|0|42493|50.0|50.0|1|51.0|51.3|NaN|1|119|1|t|A
0|0|0|20113|51.0|51.3|100|NaN|NaN|NaN|1|119|1|t|A
1|0|1|20113|51.0|51.3|1|38.7|48.8|NaN|1|119|1|t|A
5|0|5|10625|38.7|48.8|101|41.5|48.5|NaN|1|119|1|t|A
5|0|5|10625|38.7|48.8|100|NaN|NaN|NaN|1|119|1|t|A
6|0|6|10625|41.5|48.5|1|39.4|60.8|NaN|1|119|1|t|A
7|0|7|7313|39.4|60.8|100|NaN|NaN|NaN|1|119|1|t|A
8|0|8|7313|39.4|60.8|1|27.2|56.1|NaN|1|119|1|t|A
11|0|11|37641|27.2|56.1|101|27.1|52.7|NaN|1|119|1|t|A
11|0|11|37641|27.2|56.1|100|NaN|NaN|NaN|1|119|1|t|A
12|0|12|37641|27.1|52.7|1|25.7|25.9|NaN|1|119|1|t|A
13|0|13|17172|25.7|25.9|101|26.2|26.1|NaN|1|119|1|t|A
13|0|13|17172|25.7|25.9|100|NaN|NaN|NaN|1|119|1|t|A
14|0|14|17172|26.2|26.1|1|37.4|25.3|NaN|1|119|1|t|A
15|0|15|61170|37.4|25.3|100|NaN|NaN|NaN|1|119|1|t|A
16|0|16|61170|37.4|25.3|1|33.3|40.3|NaN|1|119|1|t|A
22|0|22|10625|40.4|27.3|1|96.9|22.7|NaN|1|119|0|t|A
27|0|27|19419|1.7|77.3|49|NaN|NaN|NaN|1|114|1|f|H
29|0|29|19419|2.0|97.4|1|11.2|100.0|NaN|1|114|0|t|H
31|0|31|19419|12.0|101.2|5|NaN|NaN|NaN|1|114|0|f|H
31|0|31|40002|88.0|-1.2|5|NaN|NaN|NaN|1|119|1|f|A
36|0|36|40002|75.2|0.0|1|60.0|23.1|NaN|1|119|1|f|A
37|0|37|10625|60.0|23.1|100|NaN|NaN|NaN|1|119|1|f|A
37|0|37|10625|60.0|23.1|101|57.6|27.0|NaN|1|119|1|f|A
38|0|38|10625|57.6|27.0|1|61.9|44.0|NaN|1|119|1|t|A
41|0|41|7313|60.4|37.4|1|100.0|19.1|NaN|1|119|0|t|A
45|0|45|19419|-1.0|81.2|5|NaN|NaN|NaN|1|114|1|f|H
45|0|45|7313|101.0|18.8|5|NaN|NaN|NaN|1|119|0|f|A
53|0|53|15749|3.9|58.1|1|19.3|75.4|NaN|1|114|1|f|H
54|0|54|7645|19.3|75.4|101|20.8|71.7|NaN|1|114|1|f|H
54|0|54|7645|19.3|75.4|100|NaN|NaN|NaN|1|114|1|f|H
55|0|55|7645|20.8|71.7|1|27.6|59.9|NaN|1|114|1|t|H
57|0|57|56979|27.6|59.9|100|NaN|NaN|NaN|1|114|1|t|H
57|0|57|56979|27.6|59.9|101|28.3|60.3|NaN|1|114|1|t|H
58|0|58|56979|28.3|60.3|1|37.8|71.2|NaN|1|114|1|t|H
58|0|58|1814|37.8|71.2|100|NaN|NaN|NaN|1|114|1|t|H
59|0|59|1814|37.8|71.2|1|27.2|72.3|NaN|1|114|1|t|H
61|1|1|7645|27.2|72.3|101|27.8|69.7|NaN|1|114|1|t|H
61|1|1|7645|27.2|72.3|100|NaN|NaN|NaN|1|114|1|t|H
62|1|2|7645|27.8|69.7|1|29.6|66.9|NaN|1|114|1|t|H
62|1|2|1814|29.6|66.9|101|29.5|70.5|NaN|1|114|1|t|H
62|1|2|1814|29.6|66.9|100|NaN|NaN|NaN|1|114|1|t|H
63|1|3|1814|29.5|70.5|1|30.3|79.7|NaN|1|114|1|t|H
64|1|4|7645|30.3|79.7|101|30.6|83.5|NaN|1|114|1|t|H
64|1|4|7645|30.3|79.7|100|NaN|NaN|NaN|1|114|1|t|H
65|1|5|7645|30.6|83.5|1|41.1|97.1|NaN|1|114|1|t|H
67|1|7|12745|41.1|97.1|100|NaN|NaN|NaN|1|114|1|t|H
67|1|7|12745|41.1|97.1|101|40.1|96.5|NaN|1|114|1|t|H
68|1|8|12745|40.1|96.5|1|30.1|73.6|NaN|1|114|1|t|H
69|1|9|1814|30.1|73.6|100|NaN|NaN|NaN|1|114|1|t|H
69|1|9|1814|30.1|73.6|101|27.7|68.5|NaN|1|114|1|t|H
70|1|10|1814|27.7|68.5|1|23.8|30.4|NaN|1|114|1|t|H
77|1|17|19419|32.7|13.8|1|77.4|16.7|NaN|1|114|0|t|H
80|1|20|37641|24.0|83.9|1|30.9|88.9|NaN|1|119|1|t|A
81|1|21|18102|30.9|88.9|49|NaN|NaN|NaN|1|119|1|f|A
83|1|23|9047|70.0|11.7|4|NaN|NaN|NaN|1|114|0|f|H
83|1|23|18102|30.0|88.3|4|NaN|NaN|NaN|1|119|1|f|A
102|1|42|7313|31.6|92.1|1|31.5|72.7|NaN|1|119|1|f|A
102|1|42|10625|31.5|72.7|100|NaN|NaN|NaN|1|119|1|f|A
103|1|43|10625|31.5|72.7|1|32.6|94.1|NaN|1|119|1|t|A
104|1|44|7313|32.6|94.1|101|30.4|91.2|NaN|1|119|1|t|A
104|1|44|7313|32.6|94.1|100|NaN|NaN|NaN|1|119|1|t|A
105|1|45|7313|30.4|91.2|1|15.5|84.4|NaN|1|119|1|t|A
107|1|47|37641|15.5|84.4|100|NaN|NaN|NaN|1|119|1|t|A
107|1|47|37641|15.5|84.4|101|15.9|91.5|NaN|1|119|1|t|A
108|1|48|37641|15.9|91.5|1|34.6|98.1|NaN|1|119|1|t|A
110|1|50|18102|34.6|98.1|101|36.7|98.0|NaN|1|119|1|t|A
110|1|50|18102|34.6|98.1|100|NaN|NaN|NaN|1|119|1|t|A
111|1|51|18102|36.7|98.0|1|55.3|83.5|NaN|1|119|1|t|A
113|1|53|42493|55.3|83.5|1|67.6|100.0|NaN|1|119|0|t|A
115|1|55|40755|30.7|-1.2|5|NaN|NaN|NaN|1|114|1|f|H
115|1|55|42493|69.3|101.2|5|NaN|NaN|NaN|1|119|0|f|A
130|2|10|9047|31.9|0.0|1|46.3|3.4|NaN|1|114|0|f|H
132|2|12|20113|55.4|96.3|1|42.6|96.6|NaN|1|119|1|t|A
132|2|12|18102|42.6|96.6|100|NaN|NaN|NaN|1|119|1|t|A
133|2|13|18102|42.6|96.6|1|47.9|91.1|NaN|1|119|1|t|A
133|2|13|20113|47.9|91.1|100|NaN|NaN|NaN|1|119|1|t|A
134|2|14|20113|47.9|91.1|1|53.2|89.3|NaN|1|119|1|t|A
135|2|15|7313|53.2|89.3|49|NaN|NaN|NaN|1|119|1|f|A
136|2|16|7313|52.0|86.9|1|42.3|84.5|NaN|1|119|1|t|A
136|2|16|10625|42.3|84.5|100|NaN|NaN|NaN|1|119|1|t|A
137|2|17|10625|42.3|84.5|1|44.8|95.9|NaN|1|119|1|t|A
137|2|17|18102|44.8|95.9|100|NaN|NaN|NaN|1|119|1|t|A
138|2|18|18102|44.8|95.9|1|30.3|79.9|NaN|1|119|1|t|A
139|2|19|37641|30.3|79.9|100|NaN|NaN|NaN|1|119|1|t|A
139|2|19|37641|30.3|79.9|101|30.4|75.4|NaN|1|119|1|t|A
140|2|20|37641|30.4|75.4|1|23.2|48.5|NaN|1|119|1|t|A
143|2|23|17172|23.2|48.5|100|NaN|NaN|NaN|1|119|1|t|A
143|2|23|17172|23.2|48.5|101|25.0|45.7|NaN|1|119|1|t|A
144|2|24|17172|25.0|45.7|1|27.7|69.9|NaN|1|119|1|t|A
146|2|26|37641|27.7|69.9|101|28.5|70.3|NaN|1|119|1|t|A
146|2|26|37641|27.7|69.9|100|NaN|NaN|NaN|1|119|1|t|A
147|2|27|37641|28.5|70.3|1|40.1|64.2|NaN|1|119|1|t|A
150|2|30|7313|40.1|64.2|100|NaN|NaN|NaN|1|119|1|t|A
150|2|30|7313|40.1|64.2|101|35.7|55.7|NaN|1|119|1|t|A
151|2|31|7313|35.7|55.7|1|57.9|34.2|NaN|1|119|1|t|A
155|2|35|45156|57.9|34.2|101|64.9|27.0|NaN|1|119|1|t|A
