_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|39816|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|15208|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|5155|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|37915|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|76650|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|14075|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|27341|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|90152|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|40784|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|74208|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37971|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|19927|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37852|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|27334|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|76650|0.0|0.0|34|NaN|NaN|NaN|1|368|1|f|H
0|0|0|55634|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|A
1|0|1|5155|49.9|50.0|1|52.1|48.8|NaN|1|357|1|t|A
1|0|1|44989|52.1|48.8|100|NaN|NaN|NaN|1|357|1|t|A
1|0|1|44989|52.1|48.8|101|51.4|49.9|NaN|1|357|1|t|A
2|0|2|44989|51.4|49.9|1|32.2|55.8|NaN|1|357|1|t|A
3|0|3|15208|32.2|55.8|101|30.4|55.8|NaN|1|357|1|t|A
3|0|3|15208|32.2|55.8|100|NaN|NaN|NaN|1|357|1|t|A
4|0|4|15208|30.4|55.8|1|43.0|54.6|NaN|1|357|1|t|A
5|0|5|44989|43.0|54.6|1|32.5|13.2|NaN|1|357|0|t|A
7|0|7|76650|67.2|78.7|1|74.4|75.3|NaN|1|368|0|t|H
10|0|10|40691|29.4|40.3|12|NaN|NaN|NaN|1|357|1|f|A
11|0|11|27334|45.0|31.8|1|58.2|36.0|NaN|1|368|1|t|H
12|0|12|74208|58.2|36.0|1|68.9|45.1|NaN|1|368|0|t|H
15|0|15|38392|30.6|69.7|1|71.6|46.9|NaN|1|357|0|t|A
18|0|18|40784|26.3|49.7|49|NaN|NaN|NaN|1|368|1|f|H
18|0|18|40784|26.3|49.7|1|7.3|49.7|NaN|1|368|1|t|H
19|0|19|37915|7.3|49.7|100|NaN|NaN|NaN|1|368|1|t|H
20|0|20|37915|7.3|49.7|1|20.2|29.8|NaN|1|368|1|t|H
23|0|23|90152|19.8|31.2|1|70.9|52.4|NaN|1|368|0|t|H
30|0|30|20388|25.0|46.3|49|NaN|NaN|NaN|1|357|1|f|A
33|0|33|20388|28.3|45.7|1|33.9|36.9|NaN|1|357|1|t|A
33|0|33|40691|33.9|36.9|100|NaN|NaN|NaN|1|357|1|t|A
34|0|34|40691|33.9|36.9|1|35.3|71.2|NaN|1|357|1|t|A
37|0|37|38392|35.3|71.2|101|36.8|68.5|NaN|1|357|1|t|A
37|0|37|38392|35.3|71.2|100|NaN|NaN|NaN|1|357|1|t|A
38|0|38|38392|36.8|68.5|1|38.2|30.6|NaN|1|357|1|t|A
42|0|42|40691|46.9|31.3|1|83.3|80.5|NaN|1|357|0|t|A
44|0|44|27334|13.6|18.5|12|NaN|NaN|NaN|1|368|1|f|H
46|0|46|27334|23.5|-1.5|5|NaN|NaN|NaN|1|368|0|f|H
46|0|46|40691|76.5|101.5|5|NaN|NaN|NaN|1|357|1|f|A
51|0|51|41316|72.3|100.0|1|56.4|85.1|NaN|1|357|1|f|A
55|0|55|15208|56.4|85.1|100|NaN|NaN|NaN|1|357|1|f|A
55|0|55|15208|56.4|85.1|101|54.4|81.8|NaN|1|357|1|f|A
56|0|56|15208|54.4|81.8|1|40.5|67.2|NaN|1|357|1|t|A
61|1|1|38392|40.5|67.2|101|43.3|64.2|NaN|1|357|1|t|A
61|1|1|38392|40.5|67.2|100|NaN|NaN|NaN|1|357|1|t|A
62|1|2|38392|43.3|64.2|1|39.1|38.2|NaN|1|357|1|t|A
63|1|3|40691|39.1|38.2|100|NaN|NaN|NaN|1|357|1|t|A
64|1|4|40691|39.1|38.2|1|58.3|2.5|NaN|1|357|1|t|A
68|1|8|15207|58.3|2.5|101|58.8|2.2|NaN|1|357|1|t|A
68|1|8|15207|58.3|2.5|100|NaN|NaN|NaN|1|357|1|t|A
69|1|9|15207|58.8|2.2|1|47.1|17.4|NaN|1|357|1|t|A
70|1|10|40691|47.1|17.4|101|47.5|22.7|NaN|1|357|1|t|A
70|1|10|40691|47.1|17.4|100|NaN|NaN|NaN|1|357|1|t|A
71|1|11|40691|47.5|22.7|1|46.0|56.3|NaN|1|357|1|t|A
78|1|18|38392|46.0|56.3|100|NaN|NaN|NaN|1|357|1|t|A
78|1|18|38392|46.0|56.3|101|56.2|52.5|NaN|1|357|1|t|A
79|1|19|38392|56.2|52.5|1|51.0|38.2|NaN|1|357|1|t|A
80|1|20|40691|51.0|38.2|100|NaN|NaN|NaN|1|357|1|t|A
80|1|20|40691|51.0|38.2|101|53.6|33.6|NaN|1|357|1|t|A
81|1|21|40691|53.6|33.6|1|59.2|2.8|NaN|1|357|1|t|A
83|1|23|15207|59.2|2.8|100|NaN|NaN|NaN|1|357|1|t|A
84|1|24|15207|59.2|2.8|1|41.3|25.8|NaN|1|357|1|t|A
85|1|25|40691|41.3|25.8|101|41.2|28.0|NaN|1|357|1|t|A
85|1|25|40691|41.3|25.8|100|NaN|NaN|NaN|1|357|1|t|A
86|1|26|40691|41.2|28.0|1|35.8|65.7|NaN|1|357|1|t|A
89|1|29|38392|35.8|65.7|101|39.5|68.1|NaN|1|357|1|t|A
89|1|29|38392|35.8|65.7|100|NaN|NaN|NaN|1|357|1|t|A
