_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|99336|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|81918|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|119572|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|34291|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|34285|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|82533|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|34296|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|59794|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|99332|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|50105|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|34302|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|A
0|0|0|37915|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|76650|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|14075|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|27341|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|90152|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|40784|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|74208|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37971|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|19927|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37852|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|27334|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|76650|0.0|0.0|34|NaN|NaN|NaN|1|368|1|f|H
0|0|0|50105|0.0|0.0|34|NaN|NaN|NaN|1|847|1|f|A
1|0|1|59794|49.9|51.5|1|51.4|54.3|NaN|1|847|1|t|A
1|0|1|99332|51.4|54.3|100|NaN|NaN|NaN|1|847|1|t|A
2|0|2|99332|51.4|54.3|1|40.9|59.7|NaN|1|847|1|t|A
5|0|5|34296|40.9|59.7|101|40.2|57.9|NaN|1|847|1|t|A
5|0|5|34296|40.9|59.7|100|NaN|NaN|NaN|1|847|1|t|A
6|0|6|34296|40.2|57.9|1|36.5|23.1|NaN|1|847|1|t|A
8|0|8|99336|36.5|23.1|101|36.5|22.5|NaN|1|847|1|t|A
8|0|8|99336|36.5|23.1|100|NaN|NaN|NaN|1|847|1|t|A
9|0|9|99336|36.5|22.5|1|24.8|68.1|NaN|1|847|1|t|A
14|0|14|34285|24.8|68.1|100|NaN|NaN|NaN|1|847|1|t|A
