_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|27334|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|14075|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|27341|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|90152|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|51507|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|74208|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37971|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|44346|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37852|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|19927|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|37915|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|H
0|0|0|13262|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|90714|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|149879|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|28495|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|10594|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|112991|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|26900|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|116120|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|85388|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|49013|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|49507|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|90714|0.0|0.0|34|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|19927|0.0|0.0|34|NaN|NaN|NaN|1|368|1|f|H
1|0|1|85388|50.0|50.0|1|50.8|48.4|NaN|1|1216|1|t|A
1|0|1|49013|50.8|48.4|100|NaN|NaN|NaN|1|1216|1|t|A
2|0|2|49013|50.8|48.4|1|40.1|61.7|NaN|1|1216|1|t|A
3|0|3|28495|40.1|61.7|100|NaN|NaN|NaN|1|1216|1|t|A
3|0|3|28495|40.1|61.7|101|42.1|65.8|NaN|1|1216|1|t|A
4|0|4|28495|42.1|65.8|1|51.9|93.9|NaN|1|1216|1|t|A
9|0|9|27341|46.2|22.0|7|NaN|NaN|NaN|1|368|1|f|H
9|0|9|90714|53.8|78.0|50|NaN|NaN|NaN|1|1216|1|f|A
10|0|10|27341|54.0|26.5|49|NaN|NaN|NaN|1|368|1|f|H
11|0|11|27341|54.0|26.5|1|46.7|17.0|NaN|1|368|1|t|H
11|0|11|74208|46.7|17.0|100|NaN|NaN|NaN|1|368|1|t|H
12|0|12|74208|46.7|17.0|1|40.6|15.9|NaN|1|368|1|t|H
13|0|13|27334|40.6|15.9|100|NaN|NaN|NaN|1|368|1|t|H
14|0|14|27334|40.6|15.9|1|56.5|5.0|NaN|1|368|1|t|H
15|0|15|37852|56.5|5.0|1|70.4|18.3|NaN|1|368|0|t|H
16|0|16|112991|27.4|82.1|49|NaN|NaN|NaN|1|1216|1|f|A
17|0|17|112991|27.4|82.1|1|29.0|94.8|NaN|1|1216|1|t|A
18|0|18|149879|29.0|94.8|1|30.1|94.7|NaN|1|1216|0|t|A
19|0|19|37852|69.1|6.8|74|NaN|NaN|NaN|1|368|1|f|H
20|0|20|28495|28.8|85.7|1|9.4|58.4|NaN|1|1216|1|t|A
30|0|30|13262|16.3|43.4|1|59.6|33.9|NaN|1|1216|0|t|A
33|0|33|14075|39.7|66.1|44|NaN|NaN|NaN|1|368|1|f|H
33|0|33|26900|60.3|33.9|44|NaN|NaN|NaN|1|1216|0|f|A
34|0|34|14075|39.0|66.1|1|38.2|39.4|NaN|1|368|1|t|H
35|0|35|27334|38.1|38.2|49|NaN|NaN|NaN|1|368|1|f|H
36|0|36|27334|38.1|35.4|1|40.4|37.9|NaN|1|368|1|t|H
36|0|36|74208|40.4|37.9|100|NaN|NaN|NaN|1|368|1|t|H
36|0|36|74208|40.4|37.9|101|39.6|36.7|NaN|1|368|1|t|H
37|0|37|74208|39.6|36.7|1|53.9|14.3|NaN|1|368|1|t|H
38|0|38|37852|53.9|14.3|101|53.6|16.1|NaN|1|368|1|t|H
38|0|38|37852|53.9|14.3|100|NaN|NaN|NaN|1|368|1|t|H
39|0|39|37852|53.6|16.1|1|59.4|21.9|NaN|1|368|1|t|H
43|0|43|90714|26.0|86.4|7|NaN|NaN|NaN|1|1216|1|f|A
43|0|43|27334|74.0|13.6|50|NaN|NaN|NaN|1|368|1|f|H
45|0|45|90714|20.7|90.5|49|NaN|NaN|NaN|1|1216|1|f|A
46|0|46|90714|22.4|88.0|1|29.6|96.0|NaN|1|1216|1|t|A
47|0|47|149879|29.6|96.0|101|35.6|95.6|NaN|1|1216|1|t|A
47|0|47|149879|29.6|96.0|100|NaN|NaN|NaN|1|1216|1|t|A
48|0|48|149879|35.6|95.6|1|58.5|95.9|NaN|1|1216|1|t|A
50|0|50|85388|58.5|95.9|61|NaN|NaN|NaN|1|1216|0|f|A
52|0|52|85388|60.7|101.6|5|NaN|NaN|NaN|1|1216|0|f|A
52|0|52|90152|39.3|-1.6|5|NaN|NaN|NaN|1|368|1|f|H
65|1|5|27334|40.7|0.0|1|37.2|16.8|NaN|1|368|1|f|H
71|1|11|28495|65.4|85.2|4|NaN|NaN|NaN|1|1216|0|f|A
71|1|11|74208|34.6|14.8|4|NaN|NaN|NaN|1|368|1|f|H
78|1|18|90152|31.1|25.5|1|32.4|47.5|NaN|1|368|1|f|H
79|1|19|27341|32.4|47.5|101|32.9|49.4|NaN|1|368|1|f|H
79|1|19|27341|32.4|47.5|100|NaN|NaN|NaN|1|368|1|f|H
80|1|20|27341|32.9|49.4|1|30.9|74.7|NaN|1|368|1|t|H
82|1|22|51507|30.9|74.7|100|NaN|NaN|NaN|1|368|1|t|H
82|1|22|51507|30.9|74.7|101|31.4|78.2|NaN|1|368|1|t|H
83|1|23|51507|31.4|78.2|1|38.7|96.6|NaN|1|368|1|t|H
83|1|23|14075|38.7|96.6|100|NaN|NaN|NaN|1|368|1|t|H
84|1|24|14075|38.7|96.6|1|29.8|81.4|NaN|1|368|1|t|H
88|1|28|51507|29.8|81.4|101|28.1|77.5|NaN|1|368|1|t|H
88|1|28|51507|29.8|81.4|100|NaN|NaN|NaN|1|368|1|t|H
89|1|29|51507|28.1|77.5|1|56.5|75.9|NaN|1|368|1|t|H
90|1|30|44346|56.5|75.9|100|NaN|NaN|NaN|1|368|1|t|H
90|1|30|44346|56.5|75.9|101|56.6|72.6|NaN|1|368|1|t|H
91|1|31|44346|56.6|72.6|1|58.8|63.6|NaN|1|368|1|t|H
91|1|31|37971|58.8|63.6|101|64.9|59.0|NaN|1|368|1|t|H
91|1|31|37971|58.8|63.6|100|NaN|NaN|NaN|1|368|1|t|H
92|1|32|37971|64.9|59.0|1|73.3|48.1|NaN|1|368|1|t|H
92|1|32|37852|73.3|48.1|100|NaN|NaN|NaN|1|368|1|t|H
93|1|33|37852|73.3|48.1|1|70.7|44.9|NaN|1|368|1|t|H
94|1|34|74208|70.7|44.9|101|68.3|36.4|NaN|1|368|1|t|H
94|1|34|74208|70.7|44.9|100|NaN|NaN|NaN|1|368|1|t|H
95|1|35|74208|68.3|36.4|1|77.1|25.5|NaN|1|368|1|t|H
98|1|38|27334|79.3|22.2|1|85.4|52.7|NaN|1|368|0|t|H
100|1|40|10594|15.2|44.8|8|NaN|NaN|NaN|1|1216|1|f|A
101|1|41|49507|21.8|31.9|49|NaN|NaN|NaN|1|1216|1|f|A
108|1|48|49507|66.8|6.8|1|76.0|10.3|NaN|1|1216|0|t|A
109|1|49|14075|21.9|95.7|49|NaN|NaN|NaN|1|368|1|f|H
