_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|69140|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|17127|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|15208|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|69600|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|28549|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|104512|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|88746|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|20578|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|149786|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|50117|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|44336|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|51498|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|149828|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|82752|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|86813|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|104512|0.0|0.0|34|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|69600|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|H
0|0|0|69600|50.0|50.0|1|51.3|48.2|NaN|1|357|1|t|H
1|0|1|55634|51.3|48.2|100|NaN|NaN|NaN|1|357|1|t|H
2|0|2|55634|51.3|48.2|1|29.6|50.3|NaN|1|357|1|t|H
3|0|3|15207|29.6|50.3|100|NaN|NaN|NaN|1|357|1|t|H
4|0|4|15207|29.6|50.3|1|37.0|60.2|NaN|1|357|1|t|H
4|0|4|44989|37.0|60.2|100|NaN|NaN|NaN|1|357|1|t|H
5|0|5|44989|37.0|60.2|1|34.3|50.7|NaN|1|357|1|t|H
5|0|5|15207|34.3|50.7|101|34.4|51.2|NaN|1|357|1|t|H
5|0|5|15207|34.3|50.7|100|NaN|NaN|NaN|1|357|1|t|H
