_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|17127|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|39816|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|69600|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|49478|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|45124|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|49485|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|14791|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|68791|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|66905|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|104953|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|77831|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|33223|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|20360|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|49483|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|45124|0.0|0.0|34|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|69600|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|H
1|0|1|69600|49.9|49.4|1|51.6|47.0|NaN|1|357|1|t|H
1|0|1|55634|51.6|47.0|100|NaN|NaN|NaN|1|357|1|t|H
2|0|2|55634|51.6|47.0|1|41.5|60.2|NaN|1|357|1|t|H
2|0|2|44989|41.5|60.2|100|NaN|NaN|NaN|1|357|1|t|H
3|0|3|44989|41.5|60.2|1|35.8|52.1|NaN|1|357|1|t|H
3|0|3|15207|35.8|52.1|101|35.9|51.3|NaN|1|357|1|t|H
3|0|3|15207|35.8|52.1|100|NaN|NaN|NaN|1|357|1|t|H
4|0|4|15207|35.9|51.3|1|27.1|66.0|NaN|1|357|1|t|H
4|0|4|38392|27.1|66.0|100|NaN|NaN|NaN|1|357|1|t|H
5|0|5|38392|27.1|66.0|1|37.1|65.8|NaN|1|357|1|t|H
6|0|6|44989|37.1|65.8|100|NaN|NaN|NaN|1|357|1|t|H
7|0|7|44989|37.1|65.8|1|24.9|71.8|NaN|1|357|1|t|H
10|0|10|38392|24.9|71.8|100|NaN|NaN|NaN|1|357|1|t|H
10|0|10|38392|24.9|71.8|101|25.5|72.0|NaN|1|357|1|t|H
11|0|11|38392|25.5|72.0|1|23.5|37.6|NaN|1|357|1|t|H
12|0|12|17127|23.5|37.6|100|NaN|NaN|NaN|1|357|1|t|H
12|0|12|17127|23.5|37.6|101|24.7|28.2|NaN|1|357|1|t|H
13|0|13|17127|24.7|28.2|1|30.8|5.8|NaN|1|357|1|t|H
16|0|16|40691|30.2|2.9|1|46.7|8.0|NaN|1|357|0|t|H
18|0|18|49485|57.1|87.8|49|NaN|NaN|NaN|1|1219|1|f|A
19|0|19|49485|57.2|90.2|1|67.3|89.1|NaN|1|1219|1|t|A
20|0|20|20360|67.3|89.1|1|73.4|95.9|NaN|1|1219|0|t|A
21|0|21|40691|30.9|4.3|49|NaN|NaN|NaN|1|357|1|f|H
22|0|22|40691|30.9|4.3|1|11.2|34.0|NaN|1|357|1|t|H
27|0|27|20388|11.2|34.0|100|NaN|NaN|NaN|1|357|1|t|H
27|0|27|20388|11.2|34.0|101|11.7|45.4|NaN|1|357|1|t|H
28|0|28|20388|11.7|45.4|1|21.3|74.5|NaN|1|357|1|t|H
31|0|31|38392|21.3|74.5|100|NaN|NaN|NaN|1|357|1|t|H
31|0|31|38392|21.3|74.5|101|24.3|72.3|NaN|1|357|1|t|H
32|0|32|38392|24.3|72.3|1|25.5|29.7|NaN|1|357|1|t|H
34|0|34|17127|25.5|29.7|100|NaN|NaN|NaN|1|357|1|t|H
35|0|35|17127|25.5|29.7|1|27.9|43.9|NaN|1|357|1|t|H
37|0|37|15207|27.9|43.9|100|NaN|NaN|NaN|1|357|1|t|H
37|0|37|15207|27.9|43.9|101|29.8|47.5|NaN|1|357|1|t|H
38|0|38|15207|29.8|47.5|1|37.0|65.4|NaN|1|357|1|t|H
39|0|39|44989|37.0|65.4|101|36.1|70.8|NaN|1|357|1|t|H
39|0|39|44989|37.0|65.4|100|NaN|NaN|NaN|1|357|1|t|H
40|0|40|44989|36.1|70.8|1|42.5|73.5|NaN|1|357|1|t|H
43|0|43|69600|42.5|73.5|100|NaN|NaN|NaN|1|357|1|t|H
43|0|43|69600|42.5|73.5|101|43.4|71.5|NaN|1|357|1|t|H
44|0|44|69600|43.4|71.5|1|37.5|72.3|NaN|1|357|1|t|H
46|0|46|44989|37.5|72.3|100|NaN|NaN|NaN|1|357|1|t|H
46|0|46|44989|37.5|72.3|101|38.4|70.9|NaN|1|357|1|t|H
47|0|47|44989|38.4|70.9|1|31.9|26.8|NaN|1|357|1|t|H
50|0|50|17127|31.9|26.8|101|36.9|30.1|NaN|1|357|1|t|H
50|0|50|17127|31.9|26.8|100|NaN|NaN|NaN|1|357|1|t|H
51|0|51|17127|36.9|30.1|1|34.3|67.6|NaN|1|357|1|t|H
52|0|52|38392|34.3|67.6|100|NaN|NaN|NaN|1|357|1|t|H
53|0|53|38392|34.3|67.6|1|41.0|76.0|NaN|1|357|1|t|H
54|0|54|44989|41.0|76.0|101|38.8|78.2|NaN|1|357|1|t|H
54|0|54|44989|41.0|76.0|100|NaN|NaN|NaN|1|357|1|t|H
55|0|55|44989|38.8|78.2|1|46.7|75.1|NaN|1|357|1|t|H
56|0|56|69600|46.7|75.1|100|NaN|NaN|NaN|1|357|1|t|H
56|0|56|69600|46.7|75.1|101|46.8|74.1|NaN|1|357|1|t|H
57|0|57|69600|46.8|74.1|1|39.0|74.4|NaN|1|357|1|t|H
59|0|59|44989|39.0|74.4|100|NaN|NaN|NaN|1|357|1|t|H
59|0|59|44989|39.0|74.4|101|42.1|69.1|NaN|1|357|1|t|H
60|1|0|44989|42.1|69.1|1|37.2|24.9|NaN|1|357|1|t|H
64|1|4|17127|37.2|24.9|100|NaN|NaN|NaN|1|357|1|t|H
64|1|4|17127|37.2|24.9|101|39.6|21.5|NaN|1|357|1|t|H
65|1|5|17127|39.6|21.5|1|33.6|41.6|NaN|1|357|1|t|H
66|1|6|38392|33.6|41.6|100|NaN|NaN|NaN|1|357|1|t|H
66|1|6|38392|33.6|41.6|101|33.5|44.2|NaN|1|357|1|t|H
67|1|7|38392|33.5|44.2|1|43.0|67.9|NaN|1|357|1|t|H
69|1|9|44989|43.0|67.9|100|NaN|NaN|NaN|1|357|1|t|H
69|1|9|44989|43.0|67.9|101|46.6|70.3|NaN|1|357|1|t|H
70|1|10|44989|46.6|70.3|1|65.4|96.9|NaN|1|357|1|t|H
73|1|13|41316|65.4|96.9|1|100.0|80.3|NaN|1|357|0|t|H
76|1|16|104953|-0.8|17.3|5|NaN|NaN|NaN|1|1219|1|f|A
76|1|16|41316|100.8|82.7|5|NaN|NaN|NaN|1|357|0|f|H
96|1|36|49478|5.1|39.7|1|22.8|8.8|NaN|1|1219|1|f|A
101|1|41|68791|22.8|8.8|100|NaN|NaN|NaN|1|1219|1|f|A
