_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|26904|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|46525|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19620|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|18522|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|27256|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19624|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19921|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|17743|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|38530|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|14937|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|38533|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|69600|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|17127|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|39816|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|69600|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|H
0|0|0|14937|0.0|0.0|34|NaN|NaN|NaN|1|359|1|f|A
1|0|1|69600|50.1|50.6|1|52.6|49.0|NaN|1|357|1|t|H
1|0|1|55634|52.6|49.0|100|NaN|NaN|NaN|1|357|1|t|H
2|0|2|55634|52.6|49.0|1|37.4|41.8|NaN|1|357|1|t|H
2|0|2|15207|37.4|41.8|100|NaN|NaN|NaN|1|357|1|t|H
3|0|3|15207|37.4|41.8|1|35.3|27.9|NaN|1|357|1|t|H
4|0|4|39816|35.3|27.9|100|NaN|NaN|NaN|1|357|1|t|H
5|0|5|39816|35.3|27.9|1|25.3|32.4|NaN|1|357|1|t|H
6|0|6|17127|25.3|32.4|100|NaN|NaN|NaN|1|357|1|t|H
7|0|7|17127|25.3|32.4|1|25.5|63.7|NaN|1|357|1|t|H
11|0|11|38392|25.5|63.7|101|26.2|64.8|NaN|1|357|1|t|H
11|0|11|38392|25.5|63.7|100|NaN|NaN|NaN|1|357|1|t|H
12|0|12|38392|26.2|64.8|1|27.5|35.2|NaN|1|357|1|t|H
13|0|13|17127|27.5|35.2|101|28.3|36.4|NaN|1|357|1|t|H
