_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|49480|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|49485|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|14791|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|68791|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|66905|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|104953|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|77831|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|33223|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|80146|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|45124|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|61988|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|H
0|0|0|15337|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|17152|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|12875|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|37368|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|50089|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|60207|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|61770|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|15517|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|20226|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|41574|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|37070|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|A
0|0|0|17152|0.0|0.0|34|NaN|NaN|NaN|1|596|1|f|A
0|0|0|45124|0.0|0.0|34|NaN|NaN|NaN|1|1219|1|f|H
1|0|1|80146|50.0|51.8|1|51.1|52.6|NaN|1|1219|1|t|H
1|0|1|33223|51.1|52.6|100|NaN|NaN|NaN|1|1219|1|t|H
1|0|1|33223|51.1|52.6|101|51.3|52.0|NaN|1|1219|1|t|H
2|0|2|33223|51.3|52.0|1|38.3|52.2|NaN|1|1219|1|t|H
3|0|3|14791|38.3|52.2|100|NaN|NaN|NaN|1|1219|1|t|H
3|0|3|14791|38.3|52.2|101|37.1|50.6|NaN|1|1219|1|t|H
4|0|4|14791|37.1|50.6|1|32.5|19.1|NaN|1|1219|1|t|H
5|0|5|49480|32.5|19.1|100|NaN|NaN|NaN|1|1219|1|t|H
6|0|6|49480|32.5|19.1|1|42.6|3.2|NaN|1|1219|1|t|H
6|0|6|104953|42.6|3.2|100|NaN|NaN|NaN|1|1219|1|t|H
7|0|7|104953|42.6|3.2|1|28.9|8.8|NaN|1|1219|1|t|H
8|0|8|49480|28.6|8.8|1|33.7|6.7|NaN|1|1219|0|t|H
9|0|9|17152|66.0|85.5|74|NaN|NaN|NaN|1|596|1|f|A
10|0|10|49480|26.4|9.1|1|41.7|31.0|NaN|1|1219|0|t|H
11|0|11|15517|54.6|69.7|1|69.8|69.9|NaN|1|596|0|t|A
13|0|13|68791|25.5|32.4|12|NaN|NaN|NaN|1|1219|1|f|H
14|0|14|61770|65.8|101.0|5|NaN|NaN|NaN|1|596|1|f|A
14|0|14|66905|28.5|-0.8|5|NaN|NaN|NaN|1|1219|0|f|H
21|0|21|12875|63.2|100.0|1|66.6|78.8|NaN|1|596|1|f|A
21|0|21|20226|66.6|78.8|100|NaN|NaN|NaN|1|596|1|f|A
22|0|22|20226|66.6|78.8|1|65.1|93.8|NaN|1|596|1|t|A
23|0|23|12875|65.1|93.8|101|63.7|92.3|NaN|1|596|1|t|A
23|0|23|12875|65.1|93.8|100|NaN|NaN|NaN|1|596|1|t|A
