_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|80226|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|28111|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|52068|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|12450|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|19523|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|37352|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|28301|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|12303|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|14664|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|43274|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|12056|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|A
0|0|0|48332|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|50343|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|40868|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|6994|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|66806|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|39476|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|28130|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|48353|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|10866|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|39471|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|27375|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|H
0|0|0|50343|0.0|0.0|34|NaN|NaN|NaN|1|517|1|f|H
0|0|0|43274|0.0|0.0|34|NaN|NaN|NaN|1|1221|1|f|A
