_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|98780|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|12631|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|83409|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|12625|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|98783|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|20695|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|50947|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|148179|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|42173|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|49195|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|58966|0.0|0.0|102|NaN|NaN|NaN|1|830|1|f|A
0|0|0|34302|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|50105|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|81918|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|119572|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|34291|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|34285|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|55209|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|104475|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|59794|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|99332|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|99336|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|50105|0.0|0.0|34|NaN|NaN|NaN|1|847|1|f|H
0|0|0|49195|0.0|0.0|34|NaN|NaN|NaN|1|830|1|f|A
1|0|1|42173|50.1|50.4|1|53.2|49.3|NaN|1|830|1|t|A
6|0|6|104475|41.3|45.4|4|NaN|NaN|NaN|1|847|0|f|H
6|0|6|148179|58.7|54.6|4|NaN|NaN|NaN|1|830|1|f|A
48|0|48|12631|55.3|55.8|1|84.6|41.2|NaN|1|830|1|f|A
51|0|51|42173|84.6|41.2|100|NaN|NaN|NaN|1|830|1|f|A
51|0|51|42173|84.6|41.2|101|85.2|46.6|NaN|1|830|1|f|A
52|0|52|42173|85.2|46.6|15|100.0|49.3|13.3|1|830|1|f|A
52|0|52|34302|2.7|49.3|10|NaN|NaN|NaN|1|847|1|f|H
55|0|55|34302|3.4|51.6|52|NaN|NaN|NaN|1|847|1|f|H
60|1|0|34302|13.2|56.1|1|40.9|89.4|NaN|1|847|1|t|H
61|1|1|50105|40.9|89.4|100|NaN|NaN|NaN|1|847|1|t|H
61|1|1|50105|40.9|89.4|101|40.9|89.3|NaN|1|847|1|t|H
62|1|2|50105|40.9|89.3|1|37.8|82.1|NaN|1|847|1|t|H
64|1|4|104475|37.7|79.7|1|45.0|82.1|NaN|1|847|0|t|H
66|1|6|98780|54.6|21.8|1|63.6|15.0|NaN|1|830|1|t|A
68|1|8|20695|63.6|15.0|49|NaN|NaN|NaN|1|830|1|f|A
68|1|8|20695|63.6|15.0|1|61.9|24.4|NaN|1|830|1|t|A
68|1|8|50947|61.9|24.4|100|NaN|NaN|NaN|1|830|1|t|A
68|1|8|50947|61.9|24.4|101|61.5|25.8|NaN|1|830|1|t|A
69|1|9|50947|61.5|25.8|1|68.2|27.7|NaN|1|830|1|t|A
72|1|12|42173|70.7|51.8|1|74.8|78.5|NaN|1|830|0|t|A
73|1|13|99336|26.9|25.2|8|NaN|NaN|NaN|1|847|1|f|H
75|1|15|49195|75.7|84.5|61|NaN|NaN|NaN|1|830|0|f|A
76|1|16|119572|20.2|-1.6|5|NaN|NaN|NaN|1|847|1|f|H
76|1|16|49195|79.8|101.6|5|NaN|NaN|NaN|1|830|0|f|A
80|1|20|99336|21.2|0.0|1|32.2|2.6|NaN|1|847|1|f|H
83|1|23|55209|32.2|2.6|100|NaN|NaN|NaN|1|847|1|f|H
84|1|24|55209|32.2|2.6|1|23.8|13.8|NaN|1|847|1|t|H
86|1|26|119572|23.8|13.8|101|24.1|15.3|NaN|1|847|1|t|H
86|1|26|119572|23.8|13.8|100|NaN|NaN|NaN|1|847|1|t|H
87|1|27|119572|24.1|15.3|1|52.7|22.5|NaN|1|847|1|t|H
89|1|29|59794|49.4|27.8|50|NaN|NaN|NaN|1|847|1|f|H
89|1|29|12625|50.6|72.2|7|NaN|NaN|NaN|1|830|1|f|A
91|1|31|83409|56.9|75.9|49|NaN|NaN|NaN|1|830|1|f|A
91|1|31|83409|56.9|75.9|1|61.2|94.1|NaN|1|830|1|t|A
92|1|32|49195|61.2|94.1|100|NaN|NaN|NaN|1|830|1|t|A
