_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|27335|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|69305|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|40772|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|119471|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|19160|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|84450|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|21123|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|81048|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|68312|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|52156|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|11973|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|A
0|0|0|34302|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|50105|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|99334|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|34296|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|34291|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|34285|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|55209|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|104475|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|59794|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|99332|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|99336|0.0|0.0|102|NaN|NaN|NaN|1|847|1|f|H
0|0|0|50105|0.0|0.0|34|NaN|NaN|NaN|1|847|1|f|H
0|0|0|52156|0.0|0.0|34|NaN|NaN|NaN|1|497|1|f|A
1|0|1|59794|50.1|49.0|1|50.9|51.3|NaN|1|847|1|t|H
3|0|3|40772|53.0|51.5|7|NaN|NaN|NaN|1|497|1|f|A
3|0|3|99332|47.0|48.5|50|NaN|NaN|NaN|1|847|1|f|H
4|0|4|40772|53.1|49.9|1|57.0|56.1|NaN|1|497|1|t|A
5|0|5|52156|58.4|60.1|49|NaN|NaN|NaN|1|497|1|f|A
