_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|49507|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|149879|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|28495|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|112991|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|149959|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|90714|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|116120|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|85388|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|125945|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|49013|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|13262|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|111674|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|18427|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|156604|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|36803|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|183059|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|37197|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|155072|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|37036|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|41071|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|49529|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|155084|0.0|0.0|102|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|18427|0.0|0.0|34|NaN|NaN|NaN|1|1042|1|f|H
0|0|0|49013|0.0|0.0|34|NaN|NaN|NaN|1|1216|1|f|A
0|0|0|37036|49.9|49.7|1|50.9|51.6|NaN|1|1042|1|t|H
1|0|1|41071|50.9|51.6|100|NaN|NaN|NaN|1|1042|1|t|H
2|0|2|41071|50.9|51.6|1|28.7|44.9|NaN|1|1042|1|t|H
2|0|2|183059|28.7|44.9|100|NaN|NaN|NaN|1|1042|1|t|H
3|0|3|183059|28.7|44.9|1|30.2|64.6|NaN|1|1042|1|t|H
8|0|8|37197|34.7|71.8|1|97.1|53.6|NaN|1|1042|0|t|H
11|0|11|13262|3.3|49.9|52|NaN|NaN|NaN|1|1216|1|f|A
15|0|15|13262|8.2|47.9|1|13.2|23.3|NaN|1|1216|1|f|A
20|0|20|112991|13.2|23.3|100|NaN|NaN|NaN|1|1216|1|f|A
20|0|20|112991|13.2|23.3|101|28.8|26.4|NaN|1|1216|1|f|A
21|0|21|112991|28.8|26.4|1|36.3|56.3|NaN|1|1216|1|t|A
25|0|25|28495|36.3|56.3|101|35.3|59.6|NaN|1|1216|1|t|A
25|0|25|28495|36.3|56.3|100|NaN|NaN|NaN|1|1216|1|t|A
26|0|26|28495|35.3|59.6|1|36.9|80.3|NaN|1|1216|1|t|A
27|0|27|149959|36.9|80.3|100|NaN|NaN|NaN|1|1216|1|t|A
28|0|28|149959|36.9|80.3|1|40.5|94.8|NaN|1|1216|1|t|A
30|0|30|149879|40.5|94.8|100|NaN|NaN|NaN|1|1216|1|t|A
30|0|30|149879|40.5|94.8|101|39.8|93.0|NaN|1|1216|1|t|A
31|0|31|149879|39.8|93.0|1|35.2|82.3|NaN|1|1216|1|t|A
32|0|32|149959|35.2|82.3|101|35.2|80.0|NaN|1|1216|1|t|A
32|0|32|149959|35.2|82.3|100|NaN|NaN|NaN|1|1216|1|t|A
33|0|33|149959|35.2|80.0|1|34.3|73.0|NaN|1|1216|1|t|A
34|0|34|28495|34.3|73.0|101|33.9|69.9|NaN|1|1216|1|t|A
34|0|34|28495|34.3|73.0|100|NaN|NaN|NaN|1|1216|1|t|A
35|0|35|28495|33.9|69.9|1|36.8|37.7|NaN|1|1216|1|t|A
