_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|18547|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|40002|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|10625|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|17172|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|18102|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|45156|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|11527|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|42493|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|7313|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|20113|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|4126|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|28411|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|28392|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|34355|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|34352|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|105021|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|99128|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|37084|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|61960|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|99127|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|102683|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|77760|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|28392|0.0|0.0|34|NaN|NaN|NaN|1|838|1|f|A
0|0|0|20113|0.0|0.0|34|NaN|NaN|NaN|1|119|1|f|H
1|0|1|42493|50.0|50.0|1|51.5|51.8|NaN|1|119|1|t|H
1|0|1|20113|51.5|51.8|100|NaN|NaN|NaN|1|119|1|t|H
2|0|2|20113|51.5|51.8|1|39.1|51.2|NaN|1|119|1|t|H
2|0|2|10625|39.1|51.2|100|NaN|NaN|NaN|1|119|1|t|H
3|0|3|10625|39.1|51.2|1|40.6|58.5|NaN|1|119|1|t|H
3|0|3|7313|40.6|58.5|100|NaN|NaN|NaN|1|119|1|t|H
4|0|4|7313|40.6|58.5|1|39.4|48.7|NaN|1|119|1|t|H
5|0|5|10625|39.4|48.7|101|39.4|45.2|NaN|1|119|1|t|H
5|0|5|10625|39.4|48.7|100|NaN|NaN|NaN|1|119|1|t|H
6|0|6|10625|39.4|45.2|1|27.2|40.9|NaN|1|119|1|t|H
8|0|8|17172|27.2|40.9|100|NaN|NaN|NaN|1|119|1|t|H
9|0|9|17172|27.2|40.9|1|27.1|93.9|NaN|1|119|1|t|H
13|0|13|18102|27.1|93.9|101|29.7|95.9|NaN|1|119|1|t|H
13|0|13|18102|27.1|93.9|100|NaN|NaN|NaN|1|119|1|t|H
14|0|14|18102|29.7|95.9|1|11.7|55.4|NaN|1|119|1|t|H
16|0|16|4126|11.7|55.4|101|13.2|54.6|NaN|1|119|1|t|H
16|0|16|4126|11.7|55.4|100|NaN|NaN|NaN|1|119|1|t|H
17|0|17|4126|13.2|54.6|1|21.4|56.1|NaN|1|119|1|t|H
19|0|19|10625|21.4|56.1|100|NaN|NaN|NaN|1|119|1|t|H
19|0|19|10625|21.4|56.1|101|24.7|53.4|NaN|1|119|1|t|H
20|0|20|10625|24.7|53.4|1|38.8|57.5|NaN|1|119|1|t|H
20|0|20|7313|38.8|57.5|100|NaN|NaN|NaN|1|119|1|t|H
21|0|21|7313|38.8|57.5|1|32.5|51.9|NaN|1|119|1|t|H
24|0|24|10625|32.5|51.9|100|NaN|NaN|NaN|1|119|1|t|H
24|0|24|10625|32.5|51.9|101|35.2|46.8|NaN|1|119|1|t|H
25|0|25|10625|35.2|46.8|1|53.0|40.2|NaN|1|119|1|t|H
26|0|26|11527|53.0|40.2|100|NaN|NaN|NaN|1|119|1|t|H
26|0|26|11527|53.0|40.2|101|53.0|43.1|NaN|1|119|1|t|H
27|0|27|11527|53.0|43.1|1|48.6|49.0|NaN|1|119|1|t|H
29|0|29|77760|36.6|28.3|55|NaN|NaN|NaN|1|838|1|f|A
29|0|29|7313|48.6|49.0|2|76.3|57.8|NaN|1|119|1|f|H
46|0|46|99128|24.5|39.7|1|37.2|72.7|NaN|1|838|1|f|A
46|0|46|34352|37.2|72.7|100|NaN|NaN|NaN|1|838|1|f|A
46|0|46|34352|37.2|72.7|101|36.9|77.0|NaN|1|838|1|f|A
47|0|47|34352|36.9|77.0|1|45.1|93.8|NaN|1|838|1|t|A
50|0|50|34355|45.1|93.8|100|NaN|NaN|NaN|1|838|1|t|A
50|0|50|34355|45.1|93.8|101|45.4|78.7|NaN|1|838|1|t|A
51|0|51|34355|45.4|78.7|1|46.3|66.1|NaN|1|838|1|t|A
53|0|53|102683|46.3|66.1|101|47.5|68.5|NaN|1|838|1|t|A
53|0|53|102683|46.3|66.1|100|NaN|NaN|NaN|1|838|1|t|A
54|0|54|102683|47.5|68.5|1|40.4|81.8|NaN|1|838|1|t|A
56|0|56|34355|40.4|81.8|100|NaN|NaN|NaN|1|838|1|t|A
56|0|56|34355|40.4|81.8|101|39.5|75.9|NaN|1|838|1|t|A
57|0|57|34355|39.5|75.9|1|26.2|58.5|NaN|1|838|1|t|A
58|0|58|105021|26.2|58.5|100|NaN|NaN|NaN|1|838|1|t|A
58|0|58|105021|26.2|58.5|101|26.2|56.1|NaN|1|838|1|t|A
59|0|59|105021|26.2|56.1|1|30.0|21.0|NaN|1|838|1|t|A
63|1|3|99128|30.0|21.0|100|NaN|NaN|NaN|1|838|1|t|A
63|1|3|99128|30.0|21.0|101|36.3|14.4|NaN|1|838|1|t|A
64|1|4|99128|36.3|14.4|1|56.8|39.7|NaN|1|838|1|t|A
67|1|7|99127|57.0|36.9|1|57.9|32.2|NaN|1|838|0|t|A
69|1|9|20113|38.6|66.7|74|NaN|NaN|NaN|1|119|1|f|H
74|1|14|37084|44.4|28.8|1|43.5|54.8|NaN|1|838|1|t|A
76|1|16|102683|43.5|54.8|101|43.5|55.1|NaN|1|838|1|t|A
76|1|16|102683|43.5|54.8|100|NaN|NaN|NaN|1|838|1|t|A
77|1|17|102683|43.5|55.1|1|52.6|94.2|NaN|1|838|1|t|A
80|1|20|34355|52.6|94.2|100|NaN|NaN|NaN|1|838|1|t|A
80|1|20|34355|52.6|94.2|101|54.7|93.8|NaN|1|838|1|t|A
81|1|21|34355|54.7|93.8|1|52.6|82.7|NaN|1|838|1|t|A
83|1|23|28392|52.6|82.7|101|52.8|82.0|NaN|1|838|1|t|A
83|1|23|28392|52.6|82.7|100|NaN|NaN|NaN|1|838|1|t|A
84|1|24|28392|52.8|82.0|1|43.8|75.3|NaN|1|838|1|t|A
84|1|24|102683|43.8|75.3|100|NaN|NaN|NaN|1|838|1|t|A
85|1|25|102683|43.8|75.3|1|52.6|78.8|NaN|1|838|1|t|A
87|1|27|28392|52.6|78.8|101|52.7|78.8|NaN|1|838|1|t|A
87|1|27|28392|52.6|78.8|100|NaN|NaN|NaN|1|838|1|t|A
88|1|28|28392|52.7|78.8|1|42.3|72.3|NaN|1|838|1|t|A
88|1|28|102683|42.3|72.3|100|NaN|NaN|NaN|1|838|1|t|A
89|1|29|102683|42.3|72.3|1|48.8|59.0|NaN|1|838|1|t|A
89|1|29|37084|48.8|59.0|100|NaN|NaN|NaN|1|838|1|t|A
89|1|29|37084|48.8|59.0|101|48.9|58.7|NaN|1|838|1|t|A
90|1|30|37084|48.9|58.7|1|57.2|68.1|NaN|1|838|1|t|A
92|1|32|28392|57.2|68.1|101|69.1|57.1|NaN|1|838|1|t|A
92|1|32|28392|57.2|68.1|100|NaN|NaN|NaN|1|838|1|t|A
93|1|33|28392|69.1|57.1|15|100.0|50.3|2.5|1|838|1|f|A
93|1|33|4126|0.8|50.4|10|NaN|NaN|NaN|1|119|1|f|H
98|1|38|4126|0.8|50.4|52|NaN|NaN|NaN|1|119|1|f|H
100|1|40|4126|7.9|51.3|1|27.6|50.1|NaN|1|119|1|f|H
101|1|41|10625|27.6|50.1|100|NaN|NaN|NaN|1|119|1|f|H
102|1|42|10625|27.6|50.1|1|36.5|56.7|NaN|1|119|1|t|H
102|1|42|7313|36.5|56.7|101|35.4|54.5|NaN|1|119|1|t|H
102|1|42|7313|36.5|56.7|100|NaN|NaN|NaN|1|119|1|t|H
103|1|43|7313|35.4|54.5|1|37.4|39.4|NaN|1|119|1|t|H
104|1|44|11527|37.4|39.4|100|NaN|NaN|NaN|1|119|1|t|H
104|1|44|11527|37.4|39.4|101|36.7|40.4|NaN|1|119|1|t|H
105|1|45|11527|36.7|40.4|1|32.1|70.2|NaN|1|119|1|t|H
107|1|47|18102|32.1|70.2|100|NaN|NaN|NaN|1|119|1|t|H
108|1|48|18102|32.1|70.2|1|38.3|95.6|NaN|1|119|1|t|H
108|1|48|40002|38.3|95.6|100|NaN|NaN|NaN|1|119|1|t|H
109|1|49|40002|38.3|95.6|1|25.4|69.3|NaN|1|119|1|t|H
111|1|51|18102|25.4|69.3|100|NaN|NaN|NaN|1|119|1|t|H
112|1|52|18102|25.4|69.3|1|7.2|51.9|NaN|1|119|1|t|H
118|1|58|4126|7.2|51.9|101|15.1|44.3|NaN|1|119|1|t|H
