_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|48863|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|55407|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|43693|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|32281|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|151883|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|77992|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|59351|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|39336|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|40720|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|33668|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|42864|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|A
0|0|0|4126|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|7313|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|107013|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|18102|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|28277|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|17172|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|61170|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|20113|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|59046|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|42493|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|40002|0.0|0.0|102|NaN|NaN|NaN|1|119|1|f|H
0|0|0|7313|0.0|0.0|34|NaN|NaN|NaN|1|119|1|f|H
0|0|0|33668|0.0|0.0|34|NaN|NaN|NaN|1|837|1|f|A
1|0|1|42493|49.9|51.8|1|51.0|50.7|NaN|1|119|1|t|H
1|0|1|59046|51.0|50.7|101|51.4|52.0|NaN|1|119|1|t|H
1|0|1|59046|51.0|50.7|100|NaN|NaN|NaN|1|119|1|t|H
2|0|2|59046|51.4|52.0|1|39.0|51.8|NaN|1|119|1|t|H
3|0|3|7313|39.0|51.8|101|37.5|61.6|NaN|1|119|1|t|H
3|0|3|7313|39.0|51.8|100|NaN|NaN|NaN|1|119|1|t|H
4|0|4|7313|37.5|61.6|1|34.3|83.3|NaN|1|119|1|t|H
5|0|5|18102|34.3|83.3|101|30.5|80.0|NaN|1|119|1|t|H
5|0|5|18102|34.3|83.3|100|NaN|NaN|NaN|1|119|1|t|H
6|0|6|18102|30.5|80.0|1|26.9|62.0|NaN|1|119|1|t|H
7|0|7|28277|26.9|62.0|100|NaN|NaN|NaN|1|119|1|t|H
7|0|7|28277|26.9|62.0|101|27.3|52.8|NaN|1|119|1|t|H
8|0|8|28277|27.3|52.8|1|32.2|83.9|NaN|1|119|1|t|H
9|0|9|18102|32.2|83.9|100|NaN|NaN|NaN|1|119|1|t|H
9|0|9|18102|32.2|83.9|101|55.1|85.3|NaN|1|119|1|t|H
10|0|10|18102|55.1|85.3|1|61.5|96.6|NaN|1|119|1|t|H
