_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|78412|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|80447|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|157996|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|37121|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|78407|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|78409|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|19739|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|119504|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|43274|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|14664|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|57001|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|28301|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|83090|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|19523|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|14516|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|52068|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|28111|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|80226|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|12056|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|158206|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|49657|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|37352|0.0|0.0|102|NaN|NaN|NaN|1|1221|1|f|H
0|0|0|83090|0.0|0.0|34|NaN|NaN|NaN|1|1266|1|f|A
0|0|0|43274|0.0|0.0|34|NaN|NaN|NaN|1|1221|1|f|H
1|0|1|37352|50.0|50.0|1|51.7|47.6|NaN|1|1221|1|t|H
1|0|1|14664|51.7|47.6|100|NaN|NaN|NaN|1|1221|1|t|H
2|0|2|14664|51.7|47.6|1|37.3|38.6|NaN|1|1221|1|t|H
2|0|2|28301|37.3|38.6|100|NaN|NaN|NaN|1|1221|1|t|H
3|0|3|28301|37.3|38.6|1|63.0|64.8|NaN|1|1221|1|t|H
8|0|8|57001|67.0|64.2|4|NaN|NaN|NaN|1|1221|0|f|H
13|0|13|119504|31.5|30.9|1|43.1|9.5|NaN|1|1266|1|f|A
14|0|14|78412|43.1|9.5|100|NaN|NaN|NaN|1|1266|1|f|A
15|0|15|78412|43.1|9.5|1|29.5|10.0|NaN|1|1266|1|t|A
15|0|15|78409|29.5|10.0|100|NaN|NaN|NaN|1|1266|1|t|A
16|0|16|78409|29.5|10.0|1|38.2|24.3|NaN|1|1266|1|t|A
19|0|19|119504|38.2|24.3|100|NaN|NaN|NaN|1|1266|1|t|A
19|0|19|119504|38.2|24.3|101|42.1|30.7|NaN|1|1266|1|t|A
20|0|20|119504|42.1|30.7|1|30.4|52.4|NaN|1|1266|1|t|A
24|0|24|157996|30.4|52.4|100|NaN|NaN|NaN|1|1266|1|t|A
24|0|24|157996|30.4|52.4|101|30.3|54.3|NaN|1|1266|1|t|A
25|0|25|157996|30.3|54.3|1|28.8|71.2|NaN|1|1266|1|t|A
26|0|26|80447|28.8|71.2|100|NaN|NaN|NaN|1|1266|1|t|A
26|0|26|80447|28.8|71.2|101|29.0|72.3|NaN|1|1266|1|t|A
27|0|27|80447|29.0|72.3|1|32.8|41.2|NaN|1|1266|1|t|A
28|0|28|157996|32.8|41.2|101|35.7|34.0|NaN|1|1266|1|t|A
28|0|28|157996|32.8|41.2|100|NaN|NaN|NaN|1|1266|1|t|A
29|0|29|157996|35.7|34.0|1|40.4|4.0|NaN|1|1266|1|t|A
30|0|30|78409|40.4|4.0|100|NaN|NaN|NaN|1|1266|1|t|A
31|0|31|78409|40.4|4.0|1|38.3|15.6|NaN|1|1266|1|t|A
35|0|35|157996|41.7|18.3|1|100.0|79.9|NaN|1|1266|0|t|A
38|0|38|80226|22.0|28.0|1|0.0|23.1|NaN|1|1221|0|t|H
41|0|41|80226|2.7|18.9|6|NaN|NaN|NaN|1|1221|0|f|H
41|0|41|157996|0.0|0.0|43|NaN|NaN|NaN|1|1266|1|f|A
41|0|41|157996|97.3|81.1|6|NaN|NaN|NaN|1|1266|1|f|A
45|0|45|83090|99.5|99.5|1|92.7|88.4|NaN|1|1266|1|f|A
46|0|46|49657|92.7|88.4|101|97.0|85.7|NaN|1|1266|1|f|A
46|0|46|49657|92.7|88.4|100|NaN|NaN|NaN|1|1266|1|f|A
47|0|47|49657|97.0|85.7|1|86.9|82.0|NaN|1|1266|1|t|A
52|0|52|52068|12.2|9.4|7|NaN|NaN|NaN|1|1221|0|f|H
52|0|52|83090|87.8|90.6|50|NaN|NaN|NaN|1|1266|1|f|A
53|0|53|83090|88.0|88.8|61|NaN|NaN|NaN|1|1266|1|f|A
54|0|54|52068|17.2|-1.0|5|NaN|NaN|NaN|1|1221|1|f|H
54|0|54|49657|82.8|101.0|5|NaN|NaN|NaN|1|1266|0|f|A
60|1|0|80226|20.3|0.0|1|32.6|4.0|NaN|1|1221|1|f|H
64|1|4|37352|33.0|3.2|61|NaN|NaN|NaN|1|1221|0|f|H
65|1|5|37352|40.2|-1.2|5|NaN|NaN|NaN|1|1221|0|f|H
65|1|5|49657|59.8|101.2|5|NaN|NaN|NaN|1|1266|1|f|A
69|1|9|78407|48.6|100.0|1|31.7|83.6|NaN|1|1266|1|f|A
