_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|78409|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|78407|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|37121|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|80447|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|35903|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|78412|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|154983|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|19705|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|49657|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|83090|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|19739|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|48844|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|77064|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|50369|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|149491|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|83675|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|155552|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|66733|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|37399|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|57254|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|126437|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|102383|0.0|0.0|102|NaN|NaN|NaN|1|832|1|f|A
0|0|0|77064|0.0|0.0|34|NaN|NaN|NaN|1|832|1|f|A
0|0|0|83090|0.0|0.0|34|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|19705|50.0|50.0|1|51.8|47.8|NaN|1|1266|1|t|H
1|0|1|49657|51.8|47.8|101|54.1|44.6|NaN|1|1266|1|t|H
1|0|1|49657|51.8|47.8|100|NaN|NaN|NaN|1|1266|1|t|H
2|0|2|49657|54.1|44.6|1|39.1|10.4|NaN|1|1266|1|t|H
5|0|5|78409|39.1|10.4|100|NaN|NaN|NaN|1|1266|1|t|H
5|0|5|78409|39.1|10.4|101|38.9|8.6|NaN|1|1266|1|t|H
6|0|6|78409|38.9|8.6|1|29.2|32.5|NaN|1|1266|1|t|H
