_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|78409|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|78407|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|119504|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|80447|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|35903|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|19705|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|37121|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|158206|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|49657|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|78412|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|19739|0.0|0.0|102|NaN|NaN|NaN|1|1266|1|f|H
0|0|0|48332|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|10866|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|40868|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|14503|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|66806|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|39476|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|48353|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|39471|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|47434|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|78937|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|27375|0.0|0.0|102|NaN|NaN|NaN|1|517|1|f|A
0|0|0|10866|0.0|0.0|34|NaN|NaN|NaN|1|517|1|f|A
0|0|0|78412|0.0|0.0|34|NaN|NaN|NaN|1|1266|1|f|H
1|0|1|158206|50.0|50.0|1|50.9|48.8|NaN|1|1266|1|t|H
1|0|1|49657|50.9|48.8|100|NaN|NaN|NaN|1|1266|1|t|H
2|0|2|49657|50.9|48.8|1|43.4|46.6|NaN|1|1266|1|t|H
3|0|3|37121|43.4|46.6|100|NaN|NaN|NaN|1|1266|1|t|H
3|0|3|37121|43.4|46.6|101|43.3|46.6|NaN|1|1266|1|t|H
4|0|4|37121|43.3|46.6|1|34.3|15.2|NaN|1|1266|1|t|H
5|0|5|78409|34.3|15.2|100|NaN|NaN|NaN|1|1266|1|t|H
