_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|43106|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|73698|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|49656|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|6685|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|33360|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|102578|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|119772|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|40275|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|53515|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|37064|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|33376|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|H
0|0|0|10995|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|42564|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|28146|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|21091|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|52775|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|40560|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|73678|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|27671|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|8438|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|56069|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|184719|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|A
0|0|0|42564|0.0|0.0|34|NaN|NaN|NaN|1|494|1|f|A
0|0|0|37064|0.0|0.0|34|NaN|NaN|NaN|1|659|1|f|H
1|0|1|40275|49.6|52.6|1|51.1|51.3|NaN|1|659|1|t|H
1|0|1|53515|51.1|51.3|100|NaN|NaN|NaN|1|659|1|t|H
1|0|1|53515|51.1|51.3|101|51.2|49.3|NaN|1|659|1|t|H
2|0|2|53515|51.2|49.3|1|43.3|27.4|NaN|1|659|1|t|H
3|0|3|43106|43.3|27.4|100|NaN|NaN|NaN|1|659|1|t|H
3|0|3|43106|43.3|27.4|101|46.9|11.4|NaN|1|659|1|t|H
4|0|4|43106|46.9|11.4|1|33.0|20.9|NaN|1|659|1|t|H
5|0|5|119772|33.0|20.9|100|NaN|NaN|NaN|1|659|1|t|H
5|0|5|119772|33.0|20.9|101|36.5|25.9|NaN|1|659|1|t|H
6|0|6|119772|36.5|25.9|1|41.4|69.4|NaN|1|659|1|t|H
8|0|8|49656|41.4|69.4|100|NaN|NaN|NaN|1|659|1|t|H
8|0|8|49656|41.4|69.4|101|40.9|68.6|NaN|1|659|1|t|H
9|0|9|49656|40.9|68.6|1|38.7|48.2|NaN|1|659|1|t|H
18|0|18|33360|57.4|25.2|1|78.1|37.3|NaN|1|659|0|t|H
22|0|22|40560|20.8|59.6|12|NaN|NaN|NaN|1|494|1|f|A
27|0|27|27671|30.4|60.6|49|NaN|NaN|NaN|1|494|1|f|A
27|0|27|27671|30.2|61.8|1|33.7|57.9|NaN|1|494|1|t|A
27|0|27|21091|33.7|57.9|100|NaN|NaN|NaN|1|494|1|t|A
28|0|28|21091|33.7|57.9|1|36.9|68.5|NaN|1|494|1|t|A
31|0|31|56069|36.9|68.5|101|36.9|73.9|NaN|1|494|1|t|A
31|0|31|56069|36.9|68.5|100|NaN|NaN|NaN|1|494|1|t|A
32|0|32|56069|36.9|73.9|1|24.8|91.4|NaN|1|494|1|t|A
34|0|34|28146|28.1|92.9|1|55.5|89.1|NaN|1|494|0|t|A
36|0|36|6685|43.6|11.6|8|NaN|NaN|NaN|1|659|1|f|H
37|0|37|28146|62.8|101.3|5|NaN|NaN|NaN|1|494|1|f|A
37|0|37|6685|37.2|-1.3|5|NaN|NaN|NaN|1|659|0|f|H
