_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|15312|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|55661|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|39462|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|45154|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|85352|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|41733|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15076|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|4719|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|8533|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|H
0|0|0|45154|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|A
0|0|0|40232|50.0|50.0|1|51.5|47.0|NaN|1|632|1|t|A
