_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|52940|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|4719|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|41733|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15076|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|39187|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|33148|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|105835|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|122779|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37269|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|48853|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|100981|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|118749|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|83725|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|83531|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37265|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|48852|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|105835|0.0|0.0|34|NaN|NaN|NaN|1|831|1|f|A
0|0|0|39187|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|H
1|0|1|105835|49.9|50.7|1|52.4|47.9|NaN|1|831|1|t|A
2|0|2|37265|52.4|47.9|100|NaN|NaN|NaN|1|831|1|t|A
3|0|3|37265|52.4|47.9|1|36.1|37.7|NaN|1|831|1|t|A
3|0|3|118749|36.1|37.7|101|36.2|36.4|NaN|1|831|1|t|A
3|0|3|118749|36.1|37.7|100|NaN|NaN|NaN|1|831|1|t|A
4|0|4|118749|36.2|36.4|1|34.9|11.3|NaN|1|831|1|t|A
6|0|6|100981|34.9|11.3|101|34.8|13.9|NaN|1|831|1|t|A
6|0|6|100981|34.9|11.3|100|NaN|NaN|NaN|1|831|1|t|A
7|0|7|100981|34.8|13.9|1|27.9|48.3|NaN|1|831|1|t|A
10|0|10|48853|27.9|48.3|101|31.9|50.1|NaN|1|831|1|t|A
10|0|10|48853|27.9|48.3|100|NaN|NaN|NaN|1|831|1|t|A
11|0|11|48853|31.9|50.1|1|29.2|92.0|NaN|1|831|1|t|A
14|0|14|37269|29.2|92.0|101|27.8|76.3|NaN|1|831|1|t|A
14|0|14|37269|29.2|92.0|100|NaN|NaN|NaN|1|831|1|t|A
15|0|15|37269|27.8|76.3|1|30.9|51.0|NaN|1|831|1|t|A
19|0|19|48853|30.9|51.0|100|NaN|NaN|NaN|1|831|1|t|A
19|0|19|48853|30.9|51.0|101|36.8|34.5|NaN|1|831|1|t|A
20|0|20|48853|36.8|34.5|1|44.6|6.7|NaN|1|831|1|t|A
24|0|24|100981|46.6|6.7|1|90.3|45.0|NaN|1|831|0|t|A
26|0|26|72162|9.6|54.4|52|NaN|NaN|NaN|1|366|1|f|H
30|0|30|72162|10.2|52.8|1|21.1|85.0|NaN|1|366|1|f|H
31|0|31|58877|21.1|85.0|100|NaN|NaN|NaN|1|366|1|f|H
31|0|31|58877|21.1|85.0|101|21.6|85.8|NaN|1|366|1|f|H
32|0|32|58877|21.6|85.8|1|15.6|61.4|NaN|1|366|1|t|H
36|0|36|21095|15.6|61.4|101|22.5|45.3|NaN|1|366|1|t|H
36|0|36|21095|15.6|61.4|100|NaN|NaN|NaN|1|366|1|t|H
37|0|37|21095|22.5|45.3|1|20.3|15.1|NaN|1|366|1|t|H
38|0|38|78140|20.3|15.1|100|NaN|NaN|NaN|1|366|1|t|H
38|0|38|78140|20.3|15.1|101|20.2|13.7|NaN|1|366|1|t|H
39|0|39|78140|20.2|13.7|1|52.5|4.0|NaN|1|366|1|t|H
42|0|42|8533|52.5|4.0|1|59.5|9.0|NaN|1|366|0|t|H
44|0|44|37269|39.9|75.6|49|NaN|NaN|NaN|1|831|1|f|A
44|0|44|37269|39.9|75.6|1|41.1|67.2|NaN|1|831|1|t|A
48|0|48|118749|47.2|55.6|50|NaN|NaN|NaN|1|831|1|f|A
48|0|48|39187|52.8|44.4|7|NaN|NaN|NaN|1|366|1|f|H
49|0|49|39187|52.7|54.2|49|NaN|NaN|NaN|1|366|1|f|H
50|0|50|39187|52.7|54.2|1|54.9|83.3|NaN|1|366|1|t|H
51|0|51|15403|54.9|83.3|101|55.6|84.9|NaN|1|366|1|t|H
51|0|51|15403|54.9|83.3|100|NaN|NaN|NaN|1|366|1|t|H
52|0|52|15403|55.6|84.9|1|62.2|97.2|NaN|1|366|1|t|H
53|0|53|4719|62.2|97.2|100|NaN|NaN|NaN|1|366|1|t|H
54|0|54|4719|62.2|97.2|1|51.7|89.0|NaN|1|366|1|t|H
56|0|56|15076|51.7|89.0|100|NaN|NaN|NaN|1|366|1|t|H
56|0|56|15076|51.7|89.0|101|48.3|90.4|NaN|1|366|1|t|H
57|0|57|15076|48.3|90.4|1|20.4|88.2|NaN|1|366|1|t|H
62|1|2|58877|20.4|88.2|101|21.7|83.7|NaN|1|366|1|t|H
62|1|2|58877|20.4|88.2|100|NaN|NaN|NaN|1|366|1|t|H
63|1|3|58877|21.7|83.7|1|5.4|60.6|NaN|1|366|1|t|H
67|1|7|72162|5.2|53.7|1|26.4|0.0|NaN|1|366|0|t|H
72|1|12|83531|70.3|101.4|5|NaN|NaN|NaN|1|831|1|f|A
72|1|12|72162|29.7|-1.4|5|NaN|NaN|NaN|1|366|0|f|H
78|1|18|122779|64.5|100.0|1|67.9|80.9|NaN|1|831|1|f|A
83|1|23|37265|68.6|96.9|1|77.1|98.2|NaN|1|831|0|t|A
84|1|24|52940|21.5|2.4|49|NaN|NaN|NaN|1|366|1|f|H
84|1|24|52940|21.5|2.4|1|37.0|13.1|NaN|1|366|0|t|H
