_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|77760|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|34355|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|34352|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|105021|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|99123|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|99127|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|102683|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|37084|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|61960|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|28392|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|28411|0.0|0.0|102|NaN|NaN|NaN|1|838|1|f|A
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|106824|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|85352|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|41733|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|4719|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|106824|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|H
0|0|0|28392|0.0|0.0|34|NaN|NaN|NaN|1|838|1|f|A
0|0|0|37084|50.0|50.0|1|52.0|51.8|NaN|1|838|1|t|A
0|0|0|99127|52.0|51.8|100|NaN|NaN|NaN|1|838|1|t|A
1|0|1|99127|52.0|51.8|1|29.3|43.7|NaN|1|838|1|t|A
3|0|3|99123|29.3|43.7|100|NaN|NaN|NaN|1|838|1|t|A
3|0|3|99123|29.3|43.7|101|29.5|43.7|NaN|1|838|1|t|A
4|0|4|99123|29.5|43.7|1|61.5|62.9|NaN|1|838|1|t|A
7|0|7|99127|61.5|62.9|1|68.5|62.6|NaN|1|838|0|t|A
8|0|8|41733|35.1|37.9|12|NaN|NaN|NaN|1|366|1|f|H
10|0|10|99127|0.0|0.0|43|NaN|NaN|NaN|1|838|1|f|A
10|0|10|99127|58.6|63.7|61|NaN|NaN|NaN|1|838|0|f|A
11|0|11|8533|39.5|43.9|49|NaN|NaN|NaN|1|366|1|f|H
11|0|11|8533|39.5|43.9|1|51.9|61.4|NaN|1|366|1|t|H
13|0|13|37084|0.0|0.0|43|40.6|40.3|NaN|1|838|1|f|A
14|0|14|15403|60.5|72.1|1|83.5|75.9|NaN|1|366|0|t|H
19|0|19|34352|18.4|51.2|12|NaN|NaN|NaN|1|838|1|f|A
21|0|21|58877|56.1|89.7|49|NaN|NaN|NaN|1|366|1|f|H
21|0|21|58877|56.1|89.7|1|69.9|92.3|NaN|1|366|1|t|H
23|0|23|15403|69.9|92.3|100|NaN|NaN|NaN|1|366|1|t|H
23|0|23|15403|69.9|92.3|101|68.2|89.3|NaN|1|366|1|t|H
24|0|24|15403|68.2|89.3|1|55.7|97.2|NaN|1|366|1|t|H
25|0|25|58877|55.7|97.2|100|NaN|NaN|NaN|1|366|1|t|H
