_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|39077|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|4719|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|41733|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15076|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|H
0|0|0|33376|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|37064|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|73698|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|49656|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|6685|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|33360|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|102578|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|20322|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|40275|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|53515|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|43106|0.0|0.0|102|NaN|NaN|NaN|1|659|1|f|A
0|0|0|37064|0.0|0.0|34|NaN|NaN|NaN|1|659|1|f|A
0|0|0|8533|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|H
0|0|0|40275|49.7|50.7|1|51.6|49.7|NaN|1|659|1|t|A
0|0|0|53515|51.6|49.7|101|51.1|49.1|NaN|1|659|1|t|A
0|0|0|53515|51.6|49.7|100|NaN|NaN|NaN|1|659|1|t|A
1|0|1|53515|51.1|49.1|1|43.2|49.9|NaN|1|659|1|t|A
2|0|2|20322|43.2|49.9|101|43.3|48.7|NaN|1|659|1|t|A
2|0|2|20322|43.2|49.9|100|NaN|NaN|NaN|1|659|1|t|A
3|0|3|20322|43.3|48.7|1|31.4|30.1|NaN|1|659|1|t|A
5|0|5|33360|31.4|30.1|101|36.6|33.6|NaN|1|659|1|t|A
5|0|5|33360|31.4|30.1|100|NaN|NaN|NaN|1|659|1|t|A
6|0|6|33360|36.6|33.6|1|27.3|48.7|NaN|1|659|1|t|A
12|0|12|6685|34.7|40.1|1|76.0|0.0|NaN|1|659|0|t|A
16|0|16|4719|23.4|101.0|5|NaN|NaN|NaN|1|366|1|f|H
16|0|16|6685|76.6|-1.0|5|NaN|NaN|NaN|1|659|0|f|A
23|0|23|4719|27.0|100.0|1|41.5|82.1|NaN|1|366|1|f|H
26|0|26|15076|42.2|80.6|1|59.0|64.9|NaN|1|366|0|t|H
29|0|29|49656|39.2|40.4|1|63.7|0.0|NaN|1|659|0|t|A
31|0|31|15076|37.9|101.4|5|NaN|NaN|NaN|1|366|1|f|H
31|0|31|49656|62.1|-1.4|5|NaN|NaN|NaN|1|659|0|f|A
41|0|41|4719|46.6|100.0|1|57.0|88.4|NaN|1|366|0|f|H
44|0|44|20322|38.9|18.4|1|54.8|19.8|NaN|1|659|0|t|A
45|0|45|21095|37.6|70.2|44|NaN|NaN|NaN|1|366|1|f|H
45|0|45|21095|39.5|74.7|1|44.4|66.4|NaN|1|366|1|t|H
45|0|45|53515|62.4|29.8|44|NaN|NaN|NaN|1|659|0|f|A
49|0|49|41733|44.4|66.4|1|53.7|46.9|NaN|1|366|0|t|H
49|0|49|73698|48.7|53.0|1|68.4|58.4|NaN|1|659|0|t|A
51|0|51|78140|39.9|39.2|49|NaN|NaN|NaN|1|366|1|f|H
51|0|51|78140|39.9|39.2|1|55.6|42.7|NaN|1|366|1|t|H
53|0|53|12297|55.6|42.7|101|53.4|45.7|NaN|1|366|1|t|H
53|0|53|12297|55.6|42.7|100|NaN|NaN|NaN|1|366|1|t|H
54|0|54|12297|53.4|45.7|1|46.0|91.5|NaN|1|366|1|t|H
59|0|59|4719|46.0|91.5|101|59.2|60.6|NaN|1|366|1|t|H
59|0|59|4719|46.0|91.5|100|NaN|NaN|NaN|1|366|1|t|H
60|1|0|4719|59.2|60.6|1|63.7|5.6|NaN|1|366|1|t|H
62|1|2|39077|63.7|5.6|101|61.8|7.6|NaN|1|366|1|t|H
62|1|2|39077|63.7|5.6|100|NaN|NaN|NaN|1|366|1|t|H
63|1|3|39077|61.8|7.6|1|52.7|41.5|NaN|1|366|1|t|H
65|1|5|41733|52.7|41.5|100|NaN|NaN|NaN|1|366|1|t|H
66|1|6|41733|52.7|41.5|1|43.3|83.3|NaN|1|366|1|t|H
68|1|8|58877|43.3|83.3|100|NaN|NaN|NaN|1|366|1|t|H
68|1|8|58877|43.3|83.3|101|43.1|85.4|NaN|1|366|1|t|H
69|1|9|58877|43.1|85.4|1|53.2|96.2|NaN|1|366|1|t|H
72|1|12|4719|53.2|96.2|100|NaN|NaN|NaN|1|366|1|t|H
72|1|12|4719|53.2|96.2|101|52.8|93.8|NaN|1|366|1|t|H
73|1|13|4719|52.8|93.8|1|46.0|66.7|NaN|1|366|1|t|H
74|1|14|15076|46.0|66.7|101|44.3|66.0|NaN|1|366|1|t|H
74|1|14|15076|46.0|66.7|100|NaN|NaN|NaN|1|366|1|t|H
75|1|15|15076|44.3|66.0|1|39.2|28.0|NaN|1|366|1|t|H
77|1|17|78140|39.2|28.0|100|NaN|NaN|NaN|1|366|1|t|H
78|1|18|78140|39.2|28.0|1|47.3|3.7|NaN|1|366|1|t|H
80|1|20|39077|47.3|3.7|101|45.8|5.3|NaN|1|366|1|t|H
80|1|20|39077|47.3|3.7|100|NaN|NaN|NaN|1|366|1|t|H
81|1|21|39077|45.8|5.3|1|35.1|20.6|NaN|1|366|1|t|H
85|1|25|78140|35.2|26.2|1|49.4|100.0|NaN|1|366|0|t|H
92|1|32|33360|44.2|-1.5|5|NaN|NaN|NaN|1|659|1|f|A
92|1|32|4719|55.8|101.5|5|NaN|NaN|NaN|1|366|0|f|H
107|1|47|43106|52.1|0.0|1|65.5|31.9|NaN|1|659|1|f|A
111|1|51|102578|65.5|31.9|101|61.6|49.1|NaN|1|659|1|f|A
111|1|51|102578|65.5|31.9|100|NaN|NaN|NaN|1|659|1|f|A
112|1|52|102578|61.6|49.1|1|64.7|92.9|NaN|1|659|1|t|A
118|1|58|73698|64.7|92.9|101|70.6|77.0|NaN|1|659|1|t|A
118|1|58|73698|64.7|92.9|100|NaN|NaN|NaN|1|659|1|t|A
119|1|59|73698|70.6|77.0|13|100.0|45.3|73.6|1|659|1|f|A
121|2|1|73698|101.0|44.4|5|NaN|NaN|NaN|1|659|0|f|A
121|2|1|39077|-1.0|55.6|5|NaN|NaN|NaN|1|366|1|f|H
141|2|21|72162|5.2|55.4|1|45.9|94.1|NaN|1|366|1|f|H
144|2|24|4719|45.9|94.1|100|NaN|NaN|NaN|1|366|1|f|H
145|2|25|4719|45.9|94.1|1|53.0|80.3|NaN|1|366|1|t|H
146|2|26|15076|53.0|80.3|100|NaN|NaN|NaN|1|366|1|t|H
146|2|26|15076|53.0|80.3|101|54.1|77.2|NaN|1|366|1|t|H
147|2|27|15076|54.1|77.2|1|69.1|62.7|NaN|1|366|1|t|H
149|2|29|12297|68.8|61.7|1|84.1|57.3|NaN|1|366|0|t|H
151|2|31|49656|15.3|39.7|1|4.3|46.0|NaN|1|659|1|t|A
153|2|33|33376|4.3|46.0|1|44.9|36.6|NaN|1|659|0|t|A
155|2|35|53515|46.0|39.4|44|NaN|NaN|NaN|1|659|0|f|A
155|2|35|21095|54.0|60.6|44|NaN|NaN|NaN|1|366|1|f|H
155|2|35|21095|52.9|57.8|1|53.9|96.5|NaN|1|366|1|t|H
159|2|39|4719|53.9|96.5|100|NaN|NaN|NaN|1|366|1|t|H
159|2|39|4719|53.9|96.5|101|49.9|95.9|NaN|1|366|1|t|H
160|2|40|4719|49.9|95.9|1|49.3|89.7|NaN|1|366|1|t|H
161|2|41|15076|49.3|89.7|100|NaN|NaN|NaN|1|366|1|t|H
161|2|41|15076|49.3|89.7|101|48.7|86.2|NaN|1|366|1|t|H
162|2|42|15076|48.7|86.2|1|39.2|33.4|NaN|1|366|1|t|H
167|2|47|78140|39.2|33.4|100|NaN|NaN|NaN|1|366|1|t|H
167|2|47|78140|39.2|33.4|101|43.8|28.0|NaN|1|366|1|t|H
168|2|48|78140|43.8|28.0|1|54.9|36.9|NaN|1|366|1|t|H
168|2|48|41733|54.9|36.9|101|58.9|39.2|NaN|1|366|1|t|H
168|2|48|41733|54.9|36.9|100|NaN|NaN|NaN|1|366|1|t|H
169|2|49|41733|58.9|39.2|1|52.3|53.1|NaN|1|366|1|t|H
171|2|51|15076|52.3|53.1|100|NaN|NaN|NaN|1|366|1|t|H
171|2|51|15076|52.3|53.1|101|51.9|50.9|NaN|1|366|1|t|H
172|2|52|15076|51.9|50.9|1|36.0|49.0|NaN|1|366|1|t|H
173|2|53|21095|36.0|49.0|100|NaN|NaN|NaN|1|366|1|t|H
173|2|53|21095|36.0|49.0|101|37.2|51.5|NaN|1|366|1|t|H
174|2|54|21095|37.2|51.5|1|53.9|81.1|NaN|1|366|1|t|H
178|2|58|15403|53.9|81.1|100|NaN|NaN|NaN|1|366|1|t|H
178|2|58|15403|53.9|81.1|101|57.1|91.8|NaN|1|366|1|t|H
179|2|59|15403|57.1|91.8|1|60.9|97.5|NaN|1|366|1|t|H
180|3|0|4719|60.9|97.5|100|NaN|NaN|NaN|1|366|1|t|H
181|3|1|4719|60.9|97.5|1|66.6|83.3|NaN|1|366|1|t|H
181|3|1|8533|66.6|83.3|100|NaN|NaN|NaN|1|366|1|t|H
182|3|2|8533|66.6|83.3|1|75.4|97.2|NaN|1|366|1|t|H
185|3|5|15403|77.4|95.9|1|100.0|30.4|NaN|1|366|0|f|H
187|3|7|102578|-0.9|72.0|5|NaN|NaN|NaN|1|659|1|f|A
187|3|7|15403|100.9|28.0|5|NaN|NaN|NaN|1|366|0|f|H
203|3|23|33376|5.1|58.5|1|17.3|53.6|NaN|1|659|1|f|A
207|3|27|6685|17.3|53.6|101|25.0|49.7|NaN|1|659|1|f|A
207|3|27|6685|17.3|53.6|100|NaN|NaN|NaN|1|659|1|f|A
208|3|28|6685|25.0|49.7|1|31.8|5.2|NaN|1|659|1|t|A
212|3|32|33360|31.8|5.2|100|NaN|NaN|NaN|1|659|1|t|A
212|3|32|33360|31.8|5.2|101|37.5|5.3|NaN|1|659|1|t|A
213|3|33|33360|37.5|5.3|1|39.6|35.8|NaN|1|659|1|t|A
217|3|37|6685|39.6|35.8|100|NaN|NaN|NaN|1|659|1|t|A
217|3|37|6685|39.6|35.8|101|48.1|42.2|NaN|1|659|1|t|A
218|3|38|6685|48.1|42.2|1|59.1|63.6|NaN|1|659|1|t|A
219|3|39|37064|59.1|63.6|100|NaN|NaN|NaN|1|659|1|t|A
219|3|39|37064|59.1|63.6|101|59.0|64.2|NaN|1|659|1|t|A
220|3|40|37064|59.0|64.2|1|43.2|79.4|NaN|1|659|1|t|A
222|3|42|49656|43.2|79.4|101|42.2|79.6|NaN|1|659|1|t|A
222|3|42|49656|43.2|79.4|100|NaN|NaN|NaN|1|659|1|t|A
223|3|43|49656|42.2|79.6|1|48.0|93.6|NaN|1|659|1|t|A
224|3|44|73698|48.0|93.6|100|NaN|NaN|NaN|1|659|1|t|A
225|3|45|73698|48.0|93.6|1|64.6|65.2|NaN|1|659|1|t|A
227|3|47|53515|63.8|66.1|1|68.7|79.1|NaN|1|659|0|t|A
228|3|48|39077|34.5|15.3|12|NaN|NaN|NaN|1|366|1|f|H
230|3|50|20322|56.8|63.7|1|41.7|40.6|NaN|1|659|1|t|A
234|3|54|33360|41.7|40.6|101|47.9|27.4|NaN|1|659|1|t|A
234|3|54|33360|41.7|40.6|100|NaN|NaN|NaN|1|659|1|t|A
235|3|55|33360|47.9|27.4|1|61.9|2.9|NaN|1|659|1|t|A
