_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|57145|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|19975|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|37572|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|46497|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|13262|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|90714|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|149879|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|28495|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|10594|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|112991|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|26900|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|116120|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|85388|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|95201|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|49507|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|90714|0.0|0.0|34|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|46497|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|A
0|0|0|37572|50.0|50.0|1|52.0|47.0|NaN|1|632|1|t|A
