_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|66841|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|52049|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|87447|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|70496|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|20301|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|69887|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|28188|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|42544|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|46696|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|16050|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|40349|0.0|0.0|102|NaN|NaN|NaN|1|537|1|f|A
0|0|0|13262|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|90714|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|149879|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|28495|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|10594|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|112991|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|26900|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|116120|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|85388|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|95201|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|49507|0.0|0.0|102|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|90714|0.0|0.0|34|NaN|NaN|NaN|1|1216|1|f|H
0|0|0|16050|0.0|0.0|34|NaN|NaN|NaN|1|537|1|f|A
1|0|1|85388|50.0|50.0|1|50.6|49.0|NaN|1|1216|1|t|H
1|0|1|95201|50.6|49.0|100|NaN|NaN|NaN|1|1216|1|t|H
2|0|2|95201|50.6|49.0|1|36.0|51.9|NaN|1|1216|1|t|H
2|0|2|28495|36.0|51.9|101|35.6|49.9|NaN|1|1216|1|t|H
2|0|2|28495|36.0|51.9|100|NaN|NaN|NaN|1|1216|1|t|H
3|0|3|28495|35.6|49.9|1|30.1|13.1|NaN|1|1216|1|t|H
5|0|5|49507|30.1|13.1|101|30.3|10.4|NaN|1|1216|1|t|H
5|0|5|49507|30.1|13.1|100|NaN|NaN|NaN|1|1216|1|t|H
6|0|6|49507|30.3|10.4|1|45.0|24.7|NaN|1|1216|1|t|H
9|0|9|116120|45.0|24.7|101|45.6|37.3|NaN|1|1216|1|t|H
9|0|9|116120|45.0|24.7|100|NaN|NaN|NaN|1|1216|1|t|H
10|0|10|116120|45.6|37.3|1|43.9|90.9|NaN|1|1216|1|t|H
13|0|13|149879|43.9|90.9|1|78.6|74.5|NaN|1|1216|0|t|H
16|0|16|70496|19.3|29.4|12|NaN|NaN|NaN|1|537|1|f|A
18|0|18|28188|30.3|45.8|49|NaN|NaN|NaN|1|537|1|f|A
19|0|19|28188|31.8|49.7|1|37.0|57.6|NaN|1|537|1|t|A
20|0|20|16050|37.0|57.6|101|37.0|59.6|NaN|1|537|1|t|A
20|0|20|16050|37.0|57.6|100|NaN|NaN|NaN|1|537|1|t|A
21|0|21|16050|37.0|59.6|1|23.7|63.9|NaN|1|537|1|t|A
22|0|22|20301|23.7|63.9|1|20.7|72.6|NaN|1|537|0|t|A
25|0|25|26900|76.9|20.7|49|NaN|NaN|NaN|1|1216|1|f|H
27|0|27|26900|77.3|15.9|1|73.5|5.3|NaN|1|1216|1|t|H
30|0|30|49507|73.5|5.3|100|NaN|NaN|NaN|1|1216|1|t|H
30|0|30|49507|73.5|5.3|101|73.7|8.2|NaN|1|1216|1|t|H
31|0|31|49507|73.7|8.2|1|67.0|22.5|NaN|1|1216|1|t|H
32|0|32|116120|67.0|23.3|1|81.2|46.9|NaN|1|1216|0|f|H
33|0|33|28188|22.5|64.8|1|40.9|40.9|NaN|1|537|1|t|A
34|0|34|69887|40.9|40.9|100|NaN|NaN|NaN|1|537|1|t|A
35|0|35|69887|40.9|40.9|1|46.9|54.6|NaN|1|537|1|t|A
37|0|37|46696|47.0|53.4|49|NaN|NaN|NaN|1|537|1|f|A
39|0|39|46696|47.1|56.0|1|45.9|66.7|NaN|1|537|1|t|A
40|0|40|28188|45.4|70.5|1|46.1|72.0|NaN|1|537|0|t|A
42|0|42|95201|53.8|28.6|74|NaN|NaN|NaN|1|1216|1|f|H
43|0|43|28188|45.4|70.8|7|NaN|NaN|NaN|1|537|1|f|A
43|0|43|95201|54.6|29.2|50|NaN|NaN|NaN|1|1216|1|f|H
44|0|44|28188|46.7|71.2|49|NaN|NaN|NaN|1|537|1|f|A
45|0|45|28188|47.8|73.0|1|59.0|59.7|NaN|1|537|1|t|A
48|0|48|42544|59.0|59.7|101|69.8|34.5|NaN|1|537|1|t|A
48|0|48|42544|59.0|59.7|100|NaN|NaN|NaN|1|537|1|t|A
49|0|49|42544|69.8|34.5|1|78.5|20.6|NaN|1|537|1|t|A
52|0|52|90714|18.3|79.8|45|NaN|NaN|NaN|1|1216|0|f|H
52|0|52|66841|81.7|20.2|3|NaN|NaN|NaN|1|537|1|f|A
53|0|53|66841|97.0|17.4|1|91.9|44.5|NaN|1|537|0|f|A
56|0|56|112991|7.9|58.7|12|NaN|NaN|NaN|1|1216|1|f|H
58|0|58|87447|69.8|44.0|1|77.1|42.8|NaN|1|537|0|t|A
59|0|59|116120|23.8|50.0|1|36.1|52.1|NaN|1|1216|0|t|H
61|1|1|87447|68.9|47.8|49|NaN|NaN|NaN|1|537|1|f|A
61|1|1|87447|68.9|48.7|1|70.1|56.9|NaN|1|537|1|t|A
62|1|2|28188|71.4|60.9|1|76.4|73.3|NaN|1|537|0|t|A
64|1|4|49507|23.2|24.1|8|NaN|NaN|NaN|1|1216|1|f|H
64|1|4|49507|24.0|22.4|49|NaN|NaN|NaN|1|1216|1|f|H
65|1|5|49507|26.2|20.6|3|NaN|NaN|NaN|1|1216|1|f|H
65|1|5|16050|73.8|79.4|45|NaN|NaN|NaN|1|537|0|f|A
68|1|8|49507|30.9|11.3|1|68.3|0.0|NaN|1|1216|0|t|H
69|1|9|49507|66.1|-1.4|5|NaN|NaN|NaN|1|1216|0|f|H
69|1|9|16050|33.9|101.4|5|NaN|NaN|NaN|1|537|1|f|A
81|1|21|52049|34.9|100.0|1|35.4|88.1|NaN|1|537|1|f|A
86|1|26|87447|35.4|88.1|100|NaN|NaN|NaN|1|537|1|f|A
86|1|26|87447|35.4|88.1|101|34.2|68.5|NaN|1|537|1|f|A
87|1|27|87447|34.2|68.5|1|34.5|29.8|NaN|1|537|1|t|A
90|1|30|28188|34.5|29.8|100|NaN|NaN|NaN|1|537|1|t|A
90|1|30|28188|34.5|29.8|101|36.5|22.8|NaN|1|537|1|t|A
91|1|31|28188|36.5|22.8|1|45.7|2.8|NaN|1|537|1|t|A
92|1|32|66841|45.7|2.8|100|NaN|NaN|NaN|1|537|1|t|A
93|1|33|66841|45.7|2.8|1|38.9|15.6|NaN|1|537|1|t|A
95|1|35|28188|38.9|15.6|100|NaN|NaN|NaN|1|537|1|t|A
