_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|49483|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|49485|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|77831|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|68791|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|66905|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|104953|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|60800|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|33223|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|82184|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|45124|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|49478|0.0|0.0|102|NaN|NaN|NaN|1|1219|1|f|A
0|0|0|44743|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|14937|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|19620|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|96122|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|18522|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|27256|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|19624|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|39297|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|52635|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|38530|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|26904|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|H
0|0|0|14937|0.0|0.0|34|NaN|NaN|NaN|1|359|1|f|H
0|0|0|45124|0.0|0.0|34|NaN|NaN|NaN|1|1219|1|f|A
1|0|1|52635|50.0|50.0|1|52.5|52.3|NaN|1|359|1|t|H
1|0|1|19624|52.5|52.3|100|NaN|NaN|NaN|1|359|1|t|H
2|0|2|19624|52.5|52.3|1|38.9|42.3|NaN|1|359|1|t|H
6|0|6|49483|25.6|11.8|1|38.7|17.6|NaN|1|1219|1|t|A
6|0|6|96122|38.9|42.3|1|78.0|91.8|NaN|1|359|0|t|H
7|0|7|104953|39.1|17.8|1|60.6|21.3|NaN|1|1219|0|t|A
9|0|9|27256|38.4|82.2|1|44.4|65.8|NaN|1|359|1|t|H
9|0|9|96122|44.4|65.8|100|NaN|NaN|NaN|1|359|1|t|H
10|0|10|96122|44.4|65.8|1|25.4|61.2|NaN|1|359|1|t|H
16|0|16|18522|25.4|61.2|101|31.6|38.3|NaN|1|359|1|t|H
16|0|16|18522|25.4|61.2|100|NaN|NaN|NaN|1|359|1|t|H
17|0|17|18522|31.6|38.3|1|44.5|25.9|NaN|1|359|1|t|H
18|0|18|19624|44.5|25.9|101|44.4|28.3|NaN|1|359|1|t|H
18|0|18|19624|44.5|25.9|100|NaN|NaN|NaN|1|359|1|t|H
19|0|19|19624|44.4|28.3|1|33.0|22.1|NaN|1|359|1|t|H
22|0|22|18522|33.1|22.3|1|100.0|84.2|NaN|1|359|0|t|H
25|0|25|49478|0.0|0.0|59|NaN|NaN|NaN|1|1219|1|f|A
26|0|26|49478|0.0|0.0|56|NaN|NaN|NaN|1|1219|1|f|A
27|0|27|49478|-1.3|15.6|5|NaN|NaN|NaN|1|1219|1|f|A
27|0|27|18522|101.3|84.4|5|NaN|NaN|NaN|1|359|0|f|H
49|0|49|49478|4.0|40.2|1|61.1|36.9|NaN|1|1219|1|f|A
52|0|52|33223|60.5|32.6|44|NaN|NaN|NaN|1|1219|1|f|A
52|0|52|27256|40.1|71.8|44|NaN|NaN|NaN|1|359|0|f|H
53|0|53|33223|61.1|36.9|1|69.8|29.0|NaN|1|1219|0|t|A
55|0|55|19620|29.6|78.3|49|NaN|NaN|NaN|1|359|1|f|H
55|0|55|19620|29.6|78.3|1|4.3|52.8|NaN|1|359|1|t|H
59|0|59|44743|4.3|52.8|100|NaN|NaN|NaN|1|359|1|t|H
59|0|59|44743|4.3|52.8|101|4.6|48.3|NaN|1|359|1|t|H
60|1|0|44743|4.6|48.3|1|58.4|19.4|NaN|1|359|1|t|H
63|1|3|49485|42.9|80.6|44|NaN|NaN|NaN|1|1219|0|f|A
63|1|3|38530|57.1|19.4|44|NaN|NaN|NaN|1|359|1|f|H
65|1|5|38530|57.5|19.6|1|60.0|37.2|NaN|1|359|0|t|H
66|1|6|77831|38.9|63.9|49|NaN|NaN|NaN|1|1219|1|f|A
67|1|7|77831|38.4|62.0|1|33.6|49.1|NaN|1|1219|1|t|A
68|1|8|68791|33.6|49.1|101|33.7|46.0|NaN|1|1219|1|t|A
68|1|8|68791|33.6|49.1|100|NaN|NaN|NaN|1|1219|1|t|A
69|1|9|68791|33.7|46.0|1|71.0|3.6|NaN|1|1219|1|t|A
71|1|11|104953|71.0|3.7|1|79.6|20.4|NaN|1|1219|0|t|A
74|1|14|27256|18.7|82.6|49|NaN|NaN|NaN|1|359|1|f|H
74|1|14|27256|18.7|82.6|1|20.7|92.3|NaN|1|359|1|t|H
74|1|14|19620|20.7|92.3|100|NaN|NaN|NaN|1|359|1|t|H
75|1|15|19620|20.7|92.3|1|33.9|84.5|NaN|1|359|1|t|H
77|1|17|39297|33.9|84.5|100|NaN|NaN|NaN|1|359|1|t|H
78|1|18|39297|33.9|84.5|1|14.9|91.5|NaN|1|359|1|t|H
79|1|19|27256|14.9|91.5|100|NaN|NaN|NaN|1|359|1|t|H
80|1|20|27256|14.9|91.5|1|5.3|69.0|NaN|1|359|1|t|H
81|1|21|44743|5.3|69.0|100|NaN|NaN|NaN|1|359|1|t|H
82|1|22|44743|5.3|69.0|1|41.9|96.9|NaN|1|359|1|t|H
84|1|24|19620|41.9|96.9|1|48.6|76.9|NaN|1|359|0|t|H
85|1|25|49483|52.4|17.4|8|NaN|NaN|NaN|1|1219|1|f|A
86|1|26|49483|52.4|17.4|1|66.2|26.6|NaN|1|1219|0|t|A
88|1|28|27256|32.6|79.6|1|71.4|100.0|NaN|1|359|0|t|H
89|1|29|49483|31.2|-1.2|5|NaN|NaN|NaN|1|1219|1|f|A
