_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|48492|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|51255|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|49230|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|18686|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|11225|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|31886|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|52941|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|57038|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|69495|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|18689|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|18090|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|H
0|0|0|82975|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|85971|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|77875|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|76542|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|77864|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|98762|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|75773|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|119468|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|36968|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|77865|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|170452|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|85971|0.0|0.0|34|NaN|NaN|NaN|1|1041|1|f|A
0|0|0|18689|0.0|0.0|34|NaN|NaN|NaN|1|536|1|f|H
0|0|0|57038|50.0|50.0|1|49.8|47.6|NaN|1|536|1|t|H
0|0|0|69495|49.8|47.6|100|NaN|NaN|NaN|1|536|1|t|H
1|0|1|69495|49.8|47.6|1|39.4|49.0|NaN|1|536|1|t|H
1|0|1|52941|39.4|49.0|101|38.9|50.4|NaN|1|536|1|t|H
1|0|1|52941|39.4|49.0|100|NaN|NaN|NaN|1|536|1|t|H
2|0|2|52941|38.9|50.4|1|38.7|88.1|NaN|1|536|1|t|H
3|0|3|51255|38.7|88.1|100|NaN|NaN|NaN|1|536|1|t|H
4|0|4|51255|38.7|88.1|1|23.5|71.8|NaN|1|536|1|t|H
6|0|6|11225|23.5|71.8|100|NaN|NaN|NaN|1|536|1|t|H
7|0|7|11225|23.5|71.8|1|8.4|52.2|NaN|1|536|1|t|H
9|0|9|18090|8.4|52.2|1|71.3|57.0|NaN|1|536|0|t|H
13|0|13|77864|29.4|41.0|44|NaN|NaN|NaN|1|1041|1|f|A
13|0|13|77864|30.1|38.9|12|NaN|NaN|NaN|1|1041|1|f|A
13|0|13|57038|70.6|59.0|44|NaN|NaN|NaN|1|536|0|f|H
15|0|15|76542|37.8|57.9|1|42.6|63.9|NaN|1|1041|1|t|A
15|0|15|85971|42.6|63.9|49|NaN|NaN|NaN|1|1041|1|f|A
16|0|16|85971|43.6|66.9|3|NaN|NaN|NaN|1|1041|1|f|A
16|0|16|48492|56.4|33.1|45|NaN|NaN|NaN|1|536|0|f|H
