_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|86813|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|34694|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|126407|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|28649|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|50117|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|44336|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|17337|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|149828|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|51310|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|175078|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|28549|0.0|0.0|102|NaN|NaN|NaN|1|1215|1|f|A
0|0|0|82975|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|85971|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77875|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|76542|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77864|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|98762|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|75773|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|119468|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|36968|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77865|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|170452|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|85971|0.0|0.0|34|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|175078|0.0|0.0|34|NaN|NaN|NaN|1|1215|1|f|A
3|0|3|36968|49.8|48.4|1|51.3|47.8|NaN|1|1041|1|t|H
4|0|4|77865|51.3|47.8|100|NaN|NaN|NaN|1|1041|1|t|H
4|0|4|77865|51.3|47.8|101|53.8|46.9|NaN|1|1041|1|t|H
5|0|5|77865|53.8|46.9|1|37.5|63.9|NaN|1|1041|1|t|H
9|0|9|76542|37.5|63.9|101|35.4|57.8|NaN|1|1041|1|t|H
9|0|9|76542|37.5|63.9|100|NaN|NaN|NaN|1|1041|1|t|H
10|0|10|76542|35.4|57.8|1|32.6|35.2|NaN|1|1041|1|t|H
12|0|12|77864|32.6|35.2|101|33.8|37.0|NaN|1|1041|1|t|H
12|0|12|77864|32.6|35.2|100|NaN|NaN|NaN|1|1041|1|t|H
13|0|13|77864|33.8|37.0|1|32.3|72.7|NaN|1|1041|1|t|H
17|0|17|98762|32.3|72.7|101|34.3|72.1|NaN|1|1041|1|t|H
17|0|17|98762|32.3|72.7|100|NaN|NaN|NaN|1|1041|1|t|H
18|0|18|98762|34.3|72.1|1|34.7|57.8|NaN|1|1041|1|t|H
18|0|18|76542|34.7|57.8|100|NaN|NaN|NaN|1|1041|1|t|H
19|0|19|76542|34.7|57.8|1|38.4|80.6|NaN|1|1041|1|t|H
22|0|22|98762|39.0|82.6|1|73.8|89.0|NaN|1|1041|0|t|H
26|0|26|28649|27.1|14.1|8|NaN|NaN|NaN|1|1215|1|f|A
27|0|27|86813|28.0|7.0|12|NaN|NaN|NaN|1|1215|1|f|A
28|0|28|86813|29.9|11.2|4|NaN|NaN|NaN|1|1215|1|f|A
28|0|28|36968|70.1|88.8|4|NaN|NaN|NaN|1|1041|0|f|H
40|0|40|86813|30.1|12.2|1|27.5|24.0|NaN|1|1215|1|f|A
40|0|40|28649|27.5|24.0|100|NaN|NaN|NaN|1|1215|1|f|A
41|0|41|28649|27.5|24.0|1|25.7|64.0|NaN|1|1215|1|t|A
47|0|47|50117|25.7|64.0|101|38.8|49.9|NaN|1|1215|1|t|A
47|0|47|50117|25.7|64.0|100|NaN|NaN|NaN|1|1215|1|t|A
48|0|48|50117|38.8|49.9|1|36.5|27.3|NaN|1|1215|1|t|A
48|0|48|28649|36.5|27.3|100|NaN|NaN|NaN|1|1215|1|t|A
49|0|49|28649|36.5|27.3|1|36.8|43.3|NaN|1|1215|1|t|A
51|0|51|126407|36.8|43.3|100|NaN|NaN|NaN|1|1215|1|t|A
51|0|51|126407|36.8|43.3|101|37.7|48.2|NaN|1|1215|1|t|A
52|0|52|126407|37.7|48.2|1|38.7|72.7|NaN|1|1215|1|t|A
54|0|54|50117|38.7|72.7|100|NaN|NaN|NaN|1|1215|1|t|A
54|0|54|50117|38.7|72.7|101|46.6|73.2|NaN|1|1215|1|t|A
55|0|55|50117|46.6|73.2|1|60.5|87.2|NaN|1|1215|1|t|A
58|0|58|175078|60.5|87.2|1|61.9|89.3|NaN|1|1215|0|t|A
58|0|58|170452|32.8|13.4|74|NaN|NaN|NaN|1|1041|1|f|H
61|1|1|34694|66.6|96.8|1|88.0|94.4|NaN|1|1215|1|t|A
63|1|3|175078|88.0|94.4|1|92.8|69.1|NaN|1|1215|0|f|A
64|1|4|77864|11.4|31.0|12|NaN|NaN|NaN|1|1041|1|f|H
65|1|5|44336|89.3|68.1|13|100.0|67.0|54.2|1|1215|1|f|A
68|1|8|77864|-0.9|35.8|5|NaN|NaN|NaN|1|1041|1|f|H
68|1|8|44336|100.9|64.2|5|NaN|NaN|NaN|1|1215|0|f|A
96|1|36|82975|5.0|37.0|1|61.4|8.8|NaN|1|1041|0|f|H
100|1|40|36968|62.4|6.8|44|NaN|NaN|NaN|1|1041|0|f|H
100|1|40|34694|37.6|93.2|44|NaN|NaN|NaN|1|1215|1|f|A
100|1|40|34694|36.6|95.3|12|NaN|NaN|NaN|1|1215|1|f|A
102|1|42|77864|38.2|18.9|12|NaN|NaN|NaN|1|1041|1|f|H
104|1|44|77864|37.1|27.4|12|NaN|NaN|NaN|1|1041|1|f|H
108|1|48|119468|36.6|21.5|1|36.8|23.9|NaN|1|1041|0|t|H
108|1|48|126407|63.2|79.6|61|NaN|NaN|NaN|1|1215|0|f|A
110|1|50|126407|61.9|71.1|49|NaN|NaN|NaN|1|1215|1|f|A
110|1|50|77865|41.2|31.0|1|39.4|31.2|NaN|1|1041|0|t|H
112|1|52|76542|37.4|32.6|4|NaN|NaN|NaN|1|1041|0|f|H
112|1|52|126407|62.6|67.4|4|NaN|NaN|NaN|1|1215|1|f|A
151|2|31|51310|65.4|64.2|1|82.0|47.9|NaN|1|1215|0|f|A
154|2|34|77865|19.0|50.0|12|NaN|NaN|NaN|1|1041|1|f|H
158|2|38|86813|56.9|6.4|1|70.2|3.8|NaN|1|1215|0|t|A
159|2|39|119468|35.2|95.0|8|NaN|NaN|NaN|1|1041|1|f|H
160|2|40|119468|32.0|100.8|5|NaN|NaN|NaN|1|1041|0|f|H
160|2|40|86813|68.0|-0.8|5|NaN|NaN|NaN|1|1215|1|f|A
169|2|49|86813|70.3|0.0|1|69.1|16.2|NaN|1|1215|1|f|A
170|2|50|51310|69.1|16.2|100|NaN|NaN|NaN|1|1215|1|f|A
170|2|50|51310|69.1|16.2|101|68.5|12.6|NaN|1|1215|1|f|A
171|2|51|51310|68.5|12.6|1|56.4|5.0|NaN|1|1215|1|t|A
172|2|52|28649|56.4|5.0|100|NaN|NaN|NaN|1|1215|1|t|A
173|2|53|28649|56.4|5.0|1|43.0|35.8|NaN|1|1215|1|t|A
175|2|55|50117|43.0|35.8|100|NaN|NaN|NaN|1|1215|1|t|A
175|2|55|50117|43.0|35.8|101|39.2|50.1|NaN|1|1215|1|t|A
176|2|56|50117|39.2|50.1|1|42.2|79.1|NaN|1|1215|1|t|A
179|2|59|34694|42.2|79.1|100|NaN|NaN|NaN|1|1215|1|t|A
179|2|59|34694|42.2|79.1|101|46.0|82.7|NaN|1|1215|1|t|A
180|3|0|34694|46.0|82.7|1|34.0|71.2|NaN|1|1215|1|t|A
183|3|3|50117|34.0|71.2|100|NaN|NaN|NaN|1|1215|1|t|A
183|3|3|50117|34.0|71.2|101|34.0|62.7|NaN|1|1215|1|t|A
184|3|4|50117|34.0|62.7|1|34.5|40.3|NaN|1|1215|1|t|A
186|3|6|28649|34.5|40.3|100|NaN|NaN|NaN|1|1215|1|t|A
187|3|7|28649|34.5|40.3|1|31.0|64.2|NaN|1|1215|1|t|A
189|3|9|50117|31.0|64.2|101|35.3|66.6|NaN|1|1215|1|t|A
189|3|9|50117|31.0|64.2|100|NaN|NaN|NaN|1|1215|1|t|A
190|3|10|50117|35.3|66.6|1|78.3|94.8|NaN|1|1215|1|t|A
197|3|17|175078|78.3|94.8|101|88.3|93.0|NaN|1|1215|1|t|A
197|3|17|175078|78.3|94.8|100|NaN|NaN|NaN|1|1215|1|t|A
198|3|18|175078|88.3|93.0|1|79.3|79.6|NaN|1|1215|1|t|A
199|3|19|51310|79.3|79.6|100|NaN|NaN|NaN|1|1215|1|t|A
200|3|20|51310|79.3|79.6|1|72.6|71.5|NaN|1|1215|1|t|A
200|3|20|126407|72.6|71.5|100|NaN|NaN|NaN|1|1215|1|t|A
201|3|21|126407|72.6|71.5|1|71.7|95.0|NaN|1|1215|1|t|A
203|3|23|34694|71.7|95.0|100|NaN|NaN|NaN|1|1215|1|t|A
203|3|23|34694|71.7|95.0|101|68.8|73.2|NaN|1|1215|1|t|A
204|3|24|34694|68.8|73.2|1|77.4|77.2|NaN|1|1215|1|t|A
208|3|28|51310|79.7|82.6|1|92.8|46.0|NaN|1|1215|0|f|A
211|3|31|77875|7.6|54.6|12|NaN|NaN|NaN|1|1041|1|f|H
212|3|32|98762|0.0|0.0|43|NaN|NaN|NaN|1|1041|1|f|H
212|3|32|44336|0.0|0.0|43|NaN|NaN|NaN|1|1215|1|f|A
212|3|32|44336|92.6|50.9|1|93.3|47.6|NaN|1|1215|1|t|A
212|3|32|149828|93.3|47.6|101|91.7|44.3|NaN|1|1215|1|t|A
212|3|32|149828|93.3|47.6|100|NaN|NaN|NaN|1|1215|1|t|A
213|3|33|149828|91.7|44.3|15|100.0|50.0|0.0|1|1215|1|f|A
213|3|33|77875|9.3|56.0|10|NaN|NaN|NaN|1|1041|1|f|H
214|3|34|51310|89.6|51.3|13|100.0|51.7|86.1|1|1215|1|f|A
217|3|37|77875|-1.0|50.4|5|NaN|NaN|NaN|1|1041|1|f|H
217|3|37|51310|101.0|49.6|5|NaN|NaN|NaN|1|1215|0|f|A
257|4|17|82975|4.9|38.8|1|61.3|44.5|NaN|1|1041|1|f|H
263|4|23|77865|62.6|45.2|4|NaN|NaN|NaN|1|1041|1|f|H
263|4|23|17337|37.4|54.8|4|NaN|NaN|NaN|1|1215|0|f|A
293|4|53|76542|62.4|44.0|1|62.6|73.3|NaN|1|1041|1|f|H
297|4|57|98762|62.6|73.3|100|NaN|NaN|NaN|1|1041|1|f|H
297|4|57|98762|62.6|73.3|101|56.0|79.7|NaN|1|1041|1|f|H
298|4|58|98762|56.0|79.7|1|45.1|44.8|NaN|1|1041|1|t|H
301|5|1|77864|45.1|44.8|1|65.7|35.8|NaN|1|1041|0|t|H
303|5|3|50117|35.0|64.0|8|NaN|NaN|NaN|1|1215|1|f|A
305|5|5|77864|34.6|37.6|1|44.8|17.4|NaN|1|1041|0|t|H
308|5|8|126407|59.4|86.6|1|57.1|81.1|NaN|1|1215|1|t|A
311|5|11|175078|57.1|81.1|49|NaN|NaN|NaN|1|1215|1|f|A
311|5|11|175078|57.1|81.1|1|32.1|98.0|NaN|1|1215|1|t|A
312|5|12|34694|32.1|98.0|100|NaN|NaN|NaN|1|1215|1|t|A
313|5|13|34694|32.1|98.0|1|29.0|89.4|NaN|1|1215|1|t|A
314|5|14|50117|29.0|89.4|100|NaN|NaN|NaN|1|1215|1|t|A
314|5|14|50117|29.0|89.4|101|24.2|72.9|NaN|1|1215|1|t|A
315|5|15|50117|24.2|72.9|1|24.4|32.4|NaN|1|1215|1|t|A
317|5|17|28649|24.4|32.4|100|NaN|NaN|NaN|1|1215|1|t|A
318|5|18|28649|24.4|32.4|1|8.0|52.7|NaN|1|1215|1|t|A
321|5|21|28549|8.0|52.7|100|NaN|NaN|NaN|1|1215|1|t|A
321|5|21|28549|8.0|52.7|101|8.4|57.9|NaN|1|1215|1|t|A
322|5|22|28549|8.4|57.9|1|35.6|66.4|NaN|1|1215|1|t|A
325|5|25|75773|63.2|29.8|7|NaN|NaN|NaN|1|1041|1|f|H
325|5|25|126407|36.8|70.2|3|NaN|NaN|NaN|1|1215|0|f|A
326|5|26|75773|65.8|33.0|50|NaN|NaN|NaN|1|1041|1|f|H
326|5|26|50117|34.2|67.0|7|NaN|NaN|NaN|1|1215|0|f|A
328|5|28|98762|47.0|58.1|1|58.2|61.1|NaN|1|1041|1|t|H
330|5|30|76542|59.3|62.4|49|NaN|NaN|NaN|1|1041|1|f|H
331|5|31|76542|60.9|59.7|50|NaN|NaN|NaN|1|1041|1|f|H
331|5|31|51310|39.1|40.3|7|NaN|NaN|NaN|1|1215|1|f|A
332|5|32|44336|41.1|40.6|49|NaN|NaN|NaN|1|1215|1|f|A
333|5|33|44336|42.5|46.0|1|49.0|50.4|NaN|1|1215|0|t|A
334|5|34|119468|52.8|50.6|74|NaN|NaN|NaN|1|1041|1|f|H
336|5|36|170452|36.8|26.8|1|38.9|46.4|NaN|1|1041|1|t|H
338|5|38|77864|36.8|49.3|1|45.4|100.0|NaN|1|1041|0|t|H
339|5|39|77864|43.8|101.4|5|NaN|NaN|NaN|1|1041|0|f|H
339|5|39|86813|56.2|-1.4|5|NaN|NaN|NaN|1|1215|1|f|A
348|5|48|86813|57.9|0.0|1|36.9|3.5|NaN|1|1215|1|f|A
351|5|51|28649|36.9|3.5|101|37.8|12.6|NaN|1|1215|1|f|A
351|5|51|28649|36.9|3.5|100|NaN|NaN|NaN|1|1215|1|f|A
352|5|52|28649|37.8|12.6|1|34.4|63.4|NaN|1|1215|1|t|A
354|5|54|50117|34.4|63.4|100|NaN|NaN|NaN|1|1215|1|t|A
354|5|54|50117|34.4|63.4|101|36.3|66.1|NaN|1|1215|1|t|A
355|5|55|50117|36.3|66.1|1|46.3|68.1|NaN|1|1215|1|t|A
356|5|56|126407|46.3|68.1|100|NaN|NaN|NaN|1|1215|1|t|A
357|5|57|126407|46.3|68.1|1|34.5|76.0|NaN|1|1215|1|t|A
359|5|59|50117|34.5|76.0|100|NaN|NaN|NaN|1|1215|1|t|A
359|5|59|50117|34.5|76.0|101|35.9|71.5|NaN|1|1215|1|t|A
360|6|0|50117|35.9|71.5|1|44.1|53.3|NaN|1|1215|1|t|A
361|6|1|17337|44.1|53.3|100|NaN|NaN|NaN|1|1215|1|t|A
362|6|2|17337|44.1|53.3|1|35.9|57.3|NaN|1|1215|1|t|A
365|6|5|126407|35.9|57.3|101|36.1|58.4|NaN|1|1215|1|t|A
365|6|5|126407|35.9|57.3|100|NaN|NaN|NaN|1|1215|1|t|A
366|6|6|126407|36.1|58.4|1|36.7|34.2|NaN|1|1215|1|t|A
368|6|8|28649|36.7|34.2|100|NaN|NaN|NaN|1|1215|1|t|A
368|6|8|28649|36.7|34.2|101|36.5|33.3|NaN|1|1215|1|t|A
369|6|9|28649|36.5|33.3|1|35.9|66.4|NaN|1|1215|1|t|A
373|6|13|50117|35.9|66.4|101|41.6|76.0|NaN|1|1215|1|t|A
373|6|13|50117|35.9|66.4|100|NaN|NaN|NaN|1|1215|1|t|A
374|6|14|50117|41.6|76.0|1|58.2|82.1|NaN|1|1215|1|t|A
377|6|17|51310|58.2|82.1|101|61.1|94.8|NaN|1|1215|1|t|A
377|6|17|51310|58.2|82.1|100|NaN|NaN|NaN|1|1215|1|t|A
378|6|18|51310|61.1|94.8|1|73.1|96.8|NaN|1|1215|1|t|A
380|6|20|170452|24.6|3.4|4|NaN|NaN|NaN|1|1041|0|f|H
380|6|20|175078|75.4|96.6|4|NaN|NaN|NaN|1|1215|1|f|A
419|6|59|51310|73.2|95.0|1|86.9|65.8|NaN|1|1215|0|f|A
422|7|2|76542|12.7|38.8|12|NaN|NaN|NaN|1|1041|1|f|H
422|7|2|126407|0.0|0.0|43|NaN|NaN|NaN|1|1215|1|f|A
423|7|3|76542|12.7|38.8|6|NaN|NaN|NaN|1|1041|0|f|H
423|7|3|51310|87.1|63.5|6|NaN|NaN|NaN|1|1215|1|f|A
450|7|30|51310|99.5|99.5|1|96.3|55.2|NaN|1|1215|0|f|A
453|7|33|76542|4.7|45.7|12|NaN|NaN|NaN|1|1041|1|f|H
454|7|34|85971|13.5|19.8|49|NaN|NaN|NaN|1|1041|1|f|H
455|7|35|85971|13.1|26.7|12|NaN|NaN|NaN|1|1041|1|f|H
466|7|46|34694|41.2|93.3|49|NaN|NaN|NaN|1|1215|1|f|A
469|7|49|34694|42.8|92.4|1|34.5|64.5|NaN|1|1215|1|t|A
470|7|50|50117|34.5|64.5|100|NaN|NaN|NaN|1|1215|1|t|A
471|7|51|50117|34.5|64.5|1|38.5|29.2|NaN|1|1215|1|t|A
474|7|54|28649|47.0|21.8|1|88.0|27.0|NaN|1|1215|0|t|A
477|7|57|98762|12.8|73.6|8|NaN|NaN|NaN|1|1041|1|f|H
478|7|58|98762|12.4|73.3|6|NaN|NaN|NaN|1|1041|0|f|H
478|7|58|28649|87.6|26.7|6|NaN|NaN|NaN|1|1215|1|f|A
500|8|20|175078|99.5|0.5|1|92.2|58.2|NaN|1|1215|1|f|A
501|8|21|149828|92.2|58.2|100|NaN|NaN|NaN|1|1215|1|f|A
502|8|22|149828|92.2|58.2|13|100.0|56.1|18.1|1|1215|1|f|A
504|8|24|98762|-1.2|42.6|5|NaN|NaN|NaN|1|1041|1|f|H
504|8|24|149828|101.2|57.4|5|NaN|NaN|NaN|1|1215|0|f|A
