_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|18679|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|39194|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|39847|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|8924|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|34949|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|41184|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|39104|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|26901|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|154976|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|54917|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|60772|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|A
0|0|0|170450|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|85971|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77875|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|76542|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77864|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|98762|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|75773|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|119468|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|116694|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|77865|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|170452|0.0|0.0|102|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|85971|0.0|0.0|34|NaN|NaN|NaN|1|1041|1|f|H
0|0|0|54917|0.0|0.0|34|NaN|NaN|NaN|1|360|1|f|A
1|0|1|54917|49.3|49.1|1|50.8|47.5|NaN|1|360|1|t|A
1|0|1|26901|50.8|47.5|100|NaN|NaN|NaN|1|360|1|t|A
2|0|2|26901|50.8|47.5|1|38.2|51.8|NaN|1|360|1|t|A
2|0|2|39847|38.2|51.8|100|NaN|NaN|NaN|1|360|1|t|A
2|0|2|39847|38.2|51.8|101|38.2|52.0|NaN|1|360|1|t|A
3|0|3|39847|38.2|52.0|1|31.2|84.9|NaN|1|360|1|t|A
5|0|5|39194|33.8|91.4|1|55.9|83.4|NaN|1|360|0|t|A
7|0|7|119468|44.0|14.2|8|NaN|NaN|NaN|1|1041|1|f|H
8|0|8|119468|64.6|-1.0|5|NaN|NaN|NaN|1|1041|0|f|H
8|0|8|39194|35.4|101.0|5|NaN|NaN|NaN|1|360|1|f|A
13|0|13|39194|43.3|100.0|1|89.9|79.6|NaN|1|360|0|f|A
19|0|19|170452|6.9|22.6|12|NaN|NaN|NaN|1|1041|1|f|H
22|0|22|26901|98.7|70.7|1|79.4|41.8|NaN|1|360|0|t|A
25|0|25|76542|24.4|63.3|49|NaN|NaN|NaN|1|1041|1|f|H
25|0|25|76542|24.4|63.3|1|34.9|69.9|NaN|1|1041|1|t|H
27|0|27|76542|0.0|0.0|43|NaN|NaN|NaN|1|1041|1|f|H
28|0|28|85971|35.0|70.2|3|NaN|NaN|NaN|1|1041|0|f|H
31|0|31|8924|33.4|39.4|49|NaN|NaN|NaN|1|360|1|f|A
32|0|32|8924|31.9|43.7|1|4.6|52.9|NaN|1|360|1|t|A
37|0|37|60772|6.0|58.8|1|39.9|25.0|NaN|1|360|0|t|A
