_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|41328|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|52356|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|3508|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|37793|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|17861|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|49579|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|54104|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|18507|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|20664|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|12237|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|4232|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|33148|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|105835|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|122779|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37269|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|48853|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|100981|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|83531|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|118749|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|42565|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|37265|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|48852|0.0|0.0|102|NaN|NaN|NaN|1|831|1|f|A
0|0|0|105835|0.0|0.0|34|NaN|NaN|NaN|1|831|1|f|A
0|0|0|12237|0.0|0.0|34|NaN|NaN|NaN|1|118|1|f|H
1|0|1|18507|50.0|51.8|1|51.1|52.6|NaN|1|118|1|t|H
1|0|1|20664|51.1|52.6|101|50.7|51.6|NaN|1|118|1|t|H
1|0|1|20664|51.1|52.6|100|NaN|NaN|NaN|1|118|1|t|H
2|0|2|20664|50.7|51.6|1|38.2|43.6|NaN|1|118|1|t|H
2|0|2|54104|38.2|43.6|100|NaN|NaN|NaN|1|118|1|t|H
3|0|3|54104|38.2|43.6|1|31.6|7.0|NaN|1|118|1|t|H
3|0|3|41328|31.6|7.0|100|NaN|NaN|NaN|1|118|1|t|H
4|0|4|41328|31.6|7.0|1|25.6|34.3|NaN|1|118|1|t|H
8|0|8|37793|25.6|34.3|101|28.6|45.7|NaN|1|118|1|t|H
8|0|8|37793|25.6|34.3|100|NaN|NaN|NaN|1|118|1|t|H
9|0|9|37793|28.6|45.7|1|12.5|51.5|NaN|1|118|1|t|H
13|0|13|4232|14.6|51.6|1|65.2|54.0|NaN|1|118|0|t|H
19|0|19|48853|31.8|51.9|12|NaN|NaN|NaN|1|831|1|f|A
20|0|20|42565|55.7|60.5|1|44.1|67.0|NaN|1|831|0|t|A
20|0|20|20664|56.6|36.1|1|54.8|19.4|NaN|1|118|0|t|H
23|0|23|42565|45.6|73.3|1|44.2|95.7|NaN|1|831|1|t|A
