_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|41328|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|52356|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|3508|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|18221|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|17861|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|20664|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|54104|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|18507|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|5816|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|12237|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|4232|0.0|0.0|102|NaN|NaN|NaN|1|118|1|f|H
0|0|0|72162|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|8533|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|58877|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|85352|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|21095|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|78140|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|39204|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|15076|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|15403|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|12297|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|52940|0.0|0.0|102|NaN|NaN|NaN|1|366|1|f|A
0|0|0|8533|0.0|0.0|34|NaN|NaN|NaN|1|366|1|f|A
0|0|0|12237|0.0|0.0|34|NaN|NaN|NaN|1|118|1|f|H
1|0|1|18507|50.0|51.5|1|51.0|52.2|NaN|1|118|1|t|H
1|0|1|12237|51.0|52.2|101|48.0|58.1|NaN|1|118|1|t|H
1|0|1|12237|51.0|52.2|100|NaN|NaN|NaN|1|118|1|t|H
2|0|2|12237|48.0|58.1|1|41.9|93.9|NaN|1|118|1|t|H
3|0|3|52356|41.9|93.9|100|NaN|NaN|NaN|1|118|1|t|H
4|0|4|52356|41.9|93.9|1|30.1|75.6|NaN|1|118|1|t|H
7|0|7|17861|30.1|75.6|100|NaN|NaN|NaN|1|118|1|t|H
7|0|7|17861|30.1|75.6|101|29.4|68.4|NaN|1|118|1|t|H
8|0|8|17861|29.4|68.4|1|30.5|60.5|NaN|1|118|1|t|H
12|0|12|54104|30.5|60.5|101|32.6|56.6|NaN|1|118|1|t|H
12|0|12|54104|30.5|60.5|100|NaN|NaN|NaN|1|118|1|t|H
13|0|13|54104|32.6|56.6|1|28.9|32.4|NaN|1|118|1|t|H
19|0|19|18221|28.9|32.4|100|NaN|NaN|NaN|1|118|1|t|H
19|0|19|18221|28.9|32.4|101|39.9|34.3|NaN|1|118|1|t|H
20|0|20|18221|39.9|34.3|1|56.2|35.4|NaN|1|118|1|t|H
21|0|21|21095|45.2|65.6|4|NaN|NaN|NaN|1|366|0|f|A
