_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|27334|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|14075|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|27341|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|90152|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|40784|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|45268|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|37971|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|44346|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|37852|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|19927|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|37915|0.0|0.0|102|NaN|NaN|NaN|1|368|1|f|A
0|0|0|11973|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|52156|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|69305|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|40772|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|19160|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|41909|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|68312|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|21123|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|60841|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|84450|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|27335|0.0|0.0|102|NaN|NaN|NaN|1|497|1|f|H
0|0|0|52156|0.0|0.0|34|NaN|NaN|NaN|1|497|1|f|H
0|0|0|19927|0.0|0.0|34|NaN|NaN|NaN|1|368|1|f|A
0|0|0|52156|49.6|48.8|1|51.3|47.8|NaN|1|497|1|t|H
0|0|0|68312|51.3|47.8|100|NaN|NaN|NaN|1|497|1|t|H
1|0|1|68312|51.3|47.8|1|38.2|50.4|NaN|1|497|1|t|H
4|0|4|40772|38.2|50.4|1|75.9|28.3|NaN|1|497|0|t|H
6|0|6|40784|22.6|76.6|1|41.2|66.6|NaN|1|368|0|t|A
9|0|9|21123|63.4|35.7|1|74.8|25.8|NaN|1|497|1|t|H
10|0|10|84450|74.8|25.8|100|NaN|NaN|NaN|1|497|1|t|H
11|0|11|84450|74.8|25.8|1|75.9|35.1|NaN|1|497|1|t|H
