_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|9047|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|12745|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|56979|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|19419|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|7645|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|103955|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|1814|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|40755|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|13017|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|50175|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|15749|0.0|0.0|102|NaN|NaN|NaN|1|114|1|f|A
0|0|0|42864|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|33668|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|55407|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|59351|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|151883|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|32281|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|48863|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|77992|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|39336|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|40720|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|43693|0.0|0.0|102|NaN|NaN|NaN|1|837|1|f|H
0|0|0|33668|0.0|0.0|34|NaN|NaN|NaN|1|837|1|f|H
0|0|0|50175|0.0|0.0|34|NaN|NaN|NaN|1|114|1|f|A
1|0|1|77992|49.8|49.4|1|53.6|46.4|NaN|1|837|1|t|H
1|0|1|40720|53.6|46.4|100|NaN|NaN|NaN|1|837|1|t|H
2|0|2|40720|53.6|46.4|1|36.4|48.4|NaN|1|837|1|t|H
3|0|3|59351|36.4|48.4|101|35.8|49.4|NaN|1|837|1|t|H
3|0|3|59351|36.4|48.4|100|NaN|NaN|NaN|1|837|1|t|H
