_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|37070|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|12875|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|17152|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|60218|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|60207|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|60210|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|15517|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|20226|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|37368|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|15338|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|15337|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|17733|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|17127|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|15208|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|A
0|0|0|17733|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|A
0|0|0|15338|0.0|0.0|34|NaN|NaN|NaN|1|596|1|f|H
1|0|1|15338|50.0|50.0|1|53.3|50.1|NaN|1|596|1|t|H
1|0|1|20226|53.3|50.1|100|NaN|NaN|NaN|1|596|1|t|H
1|0|1|20226|53.3|50.1|101|53.5|50.1|NaN|1|596|1|t|H
2|0|2|20226|53.5|50.1|1|42.9|49.9|NaN|1|596|1|t|H
2|0|2|37368|42.9|49.9|100|NaN|NaN|NaN|1|596|1|t|H
3|0|3|37368|42.9|49.9|1|39.8|26.7|NaN|1|596|1|t|H
4|0|4|15517|39.8|26.7|100|NaN|NaN|NaN|1|596|1|t|H
4|0|4|15517|39.8|26.7|101|43.2|17.1|NaN|1|596|1|t|H
