_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|37070|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|12875|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|15517|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|50089|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|60207|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|61770|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|17152|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|20226|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|37368|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|60210|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|15337|0.0|0.0|102|NaN|NaN|NaN|1|596|1|f|H
0|0|0|44743|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|14937|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|58813|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19620|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|16738|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|27256|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19624|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|19921|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|10929|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|38530|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|26904|0.0|0.0|102|NaN|NaN|NaN|1|359|1|f|A
0|0|0|14937|0.0|0.0|34|NaN|NaN|NaN|1|359|1|f|A
0|0|0|60210|0.0|0.0|34|NaN|NaN|NaN|1|596|1|f|H
1|0|1|60210|50.0|50.0|1|52.6|50.0|NaN|1|596|1|t|H
1|0|1|20226|52.6|50.0|101|52.6|50.1|NaN|1|596|1|t|H
1|0|1|20226|52.6|50.0|100|NaN|NaN|NaN|1|596|1|t|H
2|0|2|20226|52.6|50.1|1|39.4|50.0|NaN|1|596|1|t|H
2|0|2|37368|39.4|50.0|100|NaN|NaN|NaN|1|596|1|t|H
3|0|3|37368|39.4|50.0|1|29.9|28.5|NaN|1|596|1|t|H
4|0|4|50089|29.9|28.5|100|NaN|NaN|NaN|1|596|1|t|H
4|0|4|50089|29.9|28.5|101|27.4|29.5|NaN|1|596|1|t|H
