_ts|player_id|place|move
1|149828|mf|pass
1|51310|mf|rec
2|51310|mf|pass
3|126407|mf|bpas
7|126407|oa|bout
12|51255|da|pass
14|11225|da|bpas
16|149786|mf|pass
18|17337|mf|brec
20|17337|mf|bout
28|51255|mf|pass
28|52941|mf|rec
29|52941|mf|pass
30|51255|mf|bpas
30|44336|mf|int
32|13229|mf|lbal
32|17337|mf|brec
33|17337|mf|clea
35|69495|mf|brec
36|69495|oi|lbal
36|17337|di|brec
37|17337|di|pass
39|50117|di|cond
40|50117|di|pass
41|34694|di|rec
42|34694|di|pass
43|175078|mf|cond
44|175078|mf|pass
46|81610|mf|brec
46|126407|di|bpas
48|81610|mf|bpas
50|17337|di|bpas
57|18686|di|lbal
58|149828|oi|brec
59|52941|di|bpas
61|126407|mf|pass
62|44336|mf|cond
63|44336|mf|pass
64|149786|mf|rec
65|149786|mf|pass
67|86813|mf|cond
68|86813|mf|pass
72|149786|mf|bpas
75|18686|da|clea
77|11225|da|brec
80|52941|di|rec
81|52941|mf|pass
86|49230|mf|lbal
86|44336|mf|lbal
88|51255|mf|pass
93|11225|mf|cond
94|11225|mf|pass
96|81610|mf|rec
97|81610|mf|pass
101|31886|mf|rec
102|31886|mf|pass
102|57038|mf|cond
103|57038|mf|pass
106|18686|mf|rec
107|18686|di|pass
110|11225|di|cond
111|11225|di|pass
112|49230|mf|rec
113|49230|mf|pass
114|11225|mf|bpas
120|28549|da|brec
125|28549|da|bpas
131|18090|da|gsav
132|18090|da|pass
134|18686|di|cond
135|18686|di|pass
136|81610|di|rec
137|81610|di|pass
139|18686|di|rec
140|18686|di|pass
145|49230|di|cond
146|49230|mf|pass
149|51255|mf|cond
150|51255|mf|pass
152|69495|oi|bpas
153|149786|di|int
154|86813|di|clea
157|11225|mf|brec
160|17337|di|brec
160|13229|oi|lbal
162|17337|di|bpas
162|49230|mf|bpas
164|44336|di|brec
164|13229|oi|lbal
167|44336|mf|pass
168|51310|mf|brec
168|51255|mf|lbal
169|17337|mf|pass
170|44336|mf|brec
170|52941|mf|lbal
171|44336|mf|pass
173|149828|mf|pass
177|34694|mf|cond
178|34694|oi|pass
180|126407|oi|bpas
183|34694|mf|pass
186|50117|mf|rec
187|50117|mf|pass
