_ts|player_id|place|move
1|61366|mf|pass
1|152760|mf|rec
2|152760|mf|pass
3|41189|mf|rec
4|41189|mf|pass
5|55605|mf|rec
6|55605|mf|pass
9|26901|mf|cond
10|26901|mf|pass
10|55605|mf|rec
11|55605|mf|pass
12|26901|mf|rec
13|26901|mf|pass
15|8924|di|bpas
18|28525|di|pass
22|20658|da|brec
24|20658|da|pass
25|46497|mf|rec
26|46497|mf|pass
28|39462|mf|bpas
29|17476|mf|pass
31|39462|mf|lbal
31|41184|mf|brec
33|61366|mf|brec
35|61366|oi|bpas
42|53943|di|bpas
45|8924|mf|pass
46|55605|mf|rec
47|55605|mf|pass
47|26901|mf|rec
48|26901|mf|pass
51|41184|mf|rec
52|41184|mf|pass
54|55605|mf|rec
55|55605|mf|pass
55|41184|mf|rec
56|41184|mf|pass
59|8924|di|cond
60|8924|di|pass
65|41189|mf|rec
66|41189|mf|pass
68|42786|mf|cond
69|42786|mf|pass
78|32644|mf|foul
78|41189|mf|fsuf
104|39194|mf|pass
107|53943|di|lbal
107|41184|oi|brec
110|15312|di|clea
110|8924|mf|pass
111|55605|mf|cond
112|55605|mf|pass
115|61366|oi|bpas
119|39462|da|clea
120|32644|di|clea
122|40232|mf|lbal
122|8924|mf|lbal
123|19054|mf|brec
128|19054|mf|pass
132|45154|oa|bpas
133|17476|da|clea
136|17476|di|bout
141|45154|oi|pass
142|53943|oi|rec
143|53943|oi|pass
147|28525|mf|rec
148|28525|mf|pass
150|15312|mf|cond
151|15312|mf|pass
156|46497|mf|rec
157|46497|mf|pass
158|39462|mf|cond
159|39462|mf|pass
160|32644|mf|cond
161|32644|mf|pass
164|15312|mf|rec
165|15312|mf|pass
167|40232|oi|lbal
167|8924|di|lbal
169|40232|oi|pass
176|45154|oi|cond
177|45154|oi|pass
177|32644|mf|rec
178|32644|mf|pass
180|53943|oi|cond
181|53943|oi|pass
182|26901|da|brec
184|40232|oa|lbal
185|41189|da|clea
189|28525|di|brec
191|42899|da|rec
192|42899|da|pass
197|15312|di|rec
198|15312|di|pass
198|39462|mf|rec
199|39462|mf|pass
204|15312|di|rec
205|15312|mf|pass
205|40232|mf|rec
206|40232|mf|pass
207|39462|oi|rec
208|39462|oi|pass
212|61366|di|dled
212|46497|oi|drib
217|46497|oa|wsho
217|39194|da|gsav
220|55605|da|clea
221|55605|di|bout
236|53943|oi|pass
238|40232|oi|bpas
239|55605|di|clea
242|28525|mf|pass
243|32644|mf|cond
244|32644|mf|pass
246|53943|oi|bpas
247|55605|di|brec
248|55605|di|pass
258|60772|da|bpas
262|41184|oi|lbal
262|15312|di|brec
263|15312|di|clea
264|15312|di|bout
266|26901|oi|pass
267|41184|oi|rec
268|41184|oi|pass
273|26901|oa|lbal
276|26901|oa|bout
303|42899|da|bpas
308|42899|oi|bout
320|55605|di|pass
322|41184|mf|bpas
325|32644|oi|brec
326|41184|mf|brec
326|39462|mf|pass
327|61366|mf|lbal
327|45154|mf|lbal
328|61366|mf|int
333|41184|mf|foul
333|45154|mf|fsuf
338|32644|mf|pass
343|46497|oi|rec
344|46497|oi|wsho
344|39194|di|gsav
350|39462|mf|pass
352|28525|mf|rec
353|28525|mf|pass
358|39462|di|cond
359|39462|mf|pass
360|15312|mf|cond
361|15312|mf|pass
364|46497|mf|rec
365|46497|mf|pass
368|53943|mf|cond
369|53943|mf|pass
372|45154|mf|bpas
376|45154|oa|bout
402|60772|da|pass
406|152760|mf|brec
406|32644|mf|lbal
407|152760|mf|bpas
408|53943|di|brec
411|42899|da|cond
412|42899|da|pass
415|15312|di|rec
416|15312|di|pass
419|20658|di|cond
420|20658|di|pass
425|15312|di|rec
426|15312|mf|pass
427|40232|mf|rec
428|40232|mf|pass
430|32644|mf|bpas
432|39194|di|brec
435|17476|di|drib
435|40232|oi|dled
437|17476|mf|bpas
437|32644|mf|brec
438|32644|mf|pass
443|19054|mf|cond
444|19054|mf|pass
447|46497|oi|bpas
448|39194|di|int
449|40232|oa|goal
513|152760|mf|pass
513|61366|mf|cond
514|61366|mf|pass
515|41189|mf|rec
516|41189|mf|pass
519|8924|mf|rec
520|8924|mf|pass
526|55605|oi|bpas
529|42899|da|gsav
537|42899|da|pass
538|28525|da|rec
539|28525|da|pass
540|53943|di|cond
541|53943|di|pass
547|28525|da|cond
548|28525|di|pass
551|53943|di|rec
552|53943|di|pass
554|28525|da|bpas
558|8924|mf|bpas
560|40232|oi|int
561|40232|mf|bout
563|55605|mf|pass
565|8924|di|rec
566|8924|di|pass
568|41189|mf|rec
569|41189|mf|pass
574|17476|di|rec
575|17476|mf|pass
576|39194|mf|rec
577|39194|mf|pass
580|17476|di|cond
581|17476|di|pass
585|60772|da|bpas
590|53943|di|clea
591|53943|di|bout
605|55605|oi|pass
607|41184|oa|cond
608|41184|oa|pass
610|55605|oa|bpas
611|32644|da|clea
612|32644|da|bout
621|55605|oa|bpas
623|32644|da|clea
629|42786|oi|bpas
630|39462|di|int
631|39462|di|bout
639|55605|oi|pass
642|41184|oa|lbal
642|53943|da|brec
645|45154|da|brec
646|45154|da|pass
655|40232|mf|bpas
656|41189|mf|int
657|41189|mf|brec
658|55605|mf|rec
659|55605|mf|pass
662|8924|mf|cond
663|8924|mf|pass
665|17476|di|rec
666|17476|di|pass
668|39194|mf|rec
669|39194|mf|pass
670|26901|oi|lbal
670|20658|di|lbal
676|42786|mf|pass
677|152760|oi|cond
678|152760|mf|pass
679|41189|mf|rec
680|41189|mf|pass
681|55605|mf|cond
682|55605|mf|pass
685|39194|oa|lbal
687|39194|oa|bout
723|42899|da|bpas
726|8924|da|clea
727|41189|di|pass
728|17476|da|bpas
730|17476|di|bout
736|20658|oi|pass
737|40232|oi|rec
738|40232|oi|pass
740|32644|mf|rec
741|32644|oi|pass
744|45154|oi|rec
745|45154|oa|wsho
745|8924|da|gsav
749|42786|da|brec
750|42786|da|bpas
751|45154|oi|int
752|41184|di|bpas
755|28525|mf|int
756|45154|mf|pass
758|32644|mf|brec
759|32644|mf|pass
762|15312|mf|cond
763|15312|mf|pass
764|19054|mf|rec
765|19054|mf|pass
766|39462|mf|bpas
768|42786|mf|int
769|42786|mf|brec
771|42786|mf|pass
774|61366|oi|rec
775|61366|oi|wsho
776|61366|oa|bout
820|42899|da|bpas
826|60772|da|gsav
837|60772|da|pass
839|41184|oi|rec
840|41184|oi|pass
845|45154|da|dled
845|42786|oa|drib
847|42786|oa|bpas
849|53943|da|clea
876|61366|oa|bpas
881|61366|oi|bout
898|20658|di|pass
904|28525|di|cond
905|28525|di|pass
906|53943|mf|rec
907|53943|mf|pass
908|28525|di|cond
909|28525|di|pass
911|45154|mf|rec
912|45154|mf|pass
913|32644|di|rec
913|39462|mf|rec
914|32644|di|pass
914|39462|mf|pass
916|15312|di|cond
917|15312|di|pass
917|19054|mf|rec
918|19054|mf|pass
918|39462|mf|rec
918|20658|mf|rec
919|39462|mf|pass
919|20658|mf|pass
920|39462|mf|rec
921|39462|mf|pass
937|41184|mf|foul
937|19054|mf|fsuf
940|39462|mf|pass
940|19054|mf|rec
941|19054|mf|pass
943|40232|oi|cond
944|40232|oi|pass
946|17476|da|brec
946|46497|oi|lbal
948|17476|di|pass
951|61366|mf|rec
952|61366|mf|pass
954|41189|mf|rec
955|41189|mf|pass
957|39194|mf|cond
958|39194|mf|pass
962|26901|mf|drib
962|46497|mf|dled
967|26901|mf|pass
971|61366|oi|cond
972|61366|oi|pass
974|41189|oi|cond
975|41189|oi|pass
980|39194|oi|drib
980|46497|di|dled
982|39194|oa|bpas
984|28525|da|clea
985|28525|da|bout
1025|61366|oa|pass
1026|17476|oa|rec
1027|17476|oa|wsho
1030|17476|oa|bout
1058|42899|da|pass
1060|15312|di|cond
1061|15312|di|pass
1062|20658|mf|cond
1063|20658|mf|pass
1071|15312|di|rec
1072|15312|mf|pass
1073|40232|mf|rec
1074|40232|mf|pass
1075|32644|mf|rec
1076|32644|mf|pass
1080|42899|da|cond
1081|42899|da|pass
1084|28525|da|rec
1085|28525|di|pass
1100|42899|da|cond
1101|42899|da|pass
1101|32644|da|rec
1102|32644|da|pass
1105|15312|di|bpas
1109|17476|da|brec
1111|17476|da|pass
1115|60772|da|bpas
1119|61366|mf|lbal
1119|15312|mf|brec
1122|41189|mf|fsuf
1122|19054|mf|foul
1146|17476|mf|bpas
1149|53943|da|clea
1151|45154|di|bpas
1152|41189|mf|brec
1153|41189|mf|pass
1153|42786|mf|rec
1154|42786|mf|pass
1156|55605|oa|bpas
1158|53943|di|clea
1159|32644|di|clea
1163|17476|mf|bpas
1166|39462|mf|int
1167|17476|mf|brec
1168|17476|mf|pass
1169|61366|mf|rec
1170|61366|oi|pass
1172|42786|oi|bpas
1173|15312|da|int
1175|28525|di|clea
1186|17476|di|bpas
1190|17476|oa|bout
1220|42899|da|bpas
1225|41189|di|pass
1226|41184|mf|brec
1227|41184|mf|pass
1230|39194|mf|drib
1230|46497|mf|dled
1233|39194|oi|lbal
1235|39194|oi|bout
1245|20658|mf|pass
1245|40232|mf|rec
1246|40232|mf|pass
1249|46497|mf|drib
1250|61366|mf|dled
1250|46497|mf|drib
1254|46497|di|pass
1257|53943|mf|cond
1258|53943|mf|pass
1260|45154|mf|rec
1261|45154|mf|pass
1263|32644|mf|cond
1264|32644|mf|pass
1265|46497|mf|cond
1266|46497|mf|pass
1272|19054|mf|cond
1273|19054|oi|pass
1280|45154|oi|cond
1281|45154|oi|pass
1284|32644|oi|rec
1285|32644|oi|pass
1287|46497|oi|bpas
1291|60772|da|gsav
1298|60772|da|pass
1301|39194|di|cond
1302|39194|mf|pass
1303|17476|di|rec
1304|17476|di|pass
1305|41184|mf|cond
1306|41184|mf|pass
1314|42786|mf|rec
1315|42786|oi|pass
1322|55605|oi|bpas
1322|28525|da|fsuf
1358|42899|da|bpas
1361|39194|di|pass
1363|41189|mf|brec
1364|41189|mf|lbal
1364|19054|mf|brec
1365|19054|mf|pass
1365|45154|mf|cond
1366|45154|mf|pass
1368|17476|di|int
1368|39462|mf|bpas
1369|17476|di|bpas
1369|15312|di|fsuf
1394|15312|mf|pass
1395|32644|mf|rec
1396|32644|mf|pass
1399|15312|mf|rec
1400|15312|mf|pass
1401|39462|mf|cond
1402|39462|mf|pass
1405|28525|mf|bpas
1407|42786|mf|int
1409|42786|mf|brec
1411|42786|mf|pass
1412|41184|mf|rec
1413|41184|mf|pass
1418|42786|oi|drib
1418|39462|di|dled
1420|42786|oi|pass
1422|41184|oi|pass
1422|55605|oi|cond
1423|55605|oi|pass
1425|41184|oi|rec
1426|41184|oi|pass
1427|8924|mf|cond
1428|8924|mf|pass
1430|55605|oi|rec
1431|55605|oi|pass
1437|42786|oi|lbal
1437|39462|di|brec
1440|39462|di|brec
1448|39462|mf|pass
1455|17476|di|brec
1455|46497|oi|lbal
1456|17476|di|brec
1457|41184|mf|rec
1458|41184|mf|pass
1460|61366|mf|rec
1461|61366|mf|pass
1467|152760|oa|cond
1468|152760|oa|pass
1469|26901|oi|cond
1470|26901|oi|pass
1471|61366|oi|rec
1472|61366|oi|pass
1474|41189|oi|rec
1475|41189|oi|pass
1477|61366|oi|rec
1478|61366|oi|pass
1478|41184|oi|rec
1479|41184|oi|pass
1481|55605|mf|cond
1482|55605|mf|pass
1485|39194|oi|rec
1486|39194|oi|pass
1489|20658|di|brec
1489|152760|oi|lbal
1491|19054|mf|brec
1502|19054|oa|lbal
1502|41189|da|brec
1503|41189|da|brec
1504|41189|da|bpas
1509|41189|di|pass
1510|61366|mf|cond
1511|61366|mf|pass
1521|42786|mf|rec
1522|42786|oi|pass
1523|26901|oa|cond
1524|26901|oi|pass
1526|39194|mf|cond
1527|39194|mf|pass
1527|41189|mf|cond
1528|41189|oi|pass
1530|61366|oi|cond
1531|61366|oi|wsho
1531|42899|da|gsav
1534|152760|oa|lbal
1535|20658|da|clea
1536|32644|di|pass
1537|46497|di|brec
1538|46497|di|pass
1538|40232|mf|cond
1539|40232|mf|pass
1542|19054|oi|lbal
1543|17476|di|brec
1544|19054|oi|foul
1544|17476|di|fsuf
1576|17476|di|pass
1577|41189|mf|cond
1578|41189|mf|pass
1580|42786|mf|rec
1581|42786|oi|pass
1583|41189|mf|rec
1584|41189|mf|pass
1585|39194|mf|cond
1586|39194|mf|pass
1588|61366|oa|bpas
1592|53943|da|clea
1596|55605|mf|int
1597|55605|oi|brec
1598|55605|oi|pass
1601|26901|oi|bpas
1603|32644|da|clea
1607|32644|da|bout
1623|55605|oa|pass
1625|41184|oa|cond
1626|41184|oa|pass
1627|28525|da|clea
1627|42786|oa|lbal
1633|8924|mf|brec
1634|8924|mf|pass
1637|17476|mf|cond
1638|17476|mf|pass
1638|41184|oi|cond
1639|41184|oi|pass
1642|55605|mf|rec
1643|55605|oi|pass
1644|41189|oi|cond
1645|41189|oi|pass
1649|26901|oi|bpas
1650|28525|di|clea
1651|40232|mf|brec
1652|40232|mf|pass
1653|19054|mf|rec
1654|19054|mf|pass
1658|46497|oa|rec
1659|46497|oa|wsho
1659|17476|da|gsav
1662|39194|di|brec
1663|39194|mf|pass
1667|17476|di|pass
1669|41189|mf|cond
1670|41189|mf|pass
1671|42786|oi|rec
1672|42786|oi|pass
1675|41189|mf|bpas
1677|41189|oa|bout
1808|42899|da|pass
1820|40232|oi|cond
1821|40232|oi|pass
1824|20658|oa|cond
1825|20658|oa|pass
1827|40232|oi|rec
1828|40232|oi|pass
1829|32644|oi|rec
1830|32644|oi|pass
1831|53943|oi|rec
1832|53943|oi|pass
1834|32644|mf|rec
1835|32644|mf|pass
1838|19054|oi|cond
1839|19054|oi|pass
1842|39462|mf|cond
1843|39462|mf|pass
1848|42899|da|rec
1849|42899|di|pass
1851|28525|di|rec
1852|28525|di|pass
1853|53943|mf|cond
1854|53943|mf|pass
1856|28525|di|rec
1857|28525|di|pass
1861|45154|mf|rec
1862|45154|oi|pass
1866|53943|oa|bpas
1868|17476|da|clea
1870|61366|di|pass
1871|26901|mf|brec
1872|26901|mf|pass
1876|28525|mf|foul
1876|152760|mf|fsuf
1970|55605|mf|pass
1971|8924|mf|cond
1972|8924|mf|pass
1973|17476|mf|cond
1974|17476|mf|pass
1980|8924|mf|cond
1981|8924|mf|pass
1983|17476|mf|rec
1984|17476|mf|pass
1987|39194|mf|cond
1988|39194|mf|pass
1989|42786|oi|rec
1990|42786|oi|pass
1994|39194|mf|bpas
1997|15312|di|fsuf
1997|41184|oi|foul
2025|15312|mf|pass
2028|42899|da|rec
2029|42899|da|pass
2034|15312|di|rec
2035|15312|di|pass
2039|40232|mf|cond
2040|40232|mf|pass
2042|28525|mf|cond
2043|28525|mf|pass
2045|32644|mf|cond
2046|32644|mf|pass
2047|28525|mf|rec
2048|28525|mf|pass
2051|45154|mf|lbal
2051|55605|mf|brec
2052|41184|mf|brec
2055|41184|mf|pass
2057|17476|di|rec
2058|17476|di|pass
2060|41189|mf|rec
2061|41189|mf|pass
2064|39194|mf|bpas
2066|39462|di|int
2068|20658|di|bpas
2068|42786|oi|int
2069|42786|oi|pass
2069|41189|mf|rec
2070|41189|mf|pass
2070|39194|oi|cond
2071|39194|oi|pass
2073|41189|mf|rec
2074|41189|mf|pass
2076|8924|mf|cond
2077|8924|mf|pass
2078|55605|mf|rec
2079|55605|mf|pass
2080|152760|mf|rec
2081|152760|mf|pass
2082|26901|mf|rec
2083|26901|mf|pass
2085|55605|mf|cond
2086|55605|mf|pass
2089|17476|mf|rec
2090|17476|mf|pass
2092|42786|mf|rec
2093|42786|mf|pass
2094|55605|mf|rec
2095|55605|mf|pass
2097|61366|oa|bpas
2099|15312|da|clea
2100|39462|di|clea
2104|8924|mf|pass
2107|26901|oa|lbal
2109|26901|oa|bout
2130|53943|da|bpas
2132|55605|oi|bpas
2137|42899|da|gsav
2138|42899|da|pass
2140|20658|di|cond
2141|20658|di|pass
2142|55661|mf|rec
2143|55661|mf|pass
2146|20658|mf|lbal
2146|39194|mf|brec
2147|39194|mf|bout
2168|20658|mf|bpas
2170|42786|di|int
2171|42786|di|bout
2176|20658|oi|pass
2176|40232|oi|rec
2177|40232|oi|pass
2177|20658|oi|rec
2178|20658|oi|pass
2178|55661|oi|rec
2179|55661|oi|pass
2181|40232|oi|lbal
2181|61366|di|brec
2182|61366|mf|brec
2183|61366|mf|bpas
2184|61366|mf|bout
2200|20658|mf|pass
2203|28525|di|rec
2203|15312|di|rec
2204|28525|di|pass
2204|15312|di|pass
2205|39462|mf|rec
2206|39462|mf|pass
2207|28525|di|rec
2208|28525|di|pass
2211|32644|mf|rec
2212|32644|mf|pass
2215|39462|mf|rec
2216|39462|mf|pass
2218|53943|mf|cond
2219|53943|mf|pass
2223|32644|mf|rec
2224|32644|mf|pass
2231|19054|mf|cond
2232|19054|oi|pass
2234|28525|mf|rec
2235|28525|mf|pass
2237|32644|mf|cond
2238|32644|mf|pass
2241|20658|oi|rec
2242|20658|oi|pass
2246|55661|oi|cond
2247|55661|oi|pass
2248|15312|mf|cond
2249|15312|mf|pass
2251|32644|mf|rec
2252|32644|mf|pass
2252|28525|mf|rec
2253|28525|mf|pass
2255|53943|mf|rec
2256|53943|mf|pass
2260|45154|mf|rec
2261|45154|mf|pass
2262|32644|mf|rec
2263|32644|mf|pass
2266|15312|mf|rec
2267|15312|mf|pass
2268|55661|mf|cond
2269|55661|mf|pass
2270|15312|mf|rec
2271|15312|mf|pass
2272|20658|mf|bpas
2275|40232|oi|lbal
2275|8924|di|brec
2279|17476|da|brec
2280|55661|oa|pass
2280|19054|oi|drib
2280|41184|di|dled
2282|19054|oi|drib
2282|41189|di|dled
2286|19054|oa|fsuf
2286|41184|da|foul
2390|19054|oa|wsho
2393|19054|oa|bout
2415|60772|da|bpas
2422|55661|mf|brec
2425|55661|mf|pass
2428|19054|oi|lbal
2429|41189|mf|brec
2430|41189|di|pass
2432|55605|mf|bpas
2434|15312|mf|brec
2436|32644|mf|cond
2437|32644|mf|pass
2440|45154|mf|cond
2441|45154|mf|pass
2441|53943|mf|rec
2442|53943|mf|pass
2445|32644|mf|cond
2446|32644|mf|pass
2448|15312|mf|rec
2449|15312|mf|pass
2453|61366|mf|brec
2453|19054|mf|lbal
2455|41189|mf|brec
2456|41189|mf|pass
2457|55605|mf|rec
2458|55605|mf|pass
2462|42786|oa|lbal
2462|28525|da|brec
2465|55661|di|lbal
2466|55661|da|bout
2470|61366|oa|pass
2472|39194|oi|cond
2473|39194|oi|pass
2474|26901|oa|rec
2475|26901|oa|wsho
2476|26901|oa|bout
2505|42899|da|pass
2516|40232|oa|lbal
2516|17476|da|brec
2517|17476|da|bout
2548|19054|oa|bpas
2550|41189|da|clea
2553|41189|di|bout
2572|20658|oi|pass
2574|15312|mf|rec
2575|15312|mf|pass
2577|32644|mf|rec
2578|32644|mf|pass
2581|53943|mf|rec
2582|53943|mf|pass
2587|28525|mf|cond
2588|28525|mf|pass
2592|15312|mf|bpas
2593|42786|mf|int
2594|42786|mf|brec
2595|42786|mf|bpas
2598|42899|da|pass
2605|32644|di|cond
2606|32644|mf|pass
2610|53943|mf|cond
2611|53943|mf|pass
2616|45154|oa|cond
2617|45154|oa|pass
2620|26901|da|brec
2620|53943|oa|lbal
2622|26901|da|brec
2624|26901|di|pass
2625|41184|mf|rec
2626|41184|mf|pass
2628|41189|mf|cond
2629|41189|mf|pass
2630|42786|mf|bpas
2632|20658|mf|int
2637|42786|oi|pass
2638|41184|oi|bpas
2639|28525|di|int
2642|55605|mf|pass
2644|61366|oi|bpas
2647|53943|di|int
2648|53943|di|pass
2651|41189|mf|dled
2651|19054|mf|drib
2660|19054|mf|pass
2662|39462|oi|rec
2663|39462|oi|pass
2665|20658|mf|rec
2666|20658|mf|pass
2671|55661|mf|cond
2672|55661|mf|pass
2673|20658|mf|rec
2674|20658|mf|pass
2681|19054|oi|rec
2682|19054|oi|pass
2685|45154|oi|cond
2686|45154|oi|pass
2688|19054|oa|lbal
2689|8924|da|clea
2692|53943|mf|bpas
2697|45154|mf|bout
2700|26901|mf|bpas
2704|28525|di|clea
2705|28525|mf|bout
2708|26901|mf|pass
2709|42786|mf|rec
2710|42786|mf|pass
2715|41184|mf|pass
2719|55605|mf|cond
2720|55605|oi|pass
2723|42786|oi|rec
2724|42786|oi|pass
2726|55605|oi|pass
2727|26901|oi|bpas
2729|45154|di|clea
2731|45154|mf|bout
2742|55605|mf|pass
2745|8924|di|cond
2746|8924|di|pass
2751|55605|mf|bpas
2754|42899|da|gsav
2765|42899|da|bpas
2770|39194|di|clea
2773|40232|oi|foul
2778|17476|di|pass
2783|55605|mf|rec
2784|55605|mf|pass
2788|42786|mf|bpas
2795|42899|da|gsav
2797|42899|da|pass
2800|20658|di|cond
2801|20658|di|pass
2803|39462|mf|cond
2804|39462|mf|pass
2805|32644|mf|rec
2806|32644|mf|pass
2809|40232|mf|rec
2810|40232|mf|pass
2812|45154|oi|rec
2813|45154|oi|pass
2818|19054|mf|bpas
2819|41189|di|int
2820|40232|mf|pass
2820|19054|mf|rec
2821|19054|mf|pass
2821|39462|mf|rec
2822|39462|mf|pass
2824|55661|mf|cond
2825|55661|mf|pass
2827|20658|di|cond
2828|20658|di|pass
2832|42899|da|bpas
2837|17476|mf|brec
2837|40232|mf|lbal
2838|17476|mf|bpas
2839|32644|mf|bpas
2841|55605|mf|bpas
2842|28525|di|bpas
2845|28525|mf|bout
2849|55605|mf|pass
2849|41184|mf|rec
2850|41184|mf|pass
2851|55605|mf|cond
2852|55605|mf|pass
2854|8924|di|bpas
2860|26901|oi|bout
2874|53943|di|bpas
2876|41184|mf|bpas
2877|32644|di|pass
2878|40232|mf|rec
2879|40232|mf|pass
2882|61366|mf|brec
2882|39462|mf|lbal
2883|41184|mf|brec
2884|41184|mf|pass
2886|42786|mf|rec
2887|42786|mf|pass
2888|61366|oi|bpas
2890|20658|di|int
2891|39462|di|brec
2892|32644|mf|rec
2893|32644|mf|pass
2895|40232|mf|bpas
2898|17476|di|int
2899|17476|di|lbal
2901|55661|oi|brec
2904|40232|mf|cond
2905|40232|mf|pass
2906|39462|mf|rec
2907|39462|mf|pass
2907|20658|mf|rec
2908|20658|mf|pass
2915|17476|di|foul
2915|40232|oi|fsuf
2948|19054|oi|bpas
2950|19054|oa|bout
2970|60772|da|pass
2973|41184|mf|brec
2973|32644|mf|lbal
2975|42899|da|pass
2976|42899|da|gsav
2977|42899|da|gsav
2985|42899|da|pass
2985|28525|di|rec
2986|28525|di|pass
2992|42899|da|bpas
2997|8924|di|pass
2997|55605|mf|rec
2998|55605|mf|pass
3000|26901|mf|lbal
3002|39462|mf|pass
3002|28525|di|rec
3003|28525|di|pass
3007|42899|da|bpas
3012|39194|di|bpas
3015|42786|mf|bout
3031|20658|mf|pass
3033|40232|mf|lbal
3034|40232|mf|bout
3047|39194|mf|bpas
3050|20658|di|clea
3054|42786|mf|pass
3056|8924|mf|cond
3057|8924|mf|pass
3061|41189|mf|cond
3062|41189|oi|pass
3062|61366|oi|rec
3063|61366|oi|pass
3064|41189|mf|cond
3065|41189|mf|pass
3067|42786|mf|cond
3068|42786|oi|pass
3072|39194|oa|bpas
3073|20658|da|clea
3075|20658|da|bout
3090|39194|oa|pass
3090|41184|oa|rec
3091|41184|oa|pass
3094|39194|oa|lbal
3094|20658|da|lbal
3095|39194|oa|brec
3096|39194|oa|bout
3109|20658|da|bpas
3111|41184|mf|bpas
3113|41184|oi|bout
3122|20658|di|pass
3123|32644|di|bpas
3125|61366|oi|int
3127|39462|di|pass
3129|53943|di|rec
3130|53943|di|pass
3134|45154|mf|bpas
3137|8924|di|int
3138|8924|di|bout
3158|53943|mf|pass
3158|45154|oi|rec
3159|45154|oi|pass
3165|40232|oa|rec
3166|40232|oa|wsho
3166|8924|da|gsav
3168|8924|da|bout
3195|45154|oa|pass
3200|61366|da|brec
3200|19054|oa|lbal
3201|61366|da|bout
3204|19054|oa|pass
3205|32644|oi|rec
3206|32644|oi|pass
3208|26901|da|brec
3208|19054|oa|lbal
3209|61366|di|bpas
3211|32644|oi|int
3212|45154|oi|pass
3213|19054|oi|rec
3214|19054|oi|pass
3215|53943|oi|pass
3217|55605|da|dled
3217|45154|oa|drib
3218|45154|oa|bpas
3223|45154|oa|bout
3236|39194|da|bpas
