_ts|player_id|place|move
0|37572|mf|pass
0|19054|mf|rec
1|19054|mf|pass
1|32644|mf|rec
2|32644|mf|pass
4|46497|mf|rec
5|46497|mf|pass
6|32644|mf|cond
7|32644|mf|pass
10|13308|mf|rec
11|13308|mf|pass
13|28525|mf|rec
14|28525|mf|pass
15|46497|mf|rec
16|46497|mf|pass
16|32644|mf|rec
17|32644|mf|pass
19|57145|di|cond
20|57145|di|pass
21|14880|mf|rec
22|14880|mf|pass
23|13308|mf|rec
24|13308|mf|pass
24|14880|mf|rec
25|14880|mf|pass
26|57145|di|rec
27|57145|di|pass
32|32644|mf|rec
33|32644|mf|pass
34|14880|mf|rec
35|14880|mf|pass
37|57145|di|rec
38|57145|di|pass
42|28525|di|rec
43|28525|mf|pass
45|57145|di|cond
46|57145|di|pass
50|87447|mf|dled
50|13308|mf|drib
52|13308|mf|pass
55|87447|mf|dled
55|19054|mf|drib
56|19054|mf|bpas
59|69147|da|bpas
62|32644|mf|pass
62|58893|mf|cond
63|58893|mf|pass
65|28525|mf|cond
66|28525|mf|pass
69|57145|mf|cond
70|57145|mf|pass
73|14880|mf|cond
74|14880|mf|pass
76|57145|di|rec
77|57145|di|pass
79|28525|mf|rec
80|28525|mf|pass
84|69887|mf|dled
84|46497|mf|drib
86|46497|oi|pass
87|37572|oi|bpas
88|69147|di|int
90|69147|di|bout
91|58893|oi|pass
95|66841|di|foul
95|37572|oi|fsuf
127|19054|oi|pass
128|58893|oa|cond
129|58893|oa|wsho
130|111457|da|goal
170|69887|mf|bpas
178|66841|mf|foul
178|58893|mf|fsuf
191|58893|mf|pass
192|32644|mf|rec
193|32644|mf|pass
194|14880|mf|cond
195|14880|mf|pass
195|13308|mf|rec
196|13308|mf|pass
197|14880|mf|rec
198|14880|mf|pass
199|20658|mf|cond
200|20658|mf|pass
202|57145|di|rec
203|57145|di|pass
208|20301|mf|brec
208|20658|mf|bpas
209|20301|mf|bpas
211|13308|mf|int
212|13308|mf|brec
221|19054|mf|lbal
221|16050|mf|brec
222|16050|mf|brec
224|16050|mf|fsuf
224|19054|mf|foul
237|87447|mf|pass
242|16050|mf|bpas
243|20658|mf|int
244|20658|mf|brec
245|20658|mf|pass
245|19054|mf|rec
246|19054|mf|pass
247|32644|mf|rec
248|32644|mf|pass
251|46497|mf|cond
252|46497|oi|wsho
252|69147|di|gsav
256|28525|mf|pass
257|46497|oi|rec
258|46497|oi|pass
262|19054|oi|bpas
263|87447|di|int
264|16050|di|brec
265|16050|di|bpas
269|16050|mf|bout
285|20658|mf|pass
285|32644|di|rec
286|32644|di|pass
286|46497|mf|rec
287|46497|mf|pass
293|20301|da|brec
293|37572|oa|lbal
294|20301|da|bout
323|19054|oa|pass
325|58893|oa|lbal
326|20301|da|clea
327|42544|da|clea
329|16050|di|brec
329|13308|oi|lbal
330|16050|di|brec
334|16050|di|bpas
336|28525|oi|int
337|28525|mf|bout
346|111457|mf|pass
348|20301|di|rec
349|20301|di|pass
356|69147|di|cond
357|69147|mf|pass
358|42544|oi|rec
359|42544|oi|pass
364|69887|oi|fsuf
364|28525|di|foul
398|46696|oi|bpas
401|28525|da|clea
402|28525|da|bout
411|46696|oa|pass
413|69887|oa|bpas
416|42899|da|gsav
419|42899|di|bout
435|111457|oi|pass
436|52049|oi|rec
437|52049|oi|pass
437|46696|oi|rec
438|46696|oi|pass
440|87447|oi|lbal
440|37572|di|brec
442|37572|mf|brec
443|111457|mf|brec
443|37572|mf|lbal
445|20301|mf|brec
446|20301|mf|pass
448|69147|mf|rec
449|69147|mf|pass
450|46696|mf|rec
451|46696|mf|pass
454|87447|mf|cond
455|87447|mf|pass
457|111457|oi|rec
458|111457|oi|pass
464|52049|oi|cond
465|52049|oi|pass
466|111457|oi|bpas
467|20658|di|int
468|20658|di|bout
476|111457|oa|bpas
480|46696|oa|foul
480|57145|da|fsuf
492|57145|da|pass
494|32644|di|cond
495|32644|di|pass
497|28525|mf|rec
498|28525|mf|pass
500|46497|mf|rec
501|46497|mf|pass
503|13308|mf|cond
504|13308|mf|pass
505|19054|mf|rec
506|19054|mf|pass
507|14880|mf|rec
508|14880|mf|pass
509|28525|di|rec
510|28525|di|pass
513|46497|mf|rec
514|46497|mf|pass
515|32644|mf|rec
516|32644|mf|pass
519|46497|mf|rec
520|46497|mf|pass
523|19054|mf|rec
524|19054|oi|pass
527|16050|mf|brec
527|32644|mf|lbal
529|16050|mf|brec
532|16050|mf|lbal
532|32644|mf|brec
533|16050|mf|fsuf
533|32644|mf|foul
555|46696|mf|pass
559|20301|oa|brec
559|14880|da|lbal
560|20301|oa|bpas
560|14880|da|brec
563|20301|oa|bout
573|42899|da|pass
579|28525|da|cond
580|28525|di|pass
584|57145|di|cond
585|57145|di|pass
587|14880|mf|rec
588|14880|mf|pass
589|13308|mf|rec
590|13308|mf|pass
590|20658|mf|rec
591|20658|mf|pass
591|13308|mf|rec
592|13308|mf|pass
592|20658|mf|cond
593|20658|mf|pass
595|14880|mf|rec
596|14880|mf|pass
596|32644|mf|rec
597|32644|mf|pass
598|57145|di|rec
599|57145|di|pass
601|28525|mf|cond
602|28525|mf|pass
603|46497|mf|rec
