_ts|player_id|place|move
1|37036|mf|pass
1|18427|mf|rec
2|18427|mf|pass
3|36803|mf|bpas
5|58893|di|fsuf
5|37198|oi|foul
18|28525|di|pass
20|32644|di|rec
21|32644|di|pass
22|19975|mf|rec
23|19975|mf|pass
28|32644|mf|cond
29|32644|mf|pass
32|20658|mf|rec
33|20658|mf|pass
38|41071|mf|foul
38|19975|mf|fsuf
66|19975|mf|pass
68|57145|mf|rec
69|57145|mf|pass
70|32644|mf|rec
71|32644|mf|pass
73|37198|mf|brec
73|46497|mf|lbal
74|41071|mf|brec
77|41071|mf|lbal
77|58893|mf|lbal
83|155084|mf|brec
102|58893|mf|pass
106|32644|mf|brec
109|32644|oi|bout
122|155084|mf|pass
126|41071|mf|lbal
126|46497|mf|brec
127|37198|mf|brec
127|46497|mf|lbal
130|37198|mf|bout
133|58893|mf|pass
134|28525|di|rec
135|28525|di|pass
142|32644|mf|rec
143|32644|mf|pass
147|58893|mf|cond
148|58893|oi|pass
150|46497|mf|cond
151|46497|mf|pass
154|32644|mf|rec
155|32644|mf|pass
158|20658|oi|cond
159|20658|oi|pass
160|19975|mf|rec
161|19975|mf|pass
161|19054|oi|rec
162|19054|oi|pass
163|19975|mf|cond
164|19975|mf|pass
165|32644|mf|rec
166|32644|mf|pass
173|58893|oa|bpas
176|111674|da|gsav
184|111674|da|pass
186|49529|mf|bpas
188|57145|di|pass
192|20658|di|foul
228|18427|oi|pass
229|183059|oa|cond
230|183059|oa|wsho
233|183059|oa|bout
258|42899|da|pass
258|19975|di|rec
259|19975|di|pass
264|18427|da|brec
264|19054|oa|lbal
265|18427|da|bout
274|20658|oa|bpas
279|37036|da|clea
285|19975|oi|pass
288|57145|mf|cond
289|57145|mf|pass
291|32644|mf|rec
292|32644|mf|pass
298|46497|mf|bpas
301|18427|mf|lbal
301|20658|mf|pass
302|19975|mf|rec
303|19975|mf|pass
304|19054|oi|rec
304|20658|oi|rec
305|19054|oi|pass
305|20658|oi|pass
306|19054|oi|pass
308|20658|oi|cond
309|20658|oa|pass
312|37036|da|lbal
312|37572|oa|lbal
329|37572|oa|brec
330|37572|oa|bout
341|111674|da|bpas
344|111674|mf|bout
351|20658|mf|pass
356|32644|mf|cond
357|32644|mf|pass
360|46497|mf|bpas
363|46497|oa|bout
381|111674|da|bpas
386|41071|mf|lbal
386|28525|mf|brec
387|28525|mf|clea
388|28525|mf|bout
394|155084|mf|pass
398|37198|oi|lbal
398|28525|di|brec
400|37198|oi|foul
400|28525|di|fsuf
413|28525|di|pass
415|19975|mf|rec
416|19975|mf|pass
418|58893|mf|rec
419|58893|mf|pass
421|46497|oi|cond
422|46497|oi|pass
423|19975|oi|cond
424|19975|oi|pass
428|20658|oi|rec
429|20658|oi|pass
431|57145|mf|rec
432|57145|mf|pass
433|32644|mf|rec
434|32644|mf|pass
434|46497|mf|rec
435|46497|mf|pass
437|28525|mf|cond
438|28525|mf|pass
441|19975|mf|rec
442|19975|mf|pass
443|19054|oi|rec
444|19054|oi|pass
445|19975|oi|rec
446|19975|oi|pass
448|37572|oi|cond
449|37572|oi|pass
449|58893|oa|rec
450|58893|oa|pass
455|37572|oa|bpas
457|37197|da|clea
459|37036|di|brec
460|37036|di|bpas
460|28525|mf|pass
460|32644|oi|rec
461|32644|oi|pass
461|19975|mf|rec
462|19975|mf|pass
467|57145|mf|rec
468|57145|mf|pass
471|19975|mf|bpas
475|19975|oi|bout
485|155084|di|pass
487|36803|di|bpas
489|37198|mf|lbal
489|58893|mf|brec
490|58893|mf|pass
493|37036|mf|foul
493|46497|mf|fsuf
501|32644|mf|pass
503|19975|mf|cond
504|19975|mf|pass
506|32644|mf|cond
507|32644|mf|pass
515|46497|mf|cond
516|46497|oi|pass
517|58893|oi|rec
518|58893|oi|pass
521|32644|mf|rec
522|32644|mf|pass
523|19975|mf|rec
524|19975|mf|pass
526|20658|oi|rec
527|20658|oi|pass
528|19975|mf|rec
529|19975|mf|pass
532|19054|oi|rec
533|19054|oi|pass
537|46497|oi|rec
538|46497|oi|pass
541|58893|oa|bpas
542|155084|da|clea
543|58893|oa|brec
544|58893|oa|bout
575|111674|da|bpas
578|18427|mf|lbal
578|57145|mf|brec
579|57145|mf|clea
580|19975|mf|brec
582|20658|di|cond
583|20658|di|pass
583|19054|mf|rec
584|19054|mf|pass
584|20658|di|rec
585|20658|di|pass
589|19975|mf|rec
590|19975|mf|pass
594|32644|mf|rec
595|32644|mf|pass
598|19975|mf|bpas
601|156604|di|bpas
602|49529|mf|lbal
602|19975|mf|brec
603|36803|di|dled
603|19054|oi|drib
606|156604|di|brec
606|19054|oi|lbal
607|36803|di|brec
608|36803|di|pass
609|37036|di|lbal
609|37572|oi|lbal
612|37198|di|lbal
612|32644|oi|brec
613|37036|di|dled
613|46497|oi|drib
