_ts|player_id|place|move
1|40232|mf|pass
1|19054|mf|rec
2|19054|mf|pass
3|32644|mf|cond
4|32644|mf|pass
5|20658|di|cond
6|20658|di|pass
9|57145|da|cond
10|57145|di|pass
15|28525|di|cond
16|28525|di|pass
19|57145|di|rec
20|57145|di|pass
22|20658|di|rec
23|20658|di|pass
26|69305|mf|brec
26|45154|mf|lbal
27|69305|mf|bout
34|20658|mf|pass
36|19054|oi|bpas
37|81048|mf|brec
38|81048|mf|pass
40|68312|mf|lbal
41|68312|mf|bout
46|20658|mf|pass
50|57145|di|cond
51|57145|di|pass
53|28525|di|cond
54|28525|di|pass
57|58893|mf|rec
58|58893|mf|pass
62|40232|oi|cond
63|40232|oi|pass
64|46497|mf|cond
65|46497|mf|pass
66|19975|mf|cond
67|19975|mf|pass
68|20658|mf|cond
69|20658|mf|pass
73|45154|oi|bpas
74|19160|di|int
75|19160|di|lbal
78|19054|oi|pass
79|45154|oi|rec
80|45154|oi|pass
80|19975|mf|rec
81|19975|mf|pass
83|19054|oi|rec
84|19054|oi|pass
85|19975|mf|cond
86|19975|mf|pass
87|28525|mf|cond
88|28525|mf|pass
92|32644|mf|cond
93|32644|mf|pass
96|40232|oi|cond
97|40232|mf|pass
100|20658|mf|cond
101|20658|mf|pass
102|45154|mf|rec
103|45154|mf|pass
105|20658|mf|cond
106|20658|mf|pass
107|57145|di|cond
108|57145|mf|pass
109|28525|di|rec
110|28525|di|pass
113|58893|mf|cond
114|58893|mf|pass
117|21123|mf|brec
117|40232|mf|lbal
119|52156|mf|pass
119|19160|di|rec
120|19160|di|pass
125|69305|mf|lbal
125|20658|mf|brec
126|45154|mf|brec
130|68312|mf|foul
130|45154|mf|fsuf
155|19975|mf|pass
155|28525|mf|rec
156|28525|mf|pass
160|58893|mf|bpas
164|27335|da|clea
165|27335|da|bout
176|58893|oa|pass
178|27335|da|int
178|46497|oa|bpas
179|27335|da|bout
184|58893|oa|pass
187|40232|oa|bpas
189|69305|da|clea
191|68312|di|brec
196|68312|di|fsuf
196|19975|oi|foul
215|119471|di|bpas
218|27335|oa|bout
231|42899|da|pass
231|57145|da|rec
232|57145|da|pass
232|42899|da|pass
235|32644|da|rec
236|32644|di|pass
239|28525|di|rec
240|28525|di|pass
242|32644|di|rec
243|32644|di|pass
250|57145|mf|bpas
251|57145|mf|bout
262|69305|mf|pass
267|84450|mf|bpas
268|46497|mf|brec
269|46497|mf|pass
270|40232|oi|cond
271|40232|oi|pass
277|46497|oa|bpas
278|27335|da|clea
279|27335|da|bout
283|46497|oa|pass
284|58893|oi|rec
285|58893|oi|pass
287|32644|mf|rec
288|32644|mf|pass
289|19975|mf|rec
290|19975|mf|pass
291|57145|mf|rec
292|57145|mf|pass
294|28525|mf|cond
295|28525|mf|pass
296|58893|mf|rec
297|58893|mf|pass
297|32644|mf|rec
298|32644|mf|pass
299|58893|mf|rec
300|58893|mf|pass
302|27335|di|dled
302|46497|oi|drib
304|27335|di|foul
304|46497|oi|fsuf
347|19054|oi|bpas
350|19160|da|clea
353|19975|oi|wsho
354|84450|da|bpas
357|45154|oi|pass
358|32644|mf|rec
359|32644|mf|pass
361|20658|mf|cond
362|20658|mf|pass
365|52156|di|brec
365|45154|oi|lbal
366|52156|mf|bout
378|20658|oi|pass
379|40232|oi|bpas
383|11973|da|gsav
394|11973|da|bpas
395|58893|mf|pass
398|46497|oi|lbal
399|46497|oi|bout
403|27335|di|pass
403|119471|da|rec
404|119471|da|pass
407|81048|mf|brec
407|28525|mf|lbal
408|81048|mf|bpas
409|57145|di|brec
413|42899|da|bpas
419|69305|di|brec
421|69305|di|drib
421|40232|oi|dled
422|69305|di|pass
427|40772|di|cond
428|40772|mf|pass
431|52156|mf|rec
432|52156|mf|pass
436|68312|oi|rec
437|68312|oi|pass
439|52156|oi|drib
439|57145|di|dled
442|52156|oa|bpas
444|28525|da|clea
453|68312|oa|lbal
453|19975|da|brec
455|20658|da|brec
457|20658|da|bout
483|68312|oa|pass
486|40772|oi|drib
486|46497|di|dled
488|40772|oi|wsho
489|40772|oa|bout
506|42899|da|pass
514|81048|mf|foul
514|19975|mf|fsuf
528|32644|mf|pass
530|58893|mf|rec
531|58893|mf|pass
533|28525|mf|cond
534|28525|mf|pass
537|57145|di|rec
538|57145|mf|pass
540|19975|mf|cond
541|19975|mf|pass
547|32644|mf|cond
548|32644|mf|pass
549|57145|mf|rec
550|57145|mf|pass
552|45154|oi|bpas
553|69305|di|int
554|69305|di|bout
559|20658|oi|pass
560|45154|oi|rec
561|45154|oi|pass
563|32644|mf|cond
564|32644|mf|pass
566|58893|mf|rec
567|58893|mf|pass
574|84450|di|foul
574|46497|oi|fsuf
613|45154|oi|bpas
616|19160|da|clea
619|69305|da|clea
623|69305|mf|bout
628|19975|oi|pass
629|20658|mf|rec
630|20658|mf|pass
631|19975|mf|rec
632|19975|mf|pass
633|32644|mf|cond
634|32644|mf|pass
637|28525|di|cond
638|28525|di|pass
642|19975|mf|bpas
646|11973|da|gsav
647|11973|da|pass
650|40772|di|rec
651|40772|di|pass
651|21123|di|rec
652|21123|di|pass
653|19160|di|bpas
654|19975|oi|int
657|19160|da|brec
660|19160|di|bpas
663|42899|da|gsav
664|42899|da|pass
668|28525|di|rec
669|28525|di|pass
671|57145|di|rec
