_ts|player_id|place|move
0|8533|mf|pass
0|15403|mf|rec
1|15403|mf|pass
1|15076|mf|cond
2|15076|mf|pass
7|78140|di|cond
8|78140|di|pass
10|52940|mf|cond
11|52940|mf|pass
14|78140|di|bpas
18|40539|mf|foul
18|12297|mf|fsuf
24|78140|mf|pass
25|21095|di|cond
26|21095|di|pass
33|85352|mf|bpas
35|154685|di|brec
35|8533|oi|lbal
36|154685|di|pass
38|80480|di|brec
40|95742|di|rec
41|80480|di|pass
41|95742|di|pass
42|80480|di|pass
45|40539|da|cond
46|40539|di|pass
49|154685|da|cond
50|154685|di|pass
56|47659|di|rec
57|47659|di|pass
60|40539|di|rec
61|40539|da|pass
62|47659|di|rec
63|47659|di|pass
64|13867|di|cond
65|13867|mf|pass
65|3273|mf|rec
66|3273|mf|pass
67|59115|mf|rec
68|59115|mf|pass
73|80480|mf|bpas
74|21095|da|clea
76|59115|mf|pass
77|95742|mf|cond
78|95742|mf|pass
82|15076|mf|foul
82|77711|mf|fsuf
113|13867|oi|bpas
116|15076|da|clea
118|40539|mf|pass
120|95742|mf|rec
121|95742|mf|pass
126|131897|di|bpas
128|52940|mf|pass
130|12297|mf|brec
132|12297|oi|lbal
135|40539|da|pass
136|131897|da|brec
137|131897|da|pass
142|3273|mf|bpas
143|52940|mf|pass
146|78140|di|brec
147|78140|di|pass
149|21095|di|cond
150|21095|di|pass
155|85352|mf|bpas
159|131897|da|pass
160|131897|da|gsav
161|131897|da|pass
226|40539|di|rec
227|40539|di|pass
228|59115|di|cond
229|59115|di|pass
231|47659|di|cond
232|47659|di|pass
234|154685|da|cond
235|154685|da|pass
239|40539|da|cond
240|40539|di|pass
241|95742|di|cond
242|95742|di|pass
245|40539|di|cond
246|40539|mf|pass
248|13867|mf|rec
249|13867|mf|pass
251|154685|di|rec
252|154685|di|pass
254|40539|di|rec
255|40539|di|pass
257|13867|di|rec
258|13867|di|pass
259|154685|di|rec
260|154685|di|pass
261|131897|da|cond
262|131897|da|pass
269|154685|di|bpas
272|21095|mf|brec
272|3273|mf|lbal
273|21095|di|clea
274|80480|mf|pass
276|77711|mf|bpas
278|15076|mf|bpas
279|77711|mf|pass
282|40539|di|rec
283|40539|mf|pass
284|3273|mf|cond
285|3273|mf|pass
287|47659|mf|rec
288|47659|mf|pass
290|13867|mf|cond
291|13867|mf|pass
297|95742|mf|bpas
302|8533|oa|brec
303|8533|oa|lbal
305|131897|da|gsav
309|131897|da|pass
310|80480|di|cond
311|80480|mf|pass
313|3273|mf|cond
314|3273|mf|pass
315|13867|mf|rec
316|13867|mf|pass
323|47659|mf|rec
324|47659|mf|pass
326|77711|oi|bpas
328|78140|di|clea
329|95742|mf|pass
332|80480|mf|cond
333|80480|mf|pass
334|95742|mf|rec
335|95742|mf|pass
337|40539|mf|rec
338|40539|di|pass
340|154685|di|cond
341|154685|di|pass
341|47659|mf|rec
342|47659|mf|pass
346|85352|mf|foul
346|100887|mf|fsuf
359|59115|mf|pass
362|40539|mf|cond
363|40539|mf|pass
364|13867|mf|rec
365|13867|mf|pass
368|47659|mf|bpas
371|72162|da|pass
384|72162|da|pass
386|78140|di|rec
387|78140|di|pass
389|72162|da|cond
390|72162|da|pass
397|12297|mf|foul
397|80480|mf|fsuf
402|80480|mf|pass
404|3273|mf|cond
405|3273|oi|pass
408|77711|oa|bpas
410|72162|da|gsav
423|72162|da|pass
424|85352|di|cond
425|85352|di|pass
427|72162|da|cond
428|72162|da|pass
432|15403|mf|bpas
433|47659|di|brec
436|47659|di|pass
436|13867|mf|rec
437|13867|mf|pass
438|59115|mf|rec
439|59115|mf|pass
446|40539|di|rec
447|40539|mf|pass
450|58877|mf|brec
450|47659|mf|lbal
453|58877|mf|fsuf
453|47659|mf|foul
471|58877|mf|pass
471|21095|di|rec
472|21095|di|pass
473|78140|mf|rec
474|78140|mf|pass
475|52940|mf|rec
476|52940|mf|pass
479|78140|mf|bpas
484|58877|oi|bout
497|47659|di|bpas
501|21095|mf|brec
501|3273|mf|lbal
502|15076|mf|pass
504|58877|mf|brec
507|58877|oi|bpas
507|40539|di|fsuf
524|154685|di|pass
524|59115|di|rec
525|59115|di|pass
525|154685|di|rec
526|154685|di|pass
528|40539|di|cond
529|40539|di|pass
530|80480|di|cond
531|80480|di|pass
533|40539|di|rec
534|40539|di|pass
543|59115|mf|bpas
548|39204|da|pass
549|72162|da|rec
550|72162|da|pass
552|15403|mf|bpas
554|40539|mf|pass
555|154685|mf|rec
556|154685|mf|pass
557|131897|di|rec
558|131897|di|pass
560|154685|di|rec
561|154685|di|pass
564|47659|mf|rec
565|47659|mf|pass
566|100887|mf|bpas
569|15076|mf|fsuf
569|13867|mf|foul
592|21095|mf|pass
593|78140|mf|bpas
596|58877|oi|bout
609|47659|di|pass
611|3273|mf|rec
612|3273|mf|pass
617|78140|di|lbal
617|77711|oi|lbal
621|78140|da|bout
626|80480|oi|pass
633|13867|oa|rec
634|13867|mf|pass
635|154685|mf|rec
636|154685|mf|pass
636|13867|mf|rec
637|13867|mf|pass
638|47659|mf|rec
639|47659|mf|pass
642|100887|mf|lbal
643|21095|mf|pass
644|15403|mf|brec
645|85352|mf|cond
646|85352|mf|pass
650|12297|mf|lbal
650|80480|mf|brec
651|77711|mf|brec
653|77711|mf|bpas
656|15076|mf|brec
659|15076|mf|pass
660|39204|mf|rec
661|39204|mf|pass
662|78140|mf|rec
663|78140|mf|pass
665|21095|mf|bpas
666|100887|mf|int
667|85352|mf|brec
669|85352|mf|bout
678|47659|mf|pass
679|3273|oi|cond
680|3273|oi|pass
682|47659|mf|cond
683|47659|oi|pass
683|3273|oi|cond
684|3273|mf|pass
686|59115|mf|rec
687|59115|mf|pass
687|47659|oi|bpas
691|85352|di|fsuf
691|100887|oi|foul
705|21095|mf|pass
711|72162|di|bpas
714|12297|oi|lbal
714|40539|di|brec
715|40539|di|clea
718|39204|mf|pass
720|52940|mf|cond
721|52940|mf|pass
730|72162|da|cond
731|72162|di|pass
734|12297|mf|brec
734|154685|mf|lbal
735|12297|mf|bpas
735|59115|di|brec
740|59115|oi|bout
761|58877|di|bpas
764|59115|mf|int
765|154685|mf|brec
766|154685|mf|pass
768|59115|mf|bpas
771|72162|da|gsav
774|72162|da|pass
775|78140|di|cond
776|78140|di|pass
777|39204|mf|rec
778|39204|mf|pass
780|78140|di|cond
781|78140|di|pass
783|21095|di|cond
784|21095|di|pass
786|85352|di|rec
787|85352|di|pass
790|15403|mf|cond
791|15403|mf|pass
792|85352|di|cond
793|85352|di|pass
794|21095|di|rec
795|21095|di|pass
800|78140|di|cond
801|78140|di|pass
805|21095|da|cond
806|21095|da|pass
807|8533|mf|lbal
809|59115|mf|pass
810|47659|di|brec
817|131897|da|bpas
821|15076|mf|pass
822|58877|mf|rec
823|58877|mf|pass
827|78140|di|brec
832|78140|di|pass
833|72162|da|cond
834|72162|da|pass
838|85352|da|bpas
841|59115|mf|pass
844|131897|di|brec
845|131897|di|bpas
847|131897|mf|bout
858|58877|mf|pass
858|85352|di|cond
859|85352|di|pass
860|21095|di|rec
861|21095|di|pass
866|52940|mf|rec
867|52940|mf|pass
868|39204|mf|cond
869|39204|mf|pass
871|78140|mf|rec
872|78140|mf|pass
873|21095|di|rec
874|21095|di|pass
876|85352|di|cond
877|85352|mf|pass
879|15403|mf|bpas
879|100887|mf|brec
881|100887|oi|pass
884|13867|mf|bpas
885|15403|mf|int
886|13867|mf|pass
886|47659|mf|cond
887|47659|mf|pass
888|59115|mf|bpas
889|85352|di|brec
893|15403|di|bpas
895|154685|mf|brec
896|154685|mf|pass
901|131897|da|bpas
905|52940|mf|brec
907|52940|mf|pass
911|78140|mf|bpas
913|100887|mf|brec
914|85352|mf|dled
914|100887|mf|drib
919|100887|oa|pass
919|13867|oa|rec
920|13867|oa|wsho
920|78140|da|gsav
922|78140|da|bout
964|77711|oa|bpas
967|12297|da|clea
969|80480|oi|pass
971|77711|oa|bpas
974|85352|da|fsuf
974|3273|oa|foul
1005|72162|da|bpas
1009|40539|mf|bpas
1010|78140|mf|pass
1015|52940|mf|cond
1016|52940|mf|pass
1026|8533|oi|fsuf
1026|80480|di|foul
1056|8533|oi|pass
1057|12297|oa|rec
1058|12297|oa|wsho
1058|131897|da|gsav
1061|131897|da|gsav
1074|131897|da|pass
1074|59115|di|rec
1075|59115|di|pass
1076|47659|di|rec
1077|47659|mf|pass
1077|100887|mf|rec
1078|100887|mf|pass
1082|47659|mf|bpas
1086|21095|di|clea
1088|85352|di|lbal
1088|100887|da|brec
1089|85352|di|bout
1091|100887|oi|pass
1093|47659|mf|cond
1094|47659|mf|pass
1098|15076|mf|brec
1098|13867|mf|lbal
1100|15403|mf|brec
1102|15403|mf|bpas
1106|15403|oa|bout
1120|131897|da|pass
1120|80480|mf|rec
1121|80480|mf|pass
1122|40539|di|rec
1123|40539|di|pass
1126|59115|di|bpas
1129|21095|di|clea
1131|39204|mf|pass
1132|52940|di|brec
1133|52940|di|pass
1133|78140|di|cond
1134|78140|di|pass
1138|72162|da|bpas
1142|59115|mf|pass
1144|39204|mf|foul
1144|13867|mf|fsuf
1156|95742|mf|pass
1158|13867|mf|bpas
1161|58877|mf|pass
1163|8533|mf|drib
1163|154685|mf|dled
1164|8533|mf|brec
1168|8533|oa|goal
1226|13867|mf|pass
